,CompanyName,Rating,Reviews,Salaries,Jobs,Location,Industry,Description
214,Bharat Heavy Electricals,4.1,1.4T,1.3T,2,Bengaluru,Electronics Manufacturing,"Bharat Heavy Electricals Limited (BHEL) is an engineering and manufacturing company which produces capital goods for its Power and Industry segments; it is one of the world's largest vendors of power generation equipment. The company has 15 manufacturing divisions, eight service centers, and four power sector regional centers. BHEL manufactures more than 180 products, including boilers, generators, turbines, and transformers. The company derives about 80% of its revenues from its Power business. BHEL sells its products to clients located in more than 70 countries and maintains more than 150 project sites around the world."
215,o9 Solutions,4.0,480,483,--,"Building-2, Office Level-9, PRESTIGE TECHNOSTAR, Doddanekundi Industrial Area, Doddanekundi Village, Krishnarajapuram Hobli, Bengaluru South Taluk,",Enterprise Software & Network Solutions,"While o9 was conceived by founders Sanjiv Sidhu and Chakri Gottemukkala in 2009, the journey started much before. It started in the late 1980s when Sanjiv came out of the Artificial Intelligence labs of Texas Instruments and founded i2 along with Ken Sharma, a thought leader in constraint based planning. There, Sanjiv and Ken pioneered game-changing planning and supply chain management software that drove billions in value for large manufacturers and retailers across all industry segments. When the company was acquired in 2008, Sanjiv and Chakri, a key contributor in the i2 journey got together as they felt there was huge value to be delivered in making corporations more agile by helping management make faster, more intelligent decisions in the face of growing market complexity and speed. Furthermore, they saw that new advances in digital technologies make amazing things possible. And hence o9 was born, bringing some of the world’s best technologists and industry experts on the mission to create the most value generating enterprise software platform ever."
216,Valtech,4.1,893,215,2,"No. 30/A, First Main Road, Industrial Suburb, 3rd Phase, J.P. Nagar",Advertising & Public Relations,"Valtech is a global business transformation agency delivering innovation with a purpose. We enable clients to anticipate tomorrow’s trends and connect more directly with consumers across their digital touch points while optimizing time-to-market and ROI. We are a network of more than 3500 innovators, strategists, design thinkers, marketers, creatives and developers spanning 5 continents with offices in 16 countries (USA, UK, Canada, France, Germany, Netherlands, Sweden, Switzerland, Denmark, Brazil, China, India, Mexico, Singapore, Argentina, Ukraine, UAE). With a renowned commitment to innovation and agility, Valtech creates unprecedented success for our Global 500 clients while optimizing time-to-market and ROI. For more information, visit www.valtech.com. Valtech. Where Experiences are Engineered."
217,Cuelearn,4.2,965,755,--,Bengaluru,Primary & Secondary Schools,"Cuemath is an after-school online Math and Coding program for KG to 12th-grade students. We are: STEM Accredited | Present in 20+ Countries | Certified by Grant Thornton | Backed by Capital G. Our Teaching Methodology consists of a Unique Approach that combines 1:1 / Group instructions with engaging puzzles, Interactive Visuals which help teach math as intuitive logic, and Self-paced learning for your child"
218,LanceSoft,4.4,1.4T,403,60,Bengaluru,HR Consulting,"LanceSoft is a nationally certified MBE providing highly scalable, cost-effective workforce solutions including – Temporary, Temp-to-Perm and Permanent staffing of IT and Non-IT professionals. Headquartered in Herndon VA, we currently have 23 Regional offices throughout the U.S. and 22 Global Office locations."
219,eTeam,4.2,2.2T,554,821,Bengaluru,"Staffing, Recruitment & Subcontracting","eTeam provides high-volume staffing, SOW and payrolling services to structured contingent workforce programs and projects across the U.S., Canada and India. We also offer contract-to-hire and direct placement. Our “No-Sell, Service-Only” approach has resulted in “Accelerated Hires,” lower costs, reduced risks and better service for Fortune 2000 Companies, Large System Integrators and Government Agencies."
220,DBS Bank,4.0,6.9T,1.3T,1.4T,Bengaluru,Banking & Lending,
221,UiPath,4.0,915,169,98,"3rd Floor, VRR Royal, Commercial Complex, 21st A Main, 17th Cross Road, 1st Sector, HSR Layout,",Enterprise Software & Network Solutions,"UiPath is a leading enterprise automation software vendor that helps organizations efficiently automate business processes. Started in 2005 in Romania, UiPath has a vision to deliver the fully automated enterprise™ where companies use automation to unlock their creativity and full potential of every worker. UiPath offers an end-to-end platform for automation, combining the leading robotic process automation (RPA) solution with a full suite of capabilities that enable every organization to digitally transform its business. We’re humble game-changers. We do big things, but we approach our work with humility. Because at UiPath, we’re doing something profound: we’re making work itself more meaningful. But we know none of this is easy, and we don’t have all the answers. We embrace failing forward. Because we’re here to create something completely new, we’re curious, bold, and aren’t afraid to take smart risks. And we learn from our mistakes. We’re not here to do what’s been done, we’re here to constantly challenge the status quo and push boundaries. We’re united by an ambitious purpose. Accelerating human achievement by shaping the future of work is why we get out of bed every morning. It’s what drives us. And since that’s such a lofty goal, we never stop questioning, challenging, debating—and we want our people to as well."
222,Ashok Leyland,4.1,1.3T,1.3T,--,Bengaluru,Transportation Equipment Manufacturing,
223,SAP Ariba,4.1,604,200,2T,Bengaluru,Enterprise Software & Network Solutions,"** SAP Ariba jobs are cool. Recruiting scams are not. Recruiting scams are on the rise. Criminals around the world are using real corporate names to post fake jobs. And in some cases, they’re asking applicants for money, banking details, and other personal information. The bogus websites and emails they use often include company logos and photos and look legit. But don’t be fooled. SAP Ariba does not request money, credit card, bank account or other personally identifiable information as part of its recruitment processes. If asked for this information, don’t provide it. SAP Ariba also doesn’t send unsolicited emails to job seekers. And official correspondence to applicants is only sent from email addresses ending in sap.com. If you receive emails from any other domain, do not respond.**"
224,SAP Concur,4.2,1.2T,136,--,Bengaluru,Computer Hardware Development,
225,Private,4.1,2.2T,816,53,Bengaluru,Healthcare Services & Hospitals,
226,CME Group,4.0,1.4T,102,183,Bengaluru,Investment & Asset Management,"CME Group is the world’s leading and most diverse derivatives marketplace – where the world comes to manage risk, providing industry-leading derivatives products, services and technologies to the global financial marketplace. For nearly two centuries, CME Group has defined the world of derivatives. Our innovations have improved the way markets perform, enterprises do business and economies grow. But who we are goes deeper than that. Here, you can impact markets worldwide. Transform industries. And build a career shaping tomorrow. We invest in your success and you own it – all while working alongside a team of leading experts who inspire you in ways big and small."
227,Sage,4.0,4.9T,150,19,Bengaluru,Enterprise Software & Network Solutions,"Sage is a global market leader in AI-powered Enterprise Resource Planning (ERP) software. Or, in other words, we make life easier for people running small to midsized businesses. This means less time fussing with business and administrative demands, like accounting and payroll, and more time doing what they love. We're 13,000 people in over 20 countries delivering top-notch cloud technology. Born in the UK in 1981, we're now a global leader because our people are at the core of everything we do. In India we exist as 3 entities  a) AutoEntry – a cloud-based application system that handles your data entry needs. b) Sage Intacct – the market-leading tool for Financial Management.  c) Lockstep – the pioneer in Connected Accounting making organisations more efficient through the automation of workflows. Innovation doesn't thrive in group think. If you've ever walked into a room and felt like you stood out, great. Us too. When you join Sage, you'll find people of all backgrounds, beliefs, looks, sounds, and ways of working. We've gotten to where we are today because of that and would never discriminate against it. If you need support applying, reach out at careers@sage.com."
228,HCL Infosystems,4.1,1.5T,1T,525,Bengaluru,Computer Hardware Development,"Founded in 1976 as one of India's original IT garage start-ups, HCL is a pioneer of modern computing with many firsts to its credit, including the introduction of the 8-bit microprocessor-based computer in 1978 well before its global peers. Today, the HCL enterprise has a presence across varied sectors that include technology, healthcare and talent management solutions and comprises four companies - HCL Infosystems, HCL Technologies, HCL Healthcare and HCL TalentCare. The enterprise generates annual revenues of over US$ 7 billion with more than 110,000 employees from 100 nationalities operating across 31 countries, including over 500 points of presence in India."
229,Aruba Networks,4.1,732,274,875,Bengaluru,Enterprise Software & Network Solutions,"At Aruba, a Hewlett Packard Enterprise company, we believe that the most dynamic customer experiences happen at the Edge. But where exactly is the Edge? It could be a workplace, a hospital, a school, or even a remote worker’s home. In these environments, data is generated by users, devices, and things. Organizations that successfully harness that data—by analyzing and acting on it in real time—can reveal valuable insights and deliver new services. More than that, they can delight their customers or produce better outcomes."
230,Chegg,4.1,3T,1.8T,--,Bengaluru,Internet & Web Services,
231,IBS Software,4.0,1.2T,1.2T,35,"Crescent 1, 11th floor, Prestige Shantiniketan,Whitefield-Hoodi Road",Enterprise Software & Network Solutions,"IBS Software is a leading SaaS solutions provider to the travel industry globally, managing mission-critical operations for customers in the aviation, tour & cruise, hospitality and energy & resource industries. With 20+ years of travel industry domain experience, we have 3400+ employees globally and over 150 customers including leading airlines, cruise companies and hotel chains. IBS Software's solutions for the aviation industry cover fleet and crew operations, aircraft maintenance, passenger services, loyalty programs, staff travel and air-cargo management. IBS Software also runs a real time B2B and B2C distribution platform providing hotel room inventory, rates and availability to a global network of hospitality companies and channels. For the tour and cruise industry, IBS provides a comprehensive, customer-centric, digital platform that covers onshore, online and on-board solutions. For the energy & resources industry, IBS provides logistics management solution that cover logistics planning, operations & accommodation management. IBS Software is a Blackstone portfolio company and operates from 15 offices across the world. Further information can be found at https://www.ibsplc.com/"
232,Silicon Valley Bank,4.3,1.3T,139,--,Bengaluru,Banking & Lending,"For more than 35 years, Silicon Valley Bank has helped innovators and their investors turn bold ideas into success stories. Today, we provide a range of banking services to high-growth companies of all sizes, helping them navigate at any stage. Our hands-on experience with startups and fast-growth companies injects an entrepreneurial spirit into everything we do. Which is why many SVBers feel as if they work for more than a bank - they work for ideas. Helping support the unique visions of today’s innovative minds and fostering innovation all over the world. As an organization, SVB prides ourselves in having a workforce as diverse as the companies we partner with. And by getting involved with our local communities and supporting the causes that align with our values, we can create real change. Because at SVB, we believe that ideas have the power to make a difference. SVB is recognized as one of the world’s best employers by Forbes and is a member of the Bloomberg Gender Equality Index. ©2019 SVB Financial Group. All rights reserved. SVB Financial Group and Silicon Valley Bank are members of the FDIC and the Federal Reserve System. Silicon Valley Bank is the California bank subsidiary and commercial banking operation of SVB Financial Group (Nasdaq: SIVB). SIVB, SVB, SVB FINANCIAL GROUP, SILICON VALLEY BANK, MAKE NEXT HAPPEN NOW. and the Chevron device are trademarks of SVB Financial Group, used under license."
233,Orange,4.0,8.4T,568,908,Bengaluru,Telecommunications Services,"Orange is one of the world’s leading telecommunications operators with sales of 41 billion euros in 2018 and 148,000 employees worldwide at 30 June 2019, including 89,000 employees in France. The Group has a total customer base of 266 million customers worldwide at 30 June 2018, including 207 million mobile customers and 20 million fixed broadband customers. The Group is present in 27 countries. Orange is also a leading provider of global IT and telecommunication services to multinational companies, under the brand Orange Business Services. In March 2015, the Group presented its new strategic plan “Essentials2020” which places customer experience at the heart of its strategy with the aim of allowing them to benefit fully from the digital universe and the power of its new generation networks."
234,Futures First,4.2,782,890,2,Bengaluru,Research & Development,"Futures First is a private limited company that provides services in global derivatives markets. Founded in 2004, Futures First now has over 500 employees, in Israel and in six locations in India: Bengaluru, Gurugram, Hyderabad, Jaipur, Kolkata and Mumbai. Futures First is a leader in the derivatives markets. Our edge in the market comes from our people; talented, creative, and extremely professional individuals. Futures First’s parent company, Hertshten Group is a global force in exchange traded derivatives. Traditionally focused on fixed income, commodities and energy products, today Hertshten Group trades all asset classes."
235,Tejas Networks,4.1,503,582,22,2 office locations in Bengaluru,Electronics Manufacturing,"Tejas Networks is a global broadband, optical and wireless networking company, with a focus on technology, innovation and R&D. We design and manufacture high-performance wireline and wireless networking products for telecommunications service providers, internet service providers, utilities, defence and government entities in over 75 countries. Tejas has an extensive portfolio of leading-edge telecom products for building end-to-end telecom networks based on the latest technologies and global standards with IPR ownership. We are a part of the Tata Group, with Panatone Finvest Ltd. (a subsidiary of Tata Sons Pvt. Ltd.) being the majority shareholder. Tejas has a rich portfolio of patents and has shipped more than 700,000 systems across the globe."
236,Tally Solutions,4.5,500,504,--,Bengaluru,Computer Hardware Development,"Tally Solutions Pvt. Ltd. has been a pioneer in the business software products arena and has witnessed immense growth since its inception in 1986. Today, Tally’s products cater to millions of users across industries in nearly 100 countries. A robust and award-winning network of over 25,000 experienced Tally Partners delivers unmatched customer experience in sales, support and services including customization and integration. With Bharat Goenka at the helm, Tally remains firmly committed to its purpose of “making everyone who touches Tally happier.” For over 26 years, Tally has been a constant source of unmatched innovations and thus, continues unchallenged as the industry leader in enterprise resource planning software for medium and small businesses."
237,AOL,4.1,1.6T,91,1.5T,Bengaluru,Publishing,"At AOL, we strive to bring together passionate people from every part of the media landscape to construct an industry-leading company that exemplifies our commitment to premium content and innovative technology. By uniting award-winning journalists, premium brands, original content, and forward-looking technologies, we’re fundamentally rethinking what it means to connect the world with itself. We've always had the drive and innovative thinking to mobilize the future. Now, we have the tools, the reach, and the resources to make this future a reality. We’re looking for team members with exceptional imaginations, the ability to collaborate in a fast-paced environment, and a sense of wonder and excitement about the future of online."
238,Capillary Technologies,4.1,528,514,5,Bengaluru,Enterprise Software & Network Solutions,"Capillary provides OmniChannel Engagement and Commerce solutions that help consumer brands increase customer engagement, sales and loyalty. The solution suite includes CRM & Loyalty, MartJack E-Commerce Platform, Marketing Cloud, Customer Analytics, and O2O Commerce. Capillary connects 150 million consumers, enables 20,000+ stores and 250+ enterprise e-commerce implementations across 30 countries. Leading brands such as Unilever, Walmart, Landmark Group, Madura Fashion, Arvind Brands, Redtag, CK, Gap, Starbucks, Pizza Hut, and Puma work with Capillary to drive retail excellence. Spread across 10 global offices, Capillary’s 700+ strong team with decades of aggregated offline and online retail experience. Our OmniChannel Engagement and Commerce Cloud suite helps brands build delightful OmniChannel experiences, identify and act on shopper insights, improve ROI and customer loyalty and become future-ready customer companies. Introduction video - https://www.youtube.com/watch?v=L2LlBuE0D-g"
239,Kimberly-Clark,4.1,4.1T,117,1.1T,Bengaluru,Consumer Product Manufacturing,"Through collaborative teams that push boundaries and endless opportunities to work with some of the world’s most recognized brands, at Kimberly-Clark you and your purpose are in the driver seat of your career. Huggies®. Kleenex®. Andrex®. Scott®. Kotex®. Poise®. Depend®. The proof is in our products – For 150 years, our brands have been brought to market by a team of purpose-led innovators dedicated to creating Better Care for a Better World. And it takes the right people—in the right jobs and the right place—to make that happen. Join our 45,000+ employees who are changing the world for the better and generously giving back to communities and causes around the globe."
240,Snapdeal,4.3,1.6T,1.4T,--,Bengaluru,Internet & Web Services,"In February 2010, Kunal Bahl along with Rohit Bansal, started Snapdeal.com - India's largest online marketplace, with the widest assortment of 60 million plus products across 800 categories from regional, national and international brands and retailers. With millions of users and more than 300,000 sellers, Snapdeal is the shopping destination for Internet users across the country, delivering to 6000+ cities and towns in India."
241,Tiger Analytics,4.2,845,1.2T,66,Bengaluru,Business Consulting,"Tiger Analytics is an advanced analytics consulting firm that enables enterprises to leverage data more effectively. Today, we are the trusted data sciences and big data engineering partner for several Fortune 100 clients, who are leaders in their respective industries. We bring deep expertise in marketing science, customer analytics, and operations &amp; planning analytics. We are headquartered in the Silicon Valley and have our global delivery center in Chennai, India."
242,Bread Financial,4.3,1.4T,105,21,Bengaluru,Banking & Lending,
243,redBus India,4.4,559,429,3,3 office locations in Bengaluru,Internet & Web Services,
244,Freelance,4.2,2.2T,612,2,Bengaluru,N/A,
245,Apisero,4.4,723,762,10,"WeWork, Tin Factory, 78 Old Madras Road Mahadevapura, next to KR Puram",Information Technology Support Services,
246,MH Alshaya,4.0,1.1T,198,106,Bengaluru,Other Retail Shops,"Alshaya Group is a dynamic family-owned enterprise, first established in Kuwait in 1890. With a consistent record of growth and innovation, Alshaya Group is one of the world’s leading brand franchise operators, offering an unparalleled choice of well-loved international brands to customers. Alshaya Group’s portfolio extends across MENA, Russia, Turkey and Europe, with thousands of stores, cafes, restaurants and leisure destinations, as well as a growing online and digital business. Operating in multiple sectors including Fashion, Food, Health &amp; Beauty, Pharmacy, Home Furnishings and Leisure &amp; Entertainment, Alshaya Group colleagues are united by a commitment to authentically deliver great customer service and brand experiences. Fresh, modern and relevant, Alshaya’s constantly evolving portfolio reflects the choices and lifestyle of its customers. From flagship stores and restaurants in prestige malls, through to local coffee shops, drive-thrus and online, Alshaya Group brings customers the brands they love in the places they want to be. Brands such as Starbucks, H&amp;M, Mothercare, Debenhams, American Eagle Outfitters, P.F. Chang’s, The Cheesecake Factory, The Body Shop, M.A.C, Victoria’s Secret, Boots, Pottery Barn and KidZania."
247,Infoblox,4.5,637,250,89,Bengaluru,Enterprise Software & Network Solutions,"Infoblox revolutionized network services in 2000 when we delivered the first hardened DNS appliance, bringing a level of security and reliability that network managers could not achieve previously, and Infoblox has been an industry leader ever since. In 2005, Infoblox debuted the SilverBox, an early nonstop DNS and DHCP appliance solution, and is now recognized as the leader in market share for DNS, DHCP, and IP address management (DDI) appliances. Infoblox acquired iPANTO in 2007, making us an IPAM appliance leader. In 2010, Infoblox acquired Netcordia to complement its core network services products with leading technologies for network task automation and automated change and configuration management. On April 20, 2012, a group of Bloxers rang the bell at the New York Stock Exchange to celebrate the completion of Infoblox’s initial public offering. The event was the culmination of over a decade of teamwork and dedication. Following the IPO, Infoblox’s annual revenues have grown significantly, and the Bloxer community has multiplied. In 2016, Infoblox acquired IID, a leader in global cyberthreat intelligence, to enhance the company’s security solutions. Also in 2016, IDC named Infoblox the leader in DDI with 49.9 percent market share. With headquarters based in Santa Clara, California, Infoblox has recently identified Tacoma, Washington and Bangalore, India as ""Centers of Excellence"", growing the company by hiring high-potential individuals at both locations. It's an exciting time to be a Bloxer!"
248,Freshers.com,4.0,332,1.9T,--,Bengaluru,N/A,
249,Nasdaq,4.0,1.1T,107,108,Bengaluru,Stock Exchanges,"Nasdaq (Nasdaq: NDAQ) is a leading provider of trading, exchange technology, information and public company services across six continents. Through its diverse portfolio of solutions, Nasdaq enables customers to plan, optimize and execute their business vision with confidence, using proven technologies that provide transparency and insight for navigating today’s global capital markets. As the creator of the world’s first electronic stock market, its technology powers more than 70 marketplaces in 50 countries, and 1 in 10 of the world's securities transactions. Nasdaq is home to more than 3,500 listed companies with a market value of over $8.8 trillion and more than 10,000 corporate clients. To learn more, visit www.nasdaq.com/ambition or business.nasdaq.com."
250,ValueLabs,4.3,2.7T,2.3T,--,Bengaluru,Information Technology Support Services,"ValueLabs is a global technology company specializing in Product Development, Data Technology, Design, and Consulting, powered by The Digital Flywheel™. Over the last 24 years, the company has expanded to 31 locations, 6,500 associates and 200 clients worldwide. Winner of the prestigious Gold Stevie® Award for Best Employer (2021), their focus on employees and clients has resulted in industry-leading Net Promoter Scores (NPS) of over 68 and 84, respectively."
251,Accor,4.1,3.5T,285,1.7T,Bengaluru,Hotels & Resorts,"We are more than hotels. Accor is a world-leading augmented hospitality group, breaking new ground to reimagine hospitality and inspiring new ways to experience the world We are pioneering the hospitality of tomorrow, fostering innovation and creating new experiences thanks to our integrated ecosystem of more than 40 brands, and more than 5,300 hotels in 110 countries. At Accor, we are all Heartists® - 230,000 hospitality experts placing people at the heart of what we do. Passionate and experts, each and every one of us, with our own personality, master the fine art of welcoming, connecting, and serving others. We are passionate about people and attentive to the world, it is the Heartist® way of being."
252,Replicon,4.1,414,260,77,"Mantri Commercio, Tower B, 5th Floor, Devarabisanahalli, Bellandur Post, Bangalore – 560103",Enterprise Software & Network Solutions,"Replicon, the world's first Knowledge Workforce Management Solution, offers award-winning cloud-based solutions for enterprise time, project and resource management. Replicon’s innovative Polaris product line introduces the world’s first self-driving solutions for Professional Services Automation and Project Portfolio Management, helping project-driven enterprises deliver increased revenue and profitability. Join our 700+ member team in USA, Canada, UK, India or Australia who are passionate about technology and work on our Time Intelligence platform. Our SaaS application is used globally by 7800+ customers in 80+ countries including PwC, Siemens, FedEx, NTT, Expedia, Moody’s, SAS, Facebook, and Hyatt with more than 1.6 million users."
253,Aditi Consulting,4.3,1T,227,25,Bengaluru,Business Consulting,"Headquartered in Bellevue, Washington, Aditi Consulting is a leading project solutions and talent-on-demand company known for leveraging talent to transform ideas into plans and plans into actions. The company is partnered with several Fortune 500 companies, helping them accelerate business growth by delivering the best in class technology and talent-on-demand solutions. To know more, please visit https://www.aditiconsulting.com Discover Great Work Culture Aditi Consulting has been named one of Seattle Business Magazine’s 100 Best Companies to Work for two consecutive years in a row. Learn more about Aditi’s people-driven culture here: https://www.aditiconsulting.com/culture/"
254,Lenskart Solutions,4.0,1.2T,977,70,"BKN Ambaram Estates # 648/L 1st Main 1st Stage, Indiranagar",Other Retail Shops,"With technology integration into the Eyewear vertical, and keeping a deep focus on consumer happiness, Lenskart has grown more than 100% Year on Year in the last 2 years to become the largest optical business of India today. Lenskart has a young and passionate team of 3500 people, with 2 offices in Delhi, 1 in Mumbai, 1 in Kolkata and a Technology office in NCR and Bangalore."
255,Robosoft Technologies,4.4,718,566,32,"J T Annex, Second Floor, #562/640/1,2,3, Bilekahalli, Bannerghatta Main Rd,",Information Technology Support Services,"Robosoft is a full-service digital transformation company, with a vision to Simplify Lives. We offer end-to-end solutions in product advisory, design, engineering, and analytics. The delightful, intuitive digital experiences we craft help enterprises offer great customer experiences and drive brand preference. In 1996, our first customer was Apple Inc. Since then, with 25 years of experience in software development, we have played an active role in the ever-changing world of digital experiences - from mobile app development to emerging technologies in digital experiences. We have partnered with several prestigious brands across the globe including Discovery, ESPN, AAA, HP, McDonald’s India, Paytm, NDTV, Viacom18, Disney, BSI and more. We have crafted over 2000 digital experiences and our apps have garnered over a billion downloads. Our clients are spread across diverse domains - Banking & Financial Services, E-commerce & Retail, Media & Entertainment, Healthcare & Pharma to name a few.  Voted ‘Mobile App Development Company of the Year’ at the Amazon Mobility Awards, our other prestigious awards include Top Wearable App Developers, Best UX Design Agency 2020, ‘Products, Upgrades, and Innovation of the Year' at CEO World Awards, Best of App Store, Apple Design Award, BAFTA, Stevie Gold Winner at American Business Awards to name a few."
256,Pfizer,4.1,8.7T,414,1.5T,Bengaluru,Biotech & Pharmaceuticals,"Pfizer Inc.: Working together for a healthier world® At Pfizer, we apply science and our global resources to bring therapies to people that extend and significantly improve their lives. We strive to set the standard for quality, safety and value in the discovery, development and manufacture of health care products. Our global portfolio includes medicines and vaccines as well as many of the world's best-known consumer health care products. Every day, Pfizer colleagues work across developed and emerging markets to advance wellness, prevention, treatments and cures that challenge the most feared diseases of our time. Consistent with our responsibility as one of the world's premier innovative biopharmaceutical companies, we collaborate with healthcare providers, governments and local communities to support and expand access to reliable, affordable healthcare around the world. For more than 150 years, Pfizer has worked to make a difference for all who rely on us."
257,MediaTek,4.0,1.4T,266,37,Bengaluru,Electronics Manufacturing,"MediaTek is a pioneering fabless semiconductor company, and a market leader in cutting-edge systems on a chip for wireless communications, HDTV, DVD and Blu-ray. MediaTek created the world's first octa-core smartphone platform with LTE and our CorePilot technology released the full power of multi-core mobile processors. MediaTek [TSE:2454] is headquartered in Taiwan and has offices worldwide, including across Europe, the US, the Middle East and Asia. https://www.youtube.com/watch?v=t7Zt19jeUPg"
258,Nous Infosystems,4.1,508,401,95,Bengaluru,Software Development,
259,Defence Research & Development Organisation,4.3,1.1T,696,--,Bengaluru,National Services & Agencies,
260,JUSPAY,4.4,306,439,3,Bengaluru,Internet & Web Services,
261,AppDynamics,4.0,890,115,16,"Commerz Building, Bagmane Tech Park, Krishnappa Garden Road C V Raman Nagar, Karnataka",Enterprise Software & Network Solutions,"AppDynamics is an application performance monitoring solution that uses machine learning and artificial intelligence (AI) to provide real-time visibility and insight into IT environments. With our unique AIOps solution, you can take the right action at exactly the right time with automated anomaly detection, rapid root-cause analysis, and a unified view of your entire application ecosystem, including private and public clouds. Using AppDynamics, you’ll finally align IT, DevOps, and the business around the information that helps you protect your bottom line and deliver flawless customer experiences at scale."
262,In Time Tec,4.0,565,439,42,Bengaluru,Computer Hardware Development,"In Time Tec provides progressive software development services, enabling its clients' to keep their brightest and most valuable talent focused on innovation. In Time Tec has a leadership team averaging 15 years in software/firmware R&D, and 20 years building onshore/offshore R&D teams. Every company has core and context work. As defined by author and speaker Geoffrey Moore, core work is your differentiator, your 'secret sauce'. Context work is non-core work that must get done. In Time Tec helps you focus on core work by taking on your context work. By using a blended model of onshore and offshore talent, we offer the following software development services: Design: Model-View-Controller architecture Cloud - enabled UI/UX Development: Web application development Mobile development Salesforce development DevOps Continuous Integration Qualification: Automated testing Performance testing Technical Documentation: Copy editing Content Development"
263,Indecomm Global Services,4.1,547,329,26,"Maruthi Infotech Centre, Inner Ring Road, Domlur",Enterprise Software & Network Solutions,"Founded more than 25 years ago, Indecomm blends intelligent automation with deep mortgage banking expertise to deliver groundbreaking mortgage innovations that help businesses optimize operations and achieve competitive advantage. Backed by a 1500-strong global workforce, Indecomm’s automation-as-a-service approach benefits mortgage organizations, enabling them to offer better borrower experiences by streamlining middle and back-office operations."
264,Booking.com,4.2,7.5T,65,156,Bengaluru,Internet & Web Services,"At Booking.com, we’re not just a platform for booking accommodation – we’re the technology that makes travel easier. We’re the thrill of the first night in a new place. The excitement of the next morning. The friends you make. The journeys you take. The sights you see. And the food you sample. We make it easier for everyone to experience the world."
265,Randstad Sourceright,4.2,2.1T,200,84,Bengaluru,Business Consulting,"Randstad Sourceright drives talent acquisition and human capital management strategies for the world’s most successful employers. We empower these companies by leveraging a Human Forward strategy that balances the use of innovative technologies with expert insights, supporting both organizations and people in realizing their true potential. As a global talent solutions leader, our subject matter experts and thought leaders around the world continuously build and evolve our solutions across recruitment process outsourcing (RPO), managed services programs (MSP) and integrated talent solutions. To be part of a team that is changing the world of HR and to apply for current talent openings, visit www.randstadsourceright.com/careers."
266,Synchronoss,4.2,604,227,8,Bengaluru,Enterprise Software & Network Solutions,"Synchronoss (NASDAQ: SNCR) transforms the way companies create new revenue, reduce costs and delight their subscribers with cloud, messaging, digital and IoT products, supporting hundreds of millions of subscribers across the globe. Synchronoss’ secure, scalable and groundbreaking new technologies, trusted partnerships and talented people change the way Technology-Media-Telecommunications customers grow their business. For more information, visit us at www.synchronoss.com"
267,Extreme Networks,4.3,993,198,114,Bengaluru,Enterprise Software & Network Solutions,"Extreme Networks, Inc. (EXTR) is a leader in cloud networking focused on delivering services that connect devices, applications, and people in new ways. We push the boundaries of technology, leveraging the powers of machine learning, artificial intelligence, analytics, and automation. Over 50,000 customers globally trust our end-to-end, cloud-driven networking solutions and rely on our top-rated services and support to accelerate their digital transformation efforts and deliver progress like never before. For more information, visit Extreme's website at https://www.extremenetworks.com/ or LinkedIn, YouTube, Twitter, Facebook or Instagram."
268,Yahoo India,4.5,422,402,--,Bengaluru,Internet & Web Services,
269,Tessolve,4.1,473,405,20,2 office locations in Bengaluru,Architectural & Engineering Services,"Tessolve offers a unique combination of pre-silicon and post-silicon expertise to provide an efficient turnkey solution for silicon bring-up, spec to the product. With 2500+ employees worldwide, Tessolve provides a one-stop-shop solution with full-fledged hardware and software capabilities, including its advanced silicon and system testing labs. Tessolve offers a Turnkey ASIC Solution, from design to packaged parts. Tessolve’s design services include solutions on advanced process nodes with a healthy eco-system relationship with EDA, IP, and foundries. Our front-end design strengths integrated with the knowledge from the backend flow, allows Tessolve to catch design flaws ahead in the cycle, thus reducing expensive re-design costs, and risks. We are actively investing in the R&D centre of excellence initiatives such as 5G, mmWave, Silicon photonics, HSIO, HBM/HPI, system-level test, and others. Tessolve also offers end-to-end product design services in the embedded domain from concept to manufacturing under an ODM model with application expertise in Avionics, Automotive, Industrial and Medical segments. Tessolve’s Embedded Engineering services enable customers a faster time-to-market through deep domain expertise, innovative ideas, diverse embedded hardware & software services, and built-in infrastructure with world-class lab facilities. Tessolve’s clientele includes Tier 1 clients across multiple market segments, 7 of the top 10 semiconductor companies, start-ups, and government entities. We have a global presence with office locations in the United States, India, Singapore, Malaysia, Germany, United Kingdom, China, UK, Japan, Thailand, Philippines, and Test Labs in India, Singapore, Malaysia, Austin, San Jose."
270,Novozymes,4.2,722,189,24,Bengaluru,Biotech & Pharmaceuticals,"Novozymes is the world leader in bioinnovation. Together with customers across a broad array of industries, we create tomorrow’s industrial biosolutions, improving our customers' business and the use of our planet's resources. With over 700 products used in 130 countries, Novozymes’ bioinnovations improve industrial performance and safeguard the world’s resources by offering superior and sustainable solutions for tomorrow’s ever-changing marketplace. Novozymes’ natural solutions enhance and promote everything, from removing trans fats in food to advancing biofuels to power the world tomorrow. Our never-ending exploration of nature’s potential is evidenced by over 6,000 patents, showing what is possible when nature and technology join forces. Our 6,000+ employees working in research, production, and sales around the world are committed to shaping business today and our world tomorrow. Novozymes is quoted on NASDAQ OMX Copenhagen A/S. Read more at www.novozymes.com."
271,IBM iX,4.0,883,339,52,Bengaluru,Information Technology Support Services,
272,None of Your Business Boutique,4.2,808,420,--,Bengaluru,N/A,
