City,Best Time,City_desc
Tirupati,September-March,"[' Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centres in the country. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be placed where Lord Venkateshwara took the form of an idol and is hence home to the diety Govinda. Tirupati is one of the oldest cities of India and finds mention in plenty of ancient Vedas and Puranas.', '', ' The non-stop chanting of ‘Om Namo Venkatesaya’, the mad pilgrim rush and the 8-feet tall idol of Lord Venkateshwara – everything about the Sri Venkateshwara Temple is majestic. Spread over an area of 26 kilometres and visited by nearly 50,000 pilgrims every day, the temple is also commonly referred to as the Temple of Seven Hills.There are other temples in Tirupati too that you can visit, including the Sri Kalahasti temple, Sri Govindarajaswami Temple, the Kondandarama Temple, the Parashurameshwara Temple, and the ISKCON temple. Tirupati is home to a unique geological wonder that you shouldn’t miss out on! The Silathoranam is a natural arch formed out of rocks and is located at the Tirumala Hills. ']"
Ujjain,October-March,"[' Ujjain, considered to be one of the holiest cities of India, is an ancient city situated on the eastern bank of the Shipra River in the Malwa region of Madhya Pradesh. Ujjain is one of the four sites for the Kumbh Mela, the largest peace-time gathering on the planet that attracts 100 million people to the festival.', '', ' This makes Ujjain an important place of Hindu Pilgrimage. To add to that, it is also home to the Mahakaleshwar Jyotirlinga, one of the twelve Jyotirlinga shrines to the god Shiva. Ujjain is one of the most glorious cities of ancient India as it was also known to be the educational hub of various Indian scholars. The immense wealth of Ujjain in terms of religion, architecture, and educational value makes this is a top attraction amongst not only Indian travellers but also amongst foreign tourists as well. Ujjain is located at a distance of 52 km from Indore, which is also the nearest major airport.']"
Jim Corbett National Park,November-June,"[' Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve.', '', ' Famous for its wildlife safaris, Jim Corbett National Park has multiple resorts set on the riverside. Home to more than 650 species of rare and migratory birds, it is a haven for bird watchers. The most popular attraction at Corbett National Park is Dhikala, a forest lodge located on the border of Patil Dun Valley, which is known for the stunning location and rich wildlife.Only 180 vehicles are allowed to enter the national park in a day. Jim Corbett National Park remains closed from July to October during the monsoons. However, Jhirna, Dhela and Sitabani tourism zones remain open for tourists throughout the year. Safaris are organised in all the zones by two shifts by the forest officials in all the zones.The Jim Corbett National Park was established in 1936 as Hailey National Park and is named after Jim Corbett who is a famous hunter and naturalist. It was the first place where Project Tiger was launched in 1973. The park is spread over an area of more than 500 sq km and is divided into 5 zones: Bijrani, Dhikala, Jhirna, Domunda and Sonanandi to promote tourism. ']"
Gwalior,October-March,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past.', '', "" A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
Mathura,October-March,"["" One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and attracts a horde of pilgrims from all over the world. "", '', "" One side of Mathura is stretched across the Yamuna River, lined with 25 ghats, which are best visited during dawn when you can witness locals and tourists taking a holy dip, and at dawn (just after the sunset) when hundreds of diyas are floated during the daily aarti. Mathura is flooded with tourists and pilgrims during the two main festivals - Janmashtami (Lord Krishna's birthday) in August/September, and Holi in February/March.Shri Krishna Janmabhumi is the most famous tourist attraction in Mathura, as this place is believed to the be the exact place where Lord Krishna was born, and the prison where he was born is now on display for tourists to see. Mathura has many temples, both big and small, dotting the entire city, with many of these temples being dedicated to Lord Krishna. The two most important temples in town are the Dwarkadheesh Temple and the Gita Mandir. If you are looking for more than just the standard tourist fare, then the best way to explore Mathura is by taking a walk around the streets of the city. Every nook and cranny of this religious town still retains an old-world charm that belies the urbanization the city has kept up with. There is a lot of history to Mathura that you can experience only by exploring the old-fashioned architecture, the crumbling ruins of old houses, and the genial amiability of the locals who are always willing to show you around.It is not possible to think of a city as old as Mathura and imagine it not having a delicious history of street food! Don’t forget to try out local snacks like kachodis, aloo-puri and chaat, which are available at any and all eateries lining the streets. Jalebis and gulab-jamuns are also very popular local street food items that are available at all shops throughout the day.""]"
Jog Falls,July-December,"[' The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construction of Linganamakki Dam which is a hydroelectricity plant closeby, the flow in the falls is hugely restricted before monsoons. So, it is best to go during the Monsoon season to see the falls in its full form.', '', "" Jog Falls is a 2 hours drive from the main Shimoga city. Also known as Gerosappa Falls or the Joga Falls, this seasonal waterfall is broken into four segments - Raja, Roarer, Rocket and Rani. They're named based on certain characteristics of the streams. Raja is an unbroken stream, Roarer is a strong and violent current that gushes down to meet the Raja stream, Rocket flows down in different jets and Rani is a quiet stream with falls in foam. Next time you visit, try identifying the streams!""]"
Alibaug,November-March,"[' Alibaug (also spelled as Alibag) is a small coastal town in the Konkan region of Maharashtra, known for its beaches, villas, and beautiful scenery. Alibag is very popular as a weekend getaway from the cities of Mumbai and Pune. ', '', "" Water sports in Alibaug like parasailing, banana boat and jet ski and speed boating are quite popular during the dry season. Most tourist families spend at least one night in Alibag with extending to multiple nights.  Alibaug has earned itself the name of 'mini-Goa', owing to the high tourist footfall all year round. Steeped in colonial history, Alibaug is a quaint little town located about 96 km from Mumbai and 150 km from Pune, and is replete with sandy beaches, clean unpolluted air, and plenty of forts and temples, ensuring that despite being a small town, you never run out of activities to do. Alibaug is famous for its numerous beaches, which are only a few minutes’ drive away from each other, so you won’t have to worry about which beach to visit and which one to leave out. The most visited beach in Alibaug is, of course, Alibaug Beach, which offers a spectacular of view of not only the sunrise and sunset but of the Kolaba Fort as well, which you can take a short boat ride to. The Colaba fort was once the cornerstone of the Maratha Empire, and most of the edifice is still in good shape. Other popular beaches in the area include Kihim Beach, and Nagaon Beach, with Kihim beach being a photographer’s paradise.Alibaug is also home to Mandwa Beach, a beach famously known for the innumerable number of movie shootings that take place here. The beach offers a stunning view of the Gateway of India from its bay, and you can sit and sip on a cool drink on the sand under the orchard of coconut trees lining the beach. ""]"
Rameshwaram,October-March,"[' Rameshwaram is located on a beautiful island in the South Indian state of Tamil Nadu. It is separated by a small Pamban channel from Sri Lanka. According to Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka.', '', ' Rameshwaram has the first sea bridge connecting the town of  Mandapam with Pamban Island, and Rameswaram. Abdandoned town of Dhanushkodi is also located on Pamban Island which was a bustling town until  it got destroyed in 1964 by cyclone.Renowned for its magnificent prakaras with massive sculptured pillars on either side, The Ramanathaswamy Temple houses the longest corridor in the world. Agniteertham is famous for its sacred waters and Pilgrims perform poojas in honour of their ancestors at this seashore. The five-faced Hanuman Temple holds the floating stone which was used to build the bridge between India and Sri Lanka.']"
Vrindavan,October-March,"[' One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan. The name of the city has been derived from Vrinda (meaning basil) and van (meaning grove) which perhaps refer to the two small groves at Nidhivan and Seva Kunj. Since Vrindavan is considered to be a sacred place, a large number of people come here to abandon their worldly life.', '', ' The city of Vrindavan hosts hundreds of Lord Krishna and Radha temples scattered throughout, the most famous ones being Banke Bihari temple and the world-famous ISKCON temple. The vibrant surroundings perfectly depict the playful and benevolent nature of Lord Krishna. Located along the waters of River Yamuna, the numerous temples set amidst the thick woods and lush greenery of Vrindavan are the major attractions here. ']"
Coimbatore,September-March,"["" Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temples to classy new buildings, from breathtaking mountains to jaw-dropping waterfalls, from mouth-watering cuisine to pleasant weather all year round, Coimbatore has everything you could possibly need to make for a perfect holiday experience. Coimbatore is home to a massive 112 feet tall statue of Lord Shiva, known as the Adiyogi Shiva Statue. Featured in the Guinness Book of World Records, this architectural masterpiece is a very popular tourist spot in Coimbatore and stands as a symbol of self-transformation and inner peace. "", '', ' Camping and trekking are very popular things to do in Coimbatore, so if you’re looking for a thrill, don’t forget to check out the most exciting trekking trails that the city has to offer, such as the Dhoni Hills, the Vellari Mala, the Perumal Peak, and the Thalaiyar Falls trek. The official name of Coimbatore has been changed to Koyampuththoor. It was done to change the name of the city closer its original name in Tamil.']"
Lucknow,October-March,"[' The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nutshell for you. From a slice of rich colonial history to modernized museums, this artistic hub of Awadh region beautifully brings together the opulence of a glittering past and the simplicity of a modern city.', '', "" Rumi Darwaza, the Mughal Gateway built in the centre of the capital divides Lucknow into 'Old Lucknow' which is ancient, and more crowded, and the 'New Lucknow' which is urban and one of the most planned cities of Asia. Most of Old Lucknow is well-known for its bustling vibrant streets, authentic, mouth-watering kebab and biriyani outlets, lakhnavi chikan market, and the wholesale jewellery stores.New Lucknow, on the other hand, hosts people of varied cultures and is structurally planned with wide roads, shopping malls and parks built to serve diverse entertainment purposes. The most famous among these parks are the Ambedkar Park and the Gomti Riverfront Park, both ideal places for visiting and strolling around with friends and family in the evening. Hazratganj, a major shopping area located in the heart of Lucknow, is famous for its 'chaat' and 'kulfi' eateries, posh Mughlai restaurants, and various shopping complexes. All the buildings in Hazratganj have a distinct Victorian architecture, and you can shop for literally anything – starting from inexpensive accessories and trinkets to high-end clothes, shoes and jewellery. The people of Lucknow are known for their courtly manners and endearing 'pehle aap' (you first) culture, which always leaves behind a smile on the faces of its visitors. ""]"
Digha,November-February,"[' Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal.', '', "" Digha is a one-stop destination for families looking forward to spend a pleasurable weekend. One of the best features of this hamlet is its varied and diverse tourist attraction spots. Known for its magnificent beaches, religious temples and high-tech research centers and museums, this most popular sea resort of West Bengal has a lot to offer for people of all age groups. Digha's sceneries can also offer you the pleasure experienced in witnessing areas that have minimal human impact and are relatively untouched.""]"
Dharamshala,March-June,"["" Dharamshala or Dharamsala city is located in Kangra district at 18 km from Kangra city in Himachal Pradesh. The state's winter capital, Dharamshala, is separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself, whereas the upper division is located 3 km away and is popularly known as Mcleodganj. Dharamsala is prominently visited for the bus connections and the bustling market."", '', ' Dharamsala is the home to Dalai Lama, the Buddhist leader who runs his government in exile from Dharamsala. Now, what better place on earth than this little town set on the foothills of Dhauladhar ranges to experience the rich and regal Tibetan culture. In 1959, Dalai Lama came to India with his followers and settled, rather beautifying the town of Dharamsala, transforming it into the little Lhasa. Dharamsala, for many years, has been a centre of meditation and peace.']"
Kovalam,September-March,"[' Famous for its esorts and ayurvedic massage centre, Kovalam is a coastal town located around 13 km from Thiruvananthapuram in Kerala. The largest beach in Kovalam is the lighthouse beach that features a 30-metre tall lighthouse. The other two adjacent beaches are Samudra beach and Hawa beach. All these three beaches are crescent-shaped shallow water and low tidal beaches.', '', ' Earlier a fishing village, Kovalam started attracting tourists in the 1930s and shot to fame in the hippie era of 1970s. It still sees the influx of tourists from Israel and Europe. Ayurvedic treatments and massages are one of its most popular indulgences along with yoga, meditation as well as other cultural activities. Kovalam perhaps comes full circle as it is also a shopping destination given the rich spices, wooden statues and handicrafts that can make popular takeaways.']"
Kaziranga National Park,November-April,"[' Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it roughly at the centre of the state. Approximately around five hours by road from Guwahati, Kaziranga National Park stands tall as the epitome of successful wildlife conservation in India. In 1985, it was awarded the status of a World Heritage Site by UNESCO.', '', "" Lying on the floodplains of the mighty river Brahmaputra, rich vegetation covers almost the entirety of Kaziranga National Park. Receiving massive amounts of rainfall each year, at times even crossing dangerous levels, this national park is characterised by tall elephant grass, marshlands and tall tropical broadleaf forests. Here, a wide variety of fauna thrives including the one-horned rhino, Asiatic elephants, wild water buffalo, leopards and Royal Bengal Tigers. Kaziranga National Park is also listed officially as a Tiger reserve and is home to one of the world’s largest population of tigers. Different types of birds can also be spotted here at the park. A popular migratory location for birds who fly down from the north, one can spot various birds such as the black-nested stork, the lesser white-fronted goose, ferruginous duck and Baer's pochard duck to name a few. Other notable bird families which can be seen here include the great Indian hornbill and wreathed hornbill among many others.Safaris can be undertaken both during the day and night during the open tourist season. Elephant rides are also very popular among tourists and wildlife journalists and enthusiasts. Hiking is one such activity which is prohibited here to avoid casualties. Great care is taken at this national park such that tourism and natural sustainability go hand in hand.""]"
Madikeri,October-March,"[' Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no pollution, no noise to hurt your ears and the cool breeze that accompanies you throughout makes your trip memorable.', '', "" The most famous place of Madikeri is Raja's Seat- a famous viewpoint from where you can grab all the striking beauty of Madikeri at one go. Madikeri fort and various water cascades are among the other must-visits of the place. Spend a couple of days in the beautiful homestays and Airbnb for a rejuvenating experience. Madikeri, apart from being a refreshing summer retreat, is also famous for its coffee plantations, which are one of its kind in India. No wonder why Madikeri is also famous as 'Karnataka's Coffee Capital.' Renowned for its coffee plantations, this is one of the best places for coffee lovers. To get the real feel you can stay at one of the homestays situated on the coffee estates. You can also take Plantation Tours and help out in berry picking on the fields.""]"
Matheran,October-May,"[' Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Matheran is the smallest hill station in India but is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity.', '', ' Matheran is one of the very few places in the world that do not allow any vehicles at all, so the moment you step into this little town, you will be transported back to an idyllic old-world era of red-soiled roads, automobile-free pathways, and lush green hills all around. The cold breeze and the fresh air devoid of pollution is reason enough for tourists to throng to Matheran all year round.As with any other hill station, Matheran is famous for its viewpoints. It has a total of 36 viewpoints from where you can enjoy alluring views of the Sahyadri mountain range. Most of these points have easy trekking trails, and they offer sweeping views of the mountains, the sunrise, sunset, and everything in between. A favourite for trekkers, the actual magic of Matheran is experienced while exploring the region on foot and getting lost in the beauty of the serene town.']"
Ranthambore,October-April,"[' This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area', '', "" Nestled in the foothills of Vindhya and Aravali Hills, Ranthambore is famous for its tiger reserves and the variety of flora and fauna found. The Ranthambore National Park, along with the Ranthambore Fort and the surrounding hills and valleys, altogether make Ranthambore a traveller's delight. The place is a boon for wildlife photographers and is perfect for excursions and sightseeing. Safari Rides add to the adventure along with hot Rajasthani picks for shopaholics. With an area of 392 kilometres square, Ranthambore National Park is a natural habitat for a variety of exotic species. It is an absolute delight for birdwatchers and an ideal place to watch animals in their natural habitat. The Ranthambore Fort, built in the 10th century, stands tall over the entire National Park. Built by the Chauhan Dynasty, the Fort is a UNESCO World Heritage Site. Located inside the fort is the majestic temple of Lord Ganesha, the Trinetra Ganesh Temple. Ganesha devotees flock the temple throughout the year. The other two temples are dedicated to Lord Shiva and Ramlalaji respectively. Two Jain temples, devoted to Lord Sumatinath and Lord Sambhavnath are other attractions of the Fort. The Padam lake and the Surwal lake are two among many that are a haven for bird watching. The ideal time to visit these lakes is early morning. Located adjacent to the Padam lake is the Jogi Mahal, a red sandstone marvel. Kachida Valley, famous for locating panthers and bears, along with Raj Bagh Ruins and the surrounding deciduous forests altogether score brownie points for Ranthambore. ""]"
Agartala,October-March,"[' Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture.', '', ' Agartala is not just all flowers and valleys but also has a cultural richness with the diversity of people that stay here along with the historical and religious monuments. The capital of Tripura manages to create its culture and personality out of the coming together of stories of all those who reside here and give it a hue of their own culture. The most developed city in the state, it is still a far cry from the metros and hence maintains the best of both worlds.']"
Khandala,October-March,"[' Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls.', '', ' It is one of the twin hill stations - Lonavala and Khandala. The place immortalized by the popular Bollywood song, ""Aati Kya Khandala"", is a must-visit destination for everyone looking for beautiful nature, pleasant weather and the feeling of mist in the air. The natural beauty of Khandala blooms to its zenith and reveals a magical charm during the monsoons. Its meandering waterfalls and glittering lakes attributes to the majestic look an imposing ambience. The Mumbai-Pune expressway passes through Khandala. Due to this easy accessibility, it is a popular hiking spot from nearby cities. The Duke\'s Nose peak and Karla Hills are the two popular spots for rock climbing. Located near two more popular tourist hotspots, viz. Lonavala (3 km away) and Karjat (7 km), Khandala is one of the perfect hill retreats for both trekkers and young couples.']"
Kalimpong,March-November,"[' Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc.', '', ' 50 minutes east ofÊDarjeeling, Kalimpong is a hill station on the foothills of Shivalik ranges at an altitude of 1250 m overlooking the Teesta Valley. People say that the area was ruled by Bhutanese kings and was a forward post of the Bhutanese Army till the 19th century. Dotted with ancient Buddhist monasteries, centuries old churches and exquisite revered temples Kalimpong marks the Bhutanese history till it was wrested by British rulers. The Jang Dong Palriffo Brang (Monastery), Thongsa Gompa (Bhutanese Monastery) are some famous places to visit. Also make sure to visit the flower markets famous for its orchids and lovely bright flowers.']"
Thanjavur,October-March,"[' Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples.', '', ' Thanjavur enjoys a rich historical heritage and holds a very important position in the moulding of ancient as well modern south Indian civilization. Being of religious importance, this place is a must for all pilgrims. There are many religious places in and around the district. Siva Ganga Garden, Art Gallery, Palace & Saraswathi Mahal Library, Sangeetha Mahal are the main tourist attractions. This is a place where you can constantly witness the magnificent and dynamic cultures of the past and present breathing life into and living in the everyday, giving the area a unique and glorious identity.']"
Bhubaneswar,October-March,"[' Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.', '', ' Bhubaneshwar is an ancient city replete with beautiful historic temples which attract pilgrims and tourists from all over the country. The name of the city literally means Lord of the Universe, rightly reflected in the number of temples here and the religious fervor of its locals. This is now a bustling city where the history is beautifully intertwined with its modern and progressive present. Bhubaneshwar being the centre for religious tourism has a number of majestic temples built centuries ago which have still retained their original over all these years. Among them the Lingaraj temple and the Parasurameswara temple are must-visits and attract tourists for all parts of the country.']"
Ajmer,October-March,"[' Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. This makes Ajmer one of the most significant places of Islamic pilgrimage in the world. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan, the city is firmly bound by its traditions and culture. Ajmer has a unique charm that lies in the ethos and craftsmanship practised over centuries.', '', ' Visit Ajmer to witness the exquisite Mughal architecture set in an aura of spirituality. The city is also a renowned religious spot for Jains because of Golden Jain Temple. During the festival of Urs, commemorating the death anniversary of Saint Moinuddin Chishti, believers from across the globe throng the city. A lot of travellers visiting Pushkar stop by Ajmer and make a day trip. Ajmer has also been selected as one of the heritage cities for the HRIDAY (Heritage City Development and Augmentation Yojana) scheme of the Government of India.Apart from Ajmer Sharif Dargah and the Jain Temple, there are some other tourist attractions in Ajmer as well. Adhai Din ka Jhopra, Ana Sagar Lake, Foy Sagar Lake, Ajmer Government Museum and Taragarh Fort are some of them. Ajmer is also home to Mayo College, one of the most prestigious boarding schools in India.']"
Aurangabad,October-March,"[' Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th century AD. The town is used as the base to explore the extremely famous caves of Ajanta and Ellora, Daulatabad Fort which is renowned for its strong defence systems, Mausoleums of Aurangzeb and Bibi-Ka-Maqbara famous for its architecture and Grishneshwar Temple, one of the only 12 Shiva Jyotirlingas in India.', '', ' From UNESCO World Heritage Sites to bustling markets brimming with delicate silk items and exquisite hand-woven garments, Aurangabad promises all tourists an exciting holiday experience. While the city is rapidly heading towards industrial growth and globalisation, it still retains most of its past glory, heritage, charms and traditions.The most famous tourist attraction of Aurangabad is the Ajanta and Ellora Caves. Declared a World Heritage Site by UNESCO, the Ajanta Caves is home to 29 different caves, all of which showcase Buddhist artwork belonging to the period ranging from 200 B.C to 650 A.D. All paintings and sculptures in the caves were constructed painstakingly by Buddhist monks using only simple tools such as chisels and hammers. These paintings and sculptures portray a varied range of stories, starting from the Jataka Tales to intriguing accounts of ancient nymphs and princesses. The Ellora Caves, a little distance away from the Ajanta Caves, houses a total of 34 caves and has sculptures and paintings depicting not one, but three different religions – Hinduism, Buddhism and Jainism. The sheer diversity of the sculptures, the architectural expertise, and the centuries of hard work undertaken by artisans are enough to leave you speechless.The sole remaining example of Mughal architecture in this part of the country, Bibi ka Maqbara is a mausoleum dedicated to Rabia-ul-Daurani, wife of Mughal Emperor Aurangzeb. Designed by the Persian architect Ustad-Ata-Ullah, Bibi ka Maqbara has a structure similar to that of the Taj Mahal, with the main structure bordered by four towering minarets on four sides. The entire building is a sight to behold, and sunrises and sunsets are resplendent, with the rays of the sun beautifully casting the reflection of the mausoleum on the water of the canal in front of the building.Aurangabad is also home to temples such as the Jyothirlinga Grishneshwar temple and the Bhadra Maruti Temple, both of which have legends and myths of their own.Siddharth Garden is a place that all nature lovers will be mesmerized by. A landscaped garden housing a wide variety of sculpted trees and shrubs, the Siddharth Garden is also home to wild creatures such as lions, tigers, leopards, deer, and hyena. Sitting back on the green lawns of the garden and enjoying a beautiful picnic is a very popular tourist activity here.The erstwhile Mughal capital has retained most of its traditional Tughlaq cuisine, with Tandoors and Kebabs being local staples that you will find at almost every roadside eatery.Known for its arts and crafts, and especially its silk, Aurangabad has plenty of markets from where you can buy various local handicrafts, exotic gems, shawls, and of course, the region’s famous paithani silk sarees.']"
Jammu,September-March,"[' Jammu is the southernmost-part of the union territory of Jammu and Kashmir which sits proudly on the magnificent Shivalik mountain ranges. The Winter Capital of Kashmir, Jammu is a holy and peaceful city known for its majestic temples, religious shrines, glittering ""shikhars"", and cultural heritage. Since it is also the starting point to the hugely popular Vaishno Devi Temple and Amarnath Yatra, it is visited by tourists from far and wide. ', '', ' Nestled against the backdrop of the snow-capped Pir Panjal Mountains, Jammu forms part of the transition between the Himalayan range in the north and the dusty plains of Punjab in the south. The Shivalik hills cut across the area from the east to the west while the rivers Ravi, Tawi and Chenab cut their way through the region. The City of Temples, Jammu houses the famous Maha Kali Temple which is considered second only to the Vaishno Devi Temple. Originally found in 14th Century BC, the area was ruled over by Dogra dynasty in the pre-independence era. Buddhist Stupas dating back to the 2nd century AD is peppered throughout Jammu, speaking volumes of its rich heritage.The eccentricity of Jammu is prevalent is also prevalent in its Dogra cuisine the crown of which is the scrumptious Wazwan (traditional Kashmiri buffet). Jammu is truly a melange of pilgrimage, leisure, natural beauty and heritage.']"
Dehradun,March-November,"[' Dehradun is the capital city and the largest city of Uttarakhand. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Located just 30kms from Mussoorie, Dehradun is known as the gateway to Mussoorie and Rishikesh and Haridwar. Dehradun is also known as the ""Educational Hub of Uttarakhand"" with some of the country\'s prestigious universities and boarding schools.', '', "" As you would expect from a city located in the foothills of the Himalayas, Dehradun abounds in caves, waterfalls and natural springs. One such popular spot is Robber's Cave, which is a natural cave surrounded by hills. Dip your feet in the ice-cold water or walk through it - travellers are free to take their pick, making Robber's Cave one of the most popular picnic spots in the city. Another popular spot for nature lovers is Lacchiwala, where you can sit and enjoy a relaxing sunset around the man-made lake and the lush greenery around it. Lacchiwala also has arrangements for trekking and birdwatching if you're up for it.""]"
Puri,November-February,"[' Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip.', '', ' Having gained popularity among hippies back in the 1970s due to the legalisation of Bhang, Puri is still a popular destination among backpackers, however, the availability of bhang is now limited. With a plethora of hotels and homestays, the local tourist like to stay near the New Marine Drive and the backpackers prefer to stay near Chakra Tirtha. The Rath Yatra (chariot festival) which takes place during the month of June-July should not be missed if you are planning to visit during this time.Known as the resting place of Lord Shiva, the majestic history and heritage of Puri date back to the 3rd century B. C. Puri, Konark and Bhubaneshwar complete the Golden Triangle of Orissa, with their religious significance and cultural heritage being the centres of tourism in this state. There are a lot of places near Puri that one must visit, like the Chilika lake, Puri beach, Gundicha Ghar and the very famous Sun temple of Konark. Puri is soon turning into an industrial hub with major manufacturing companies coming here. ']"
Cherrapunji,October-May,"["" Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest place on earth, Cherrapunji still holds the record for the highest recorded rainfall in a calendar year. Apart from the famous living root bridge, other natural attractions include cave formations such as the Mawsmai Caves and Krem Phyllut. Asia's cleanest village, Mawylyngnong is another famous tourist spot here, where visitors can live and experience the food and culture of the village."", '', ' The misty valleys and the waterfalls in the region make a long drive through Cherrapunji ideal for those who love road trips. The breathtaking panoramic views of the valley and waterfalls such as the famous Nohkalikai Waterfalls are wonderful experiences to be had during the sunny winter days. For those with a bit of time on their hands, the town of Dawki at the border with Bangladesh offers a wonderful clearwater boating experience in the winter season.']"
Bikaner,October-March,"[' Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller\'s haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, its ancient palaces and forts. Rightly called as one of the three great desert kingdoms of Rajasthan, the dazzling city boasts of old-world charm, opulent havelis and depicts a pleasing bygone era of the Rajputs. Best known as the ""camel country"" for breeding some best-known riding camels, Bikaner also happens to house one of the only two models of the biplane used by the British in World War 1.', '', ' Sand Dunes and the Desert Safari are among major attractions. Bikaner is also famous for hosting the international Camel festival which draws tourists from the world over. Other attractions here include experiencing delicacies such as Thandai, Bhujias, shopping for the fascinating Ivory and Lacquer items or simply witnessing the immense heritage taking the form of wall paintings and arts and crafts in the area.']"
