species,size,fragrance,height_cm
rose,medium,strong,41.84
shoeblack plant,medium,none,90.32
rose,small,strong,57.04
rose,medium,mild,90.51
hibiscus,large,none,147.8
shoeblack plant,medium,mild,146.53
shoeblack plant,medium,none,99.21
shoeblack plant,large,none,70.37
rose,medium,mild,97.93
shoeblack plant,medium,mild,86.94
rose,small,strong,92.06
shoeblack plant,large,mild,136.88
shoeblack plant,medium,mild,86.01
rose,small,strong,90.75
hibiscus,large,none,177.46
shoeblack plant,large,none,106.52
shoeblack plant,medium,none,97.86
shoeblack plant,medium,mild,94.36
shoeblack plant,large,none,59.0
hibiscus,large,none,112.75
rose,medium,mild,90.48
rose,medium,strong,85.0
rose,small,strong,30.56
rose,small,strong,72.12
rose,small,mild,88.27
shoeblack plant,large,none,85.23
rose,small,mild,69.58
hibiscus,large,none,163.38
shoeblack plant,medium,none,95.31
rose,medium,mild,66.16
rose,small,mild,45.37
rose,small,strong,45.54
rose,small,mild,36.88
rose,small,mild,87.02
shoeblack plant,large,none,74.62
shoeblack plant,medium,none,113.32
hibiscus,large,none,131.69
shoeblack plant,medium,none,53.14
shoeblack plant,medium,none,54.22
hibiscus,large,none,152.75
rose,small,strong,57.5
rose,small,strong,43.48
rose,medium,mild,75.52
rose,medium,strong,40.06
rose,medium,strong,58.44
shoeblack plant,large,mild,74.95
hibiscus,large,none,170.69
shoeblack plant,medium,none,136.63
hibiscus,large,none,121.77
rose,small,strong,62.97
rose,medium,mild,31.23
rose,medium,strong,44.22
rose,small,mild,65.73
shoeblack plant,medium,none,121.53
rose,medium,mild,76.28
rose,medium,mild,33.93
shoeblack plant,large,mild,133.63
hibiscus,large,none,101.32
rose,medium,strong,35.56
hibiscus,large,none,190.52
shoeblack plant,medium,none,106.78
shoeblack plant,large,none,64.54
rose,medium,mild,45.58
shoeblack plant,large,mild,110.0
shoeblack plant,large,none,131.92
shoeblack plant,medium,none,85.55
rose,small,strong,50.08
shoeblack plant,large,mild,124.83
rose,small,strong,31.4
rose,medium,strong,96.05
shoeblack plant,medium,none,128.17
hibiscus,large,none,133.12
shoeblack plant,large,none,91.74
hibiscus,large,none,175.15
hibiscus,large,none,129.24
shoeblack plant,medium,mild,115.07
rose,small,mild,97.46
shoeblack plant,large,mild,133.9
shoeblack plant,large,none,78.07
hibiscus,large,none,139.65
shoeblack plant,medium,none,71.84
shoeblack plant,large,none,70.41
rose,medium,strong,40.53
rose,small,strong,66.3
shoeblack plant,medium,none,89.25
shoeblack plant,medium,none,125.52
shoeblack plant,medium,mild,124.35
rose,small,strong,88.81
shoeblack plant,large,none,99.14
rose,medium,mild,53.12
hibiscus,large,none,168.13
shoeblack plant,large,mild,110.94
shoeblack plant,large,mild,63.62
rose,medium,strong,40.45
rose,small,mild,92.21
hibiscus,large,none,157.82
hibiscus,large,none,170.16
shoeblack plant,medium,none,110.46
rose,medium,mild,96.37
rose,medium,strong,31.97
rose,medium,strong,35.27
shoeblack plant,medium,mild,133.47
hibiscus,large,none,106.57
shoeblack plant,medium,mild,100.59
shoeblack plant,medium,mild,120.04
rose,medium,mild,60.02
hibiscus,large,none,158.95
hibiscus,large,none,197.32
hibiscus,large,none,136.39
shoeblack plant,medium,none,83.84
shoeblack plant,medium,none,77.82
hibiscus,large,none,107.18
rose,small,strong,84.11
shoeblack plant,medium,none,120.88
hibiscus,large,none,180.79
hibiscus,large,none,163.82
shoeblack plant,large,none,53.86
rose,medium,strong,90.89
hibiscus,large,none,150.69
rose,medium,mild,97.76
shoeblack plant,large,mild,125.6
hibiscus,large,none,138.52
shoeblack plant,large,none,69.34
rose,medium,strong,51.07
shoeblack plant,large,none,90.19
shoeblack plant,large,none,142.58
hibiscus,large,none,174.47
shoeblack plant,large,mild,104.55
rose,medium,strong,85.18
rose,medium,strong,42.49
rose,medium,strong,71.63
rose,medium,strong,57.2
shoeblack plant,medium,none,66.2
hibiscus,large,none,151.94
shoeblack plant,medium,mild,92.35
shoeblack plant,large,mild,138.76
shoeblack plant,large,mild,99.72
shoeblack plant,large,mild,50.96
rose,small,mild,68.22
rose,small,strong,44.67
hibiscus,large,none,104.29
shoeblack plant,large,none,100.57
hibiscus,large,none,166.36
rose,medium,mild,63.16
hibiscus,large,none,160.04
shoeblack plant,large,none,120.04
hibiscus,large,none,128.39
hibiscus,large,none,168.4
rose,medium,strong,66.22
hibiscus,large,none,111.33
hibiscus,large,none,101.56
hibiscus,large,none,191.39
shoeblack plant,medium,mild,92.42
hibiscus,large,none,165.69
rose,medium,strong,44.46
rose,small,strong,53.87
shoeblack plant,medium,mild,95.09
hibiscus,large,none,106.11
shoeblack plant,medium,mild,71.54
rose,medium,mild,89.38
hibiscus,large,none,125.35
hibiscus,large,none,131.13
shoeblack plant,medium,none,68.19
shoeblack plant,medium,none,135.97
rose,small,strong,56.82
hibiscus,large,none,182.85
hibiscus,large,none,186.36
rose,medium,mild,89.34
hibiscus,large,none,191.91
rose,medium,mild,73.58
shoeblack plant,medium,mild,143.11
shoeblack plant,medium,none,93.75
rose,medium,mild,48.44
rose,medium,mild,52.92
shoeblack plant,large,mild,83.73
shoeblack plant,medium,mild,131.69
rose,small,strong,37.45
hibiscus,large,none,103.87
rose,small,mild,50.63
hibiscus,large,none,169.68
shoeblack plant,large,mild,129.38
rose,medium,mild,64.92
rose,small,mild,76.44
shoeblack plant,medium,mild,56.73
hibiscus,large,none,156.1
rose,medium,strong,78.18
hibiscus,large,none,147.63
hibiscus,large,none,156.54
shoeblack plant,large,mild,55.76
hibiscus,large,none,127.22
rose,medium,strong,46.98
rose,medium,strong,72.05
rose,small,strong,44.12
hibiscus,large,none,188.61
hibiscus,large,none,190.79
hibiscus,large,none,173.14
hibiscus,large,none,132.99
hibiscus,large,none,180.13
rose,medium,strong,90.75
rose,small,strong,60.91
hibiscus,large,none,171.82
shoeblack plant,large,none,50.08
rose,small,mild,85.12
rose,small,strong,47.23
shoeblack plant,medium,none,72.04
hibiscus,large,none,105.56
shoeblack plant,medium,none,112.95
rose,small,strong,62.66
rose,medium,mild,38.6
shoeblack plant,large,none,146.35
shoeblack plant,medium,mild,89.25
shoeblack plant,large,mild,52.39
shoeblack plant,large,mild,132.75
hibiscus,large,none,158.03
rose,small,mild,87.53
rose,medium,mild,52.02
shoeblack plant,medium,mild,85.69
shoeblack plant,medium,none,58.85
hibiscus,large,none,196.34
rose,medium,strong,33.43
hibiscus,large,none,176.85
shoeblack plant,large,none,117.55
rose,medium,strong,33.58
rose,small,strong,65.77
shoeblack plant,medium,mild,113.78
hibiscus,large,none,162.4
hibiscus,large,none,134.83
rose,small,strong,88.71
shoeblack plant,large,mild,62.34
shoeblack plant,medium,none,85.94
rose,medium,strong,63.67
shoeblack plant,medium,mild,139.22
shoeblack plant,large,none,73.16
shoeblack plant,large,none,129.48
hibiscus,large,none,197.47
shoeblack plant,medium,none,75.72
rose,medium,strong,71.22
rose,small,strong,32.4
hibiscus,large,none,189.76
hibiscus,large,none,145.2
shoeblack plant,large,none,113.47
rose,medium,strong,75.25
hibiscus,large,none,198.41
shoeblack plant,medium,mild,140.09
rose,medium,mild,35.52
rose,small,strong,94.5
shoeblack plant,large,mild,65.84
shoeblack plant,large,mild,66.5
rose,small,strong,41.41
shoeblack plant,large,none,147.31
hibiscus,large,none,178.48
shoeblack plant,large,mild,125.04
rose,medium,mild,89.3
rose,small,strong,40.21
shoeblack plant,large,mild,90.59
shoeblack plant,large,mild,117.58
shoeblack plant,large,mild,97.85
rose,medium,mild,91.43
rose,medium,mild,77.41
rose,small,mild,71.21
hibiscus,large,none,160.15
hibiscus,large,none,175.91
shoeblack plant,large,mild,143.04
rose,medium,mild,37.25
shoeblack plant,large,none,103.46
shoeblack plant,large,none,149.13
hibiscus,large,none,169.98
shoeblack plant,medium,none,84.95
hibiscus,large,none,170.99
rose,medium,strong,64.33
hibiscus,large,none,128.69
rose,small,strong,46.62
rose,small,strong,92.22
rose,medium,strong,36.44
rose,medium,strong,96.13
hibiscus,large,none,144.03
rose,small,mild,44.16
shoeblack plant,medium,mild,85.31
shoeblack plant,medium,none,130.75
shoeblack plant,medium,mild,133.06
hibiscus,large,none,109.07
hibiscus,large,none,147.59
hibiscus,large,none,179.41
rose,small,strong,45.68
hibiscus,large,none,188.01
rose,small,strong,42.37
hibiscus,large,none,193.83
rose,small,strong,31.0
shoeblack plant,medium,none,115.36
hibiscus,large,none,169.39
rose,medium,strong,31.25
rose,medium,mild,58.62
rose,small,strong,43.51
shoeblack plant,large,mild,105.52
shoeblack plant,medium,none,115.77
rose,small,mild,70.77
hibiscus,large,none,139.9
shoeblack plant,medium,mild,80.12
rose,medium,mild,42.57
rose,medium,mild,93.91
rose,medium,strong,81.61
hibiscus,large,none,149.72
shoeblack plant,medium,mild,143.73
shoeblack plant,large,mild,59.61
shoeblack plant,large,mild,131.57
hibiscus,large,none,101.32
hibiscus,large,none,114.0
rose,small,mild,40.39
rose,medium,mild,67.68
hibiscus,large,none,173.16
rose,small,mild,79.48
shoeblack plant,medium,mild,60.54
rose,medium,mild,88.2
shoeblack plant,medium,mild,134.66
hibiscus,large,none,167.72
shoeblack plant,large,none,75.11
rose,medium,strong,91.06
hibiscus,large,none,179.2
hibiscus,large,none,171.93
hibiscus,large,none,161.49
rose,small,mild,40.27
rose,small,mild,93.79
rose,small,mild,76.19
shoeblack plant,large,mild,66.89
hibiscus,large,none,192.74
hibiscus,large,none,130.79
shoeblack plant,large,none,60.58
rose,small,strong,95.69
shoeblack plant,medium,mild,90.63
rose,medium,strong,48.36
shoeblack plant,medium,none,128.54
rose,small,mild,43.98
rose,small,mild,88.87
rose,small,strong,45.06
rose,small,strong,51.9
rose,small,strong,97.89
shoeblack plant,large,mild,101.47
shoeblack plant,large,none,74.66
hibiscus,large,none,188.58
shoeblack plant,medium,mild,65.74
hibiscus,large,none,156.51
shoeblack plant,medium,none,100.05
shoeblack plant,medium,mild,121.79
shoeblack plant,medium,none,62.41
shoeblack plant,large,none,76.02
rose,small,strong,84.91
hibiscus,large,none,100.47
rose,small,strong,63.29
rose,medium,mild,65.4
hibiscus,large,none,115.78
rose,medium,strong,96.99
shoeblack plant,medium,none,94.3
rose,small,mild,57.21
rose,small,mild,38.33
shoeblack plant,medium,mild,126.29
hibiscus,large,none,110.82
rose,small,strong,74.06
shoeblack plant,large,mild,140.44
shoeblack plant,large,mild,105.45
shoeblack plant,medium,none,70.83
rose,medium,strong,53.15
shoeblack plant,large,mild,70.48
rose,medium,strong,50.62
shoeblack plant,large,none,137.95
rose,small,mild,56.04
shoeblack plant,medium,none,99.17
hibiscus,large,none,119.59
rose,small,strong,76.93
shoeblack plant,large,mild,120.73
rose,medium,strong,69.66
hibiscus,large,none,104.8
rose,medium,strong,34.54
hibiscus,large,none,107.03
shoeblack plant,medium,mild,103.23
shoeblack plant,large,none,128.81
hibiscus,large,none,139.23
hibiscus,large,none,173.86
shoeblack plant,medium,mild,60.6
hibiscus,large,none,160.25
hibiscus,large,none,170.37
hibiscus,large,none,162.33
hibiscus,large,none,112.22
rose,medium,strong,79.57
hibiscus,large,none,159.26
rose,small,mild,70.97
rose,medium,strong,32.38
hibiscus,large,none,192.14
rose,medium,strong,82.7
hibiscus,large,none,194.07
hibiscus,large,none,141.63
rose,small,strong,92.56
hibiscus,large,none,101.12
hibiscus,large,none,100.41
rose,medium,strong,82.28
shoeblack plant,large,none,114.51
rose,medium,mild,52.84
rose,small,mild,49.14
rose,medium,mild,65.79
shoeblack plant,large,none,136.65
shoeblack plant,medium,mild,134.87
hibiscus,large,none,114.06
hibiscus,large,none,179.95
hibiscus,large,none,170.79
shoeblack plant,medium,mild,56.8
rose,medium,mild,43.81
hibiscus,large,none,179.97
rose,small,mild,41.85
rose,small,strong,61.51
hibiscus,large,none,100.6
hibiscus,large,none,127.05
shoeblack plant,medium,none,106.38
shoeblack plant,large,mild,84.2
hibiscus,large,none,141.51
shoeblack plant,large,mild,57.26
rose,small,mild,53.13
hibiscus,large,none,136.76
hibiscus,large,none,172.07
hibiscus,large,none,181.46
hibiscus,large,none,122.89
rose,small,strong,98.85
shoeblack plant,large,none,76.25
rose,small,mild,61.43
hibiscus,large,none,122.64
shoeblack plant,medium,none,116.16
shoeblack plant,large,none,64.7
hibiscus,large,none,192.45
shoeblack plant,medium,mild,86.38
hibiscus,large,none,147.49
shoeblack plant,large,mild,128.06
shoeblack plant,medium,none,137.5
shoeblack plant,medium,mild,54.51
rose,medium,mild,87.34
hibiscus,large,none,198.01
shoeblack plant,large,none,136.28
rose,small,mild,50.87
hibiscus,large,none,146.44
shoeblack plant,large,mild,69.89
hibiscus,large,none,124.84
rose,small,strong,72.94
hibiscus,large,none,155.23
hibiscus,large,none,114.54
shoeblack plant,large,mild,118.89
hibiscus,large,none,131.56
hibiscus,large,none,107.71
rose,medium,strong,33.07
shoeblack plant,large,mild,92.57
hibiscus,large,none,185.86
hibiscus,large,none,155.07
rose,medium,strong,52.91
hibiscus,large,none,119.88
rose,medium,strong,79.67
shoeblack plant,large,none,94.2
shoeblack plant,large,none,92.52
shoeblack plant,medium,mild,52.76
rose,medium,mild,46.2
shoeblack plant,medium,none,103.1
shoeblack plant,large,none,106.18
rose,small,strong,63.36
shoeblack plant,large,mild,125.03
hibiscus,large,none,139.51
hibiscus,large,none,124.3
hibiscus,large,none,144.66
shoeblack plant,large,mild,75.26
shoeblack plant,medium,mild,51.7
shoeblack plant,medium,none,126.65
shoeblack plant,medium,mild,113.05
rose,medium,strong,79.42
shoeblack plant,medium,none,68.65
hibiscus,large,none,112.48
shoeblack plant,large,none,76.26
shoeblack plant,large,mild,144.78
shoeblack plant,medium,none,149.53
shoeblack plant,large,mild,119.13
shoeblack plant,large,none,89.71
rose,small,strong,36.15
rose,medium,strong,32.05
hibiscus,large,none,195.08
hibiscus,large,none,181.62
hibiscus,large,none,153.66
hibiscus,large,none,103.63
hibiscus,large,none,155.53
rose,medium,mild,49.0
hibiscus,large,none,133.78
hibiscus,large,none,120.26
shoeblack plant,large,mild,50.47
hibiscus,large,none,184.78
rose,small,strong,87.31
rose,medium,mild,78.21
hibiscus,large,none,162.48
rose,medium,mild,96.45
rose,medium,mild,81.84
hibiscus,large,none,124.23
hibiscus,large,none,196.92
rose,small,strong,56.07
rose,small,mild,94.51
hibiscus,large,none,179.69
shoeblack plant,medium,mild,145.64
rose,medium,mild,89.26
shoeblack plant,medium,none,109.76
hibiscus,large,none,150.74
rose,medium,mild,48.5
shoeblack plant,large,mild,118.81
shoeblack plant,medium,none,79.02
rose,small,strong,81.46
shoeblack plant,medium,mild,135.88
shoeblack plant,medium,none,58.73
shoeblack plant,medium,mild,141.37
rose,small,mild,76.78
hibiscus,large,none,141.61
rose,small,mild,65.62
hibiscus,large,none,139.3
rose,medium,mild,64.96
rose,small,mild,94.88
shoeblack plant,large,mild,110.34
shoeblack plant,medium,mild,69.69
rose,medium,strong,68.29
rose,medium,mild,63.16
rose,medium,mild,58.11
hibiscus,large,none,109.29
shoeblack plant,medium,mild,64.49
shoeblack plant,medium,mild,93.12
rose,medium,strong,97.43
rose,small,mild,91.14
hibiscus,large,none,159.84
rose,small,mild,67.74
shoeblack plant,large,mild,102.63
rose,medium,strong,46.57
hibiscus,large,none,161.67
rose,medium,strong,78.83
hibiscus,large,none,183.37
shoeblack plant,large,mild,57.06
rose,medium,strong,98.95
hibiscus,large,none,175.71
shoeblack plant,large,mild,113.85
shoeblack plant,medium,none,124.21
rose,medium,strong,63.85
rose,medium,mild,33.75
hibiscus,large,none,142.78
shoeblack plant,large,mild,86.29
shoeblack plant,medium,mild,80.16
shoeblack plant,large,none,110.02
rose,medium,mild,91.75
hibiscus,large,none,196.22
hibiscus,large,none,192.2
shoeblack plant,medium,none,55.33
hibiscus,large,none,140.76
rose,small,mild,74.84
rose,small,mild,83.84
shoeblack plant,large,mild,125.72
hibiscus,large,none,172.54
hibiscus,large,none,143.56
hibiscus,large,none,123.18
shoeblack plant,large,mild,100.24
shoeblack plant,medium,mild,50.68
rose,medium,mild,56.7
hibiscus,large,none,119.42
rose,small,mild,57.34
rose,medium,strong,95.86
hibiscus,large,none,166.19
hibiscus,large,none,190.17
rose,small,strong,69.23
hibiscus,large,none,107.51
rose,medium,strong,35.43
hibiscus,large,none,118.53
hibiscus,large,none,128.86
shoeblack plant,large,mild,65.02
rose,small,strong,94.81
hibiscus,large,none,165.97
hibiscus,large,none,102.63
rose,small,mild,45.43
shoeblack plant,large,mild,113.96
rose,small,mild,56.76
shoeblack plant,large,none,95.41
rose,medium,mild,57.29
hibiscus,large,none,181.75
hibiscus,large,none,109.51
hibiscus,large,none,107.47
hibiscus,large,none,131.41
rose,medium,strong,95.75
shoeblack plant,medium,none,82.21
rose,medium,mild,68.81
hibiscus,large,none,141.06
shoeblack plant,large,none,66.92
shoeblack plant,medium,none,82.9
shoeblack plant,medium,none,95.58
shoeblack plant,medium,mild,73.88
shoeblack plant,large,mild,67.61
rose,small,strong,51.73
rose,small,strong,81.16
rose,small,strong,44.86
shoeblack plant,large,none,121.27
hibiscus,large,none,129.28
shoeblack plant,large,none,65.24
shoeblack plant,large,none,145.52
hibiscus,large,none,192.17
hibiscus,large,none,101.6
shoeblack plant,medium,none,145.93
rose,small,mild,37.17
shoeblack plant,medium,mild,50.61
hibiscus,large,none,142.89
hibiscus,large,none,122.82
shoeblack plant,medium,none,124.69
hibiscus,large,none,171.42
rose,medium,strong,77.28
shoeblack plant,large,mild,146.56
shoeblack plant,large,none,112.67
rose,small,strong,54.71
shoeblack plant,medium,mild,54.39
shoeblack plant,medium,none,148.16
rose,medium,mild,81.22
hibiscus,large,none,132.7
hibiscus,large,none,119.76
hibiscus,large,none,130.26
rose,small,mild,50.53
shoeblack plant,medium,mild,51.31
shoeblack plant,medium,mild,138.21
rose,medium,mild,66.07
shoeblack plant,large,none,138.71
rose,small,strong,60.94
shoeblack plant,medium,mild,115.82
shoeblack plant,medium,mild,128.56
hibiscus,large,none,176.33
shoeblack plant,medium,mild,107.91
hibiscus,large,none,168.55
hibiscus,large,none,109.17
hibiscus,large,none,140.87
hibiscus,large,none,123.0
rose,small,strong,81.63
hibiscus,large,none,130.53
rose,small,strong,99.52
shoeblack plant,medium,mild,91.21
shoeblack plant,large,none,102.9
shoeblack plant,large,mild,146.62
shoeblack plant,medium,mild,58.38
shoeblack plant,medium,none,144.54
shoeblack plant,large,mild,124.99
hibiscus,large,none,178.72
hibiscus,large,none,162.84
rose,small,strong,94.46
rose,small,mild,75.93
rose,medium,mild,34.87
hibiscus,large,none,107.2
shoeblack plant,medium,mild,146.59
rose,medium,mild,72.24
shoeblack plant,medium,mild,101.36
rose,small,strong,36.49
hibiscus,large,none,162.67
rose,medium,mild,91.27
rose,small,strong,71.44
rose,small,strong,71.2
shoeblack plant,large,none,129.36
hibiscus,large,none,165.92
rose,medium,strong,41.97
rose,small,mild,37.33
hibiscus,large,none,162.59
shoeblack plant,large,mild,67.61
shoeblack plant,large,mild,136.8
rose,medium,mild,40.88
shoeblack plant,medium,mild,56.16
shoeblack plant,large,mild,146.09
rose,small,mild,65.53
rose,medium,strong,77.82
hibiscus,large,none,173.77
rose,medium,strong,61.6
rose,small,strong,73.05
rose,medium,mild,35.85
shoeblack plant,medium,none,120.74
hibiscus,large,none,196.18
shoeblack plant,large,none,77.38
rose,small,strong,41.38
rose,small,strong,71.44
shoeblack plant,medium,mild,97.4
shoeblack plant,large,none,84.69
hibiscus,large,none,179.23
shoeblack plant,medium,none,56.89
hibiscus,large,none,145.95
shoeblack plant,medium,mild,127.35
hibiscus,large,none,114.34
shoeblack plant,large,mild,92.49
rose,medium,strong,44.61
rose,small,mild,48.71
rose,medium,mild,46.29
rose,medium,strong,68.48
hibiscus,large,none,189.85
rose,small,mild,41.36
shoeblack plant,medium,mild,93.86
rose,medium,strong,40.91
shoeblack plant,medium,none,120.22
rose,small,strong,38.17
shoeblack plant,large,mild,110.59
hibiscus,large,none,178.35
rose,medium,mild,41.53
shoeblack plant,medium,none,90.32
hibiscus,large,none,155.77
shoeblack plant,large,mild,131.15
rose,medium,strong,61.14
rose,medium,mild,81.98
hibiscus,large,none,118.87
rose,small,strong,37.18
hibiscus,large,none,149.19
hibiscus,large,none,131.23
rose,medium,mild,56.14
hibiscus,large,none,111.25
rose,medium,strong,70.08
rose,medium,mild,82.77
shoeblack plant,medium,mild,124.88
rose,small,strong,95.81
rose,medium,strong,77.98
rose,medium,strong,31.35
hibiscus,large,none,104.88
shoeblack plant,medium,none,102.52
hibiscus,large,none,128.44
hibiscus,large,none,189.44
rose,medium,mild,96.4
hibiscus,large,none,198.23
rose,small,strong,41.62
rose,medium,mild,92.7
hibiscus,large,none,164.43
hibiscus,large,none,178.95
shoeblack plant,large,none,81.41
shoeblack plant,medium,mild,83.81
hibiscus,large,none,177.88
rose,medium,strong,65.35
rose,medium,mild,89.94
hibiscus,large,none,100.45
rose,small,strong,87.58
rose,small,mild,43.78
shoeblack plant,medium,none,84.13
hibiscus,large,none,164.25
shoeblack plant,large,none,107.06
shoeblack plant,large,none,114.8
rose,small,mild,39.91
hibiscus,large,none,121.37
shoeblack plant,medium,none,56.15
rose,small,strong,57.01
rose,medium,strong,60.71
shoeblack plant,large,none,85.72
hibiscus,large,none,199.49
rose,small,strong,48.01
rose,small,mild,99.45
shoeblack plant,large,none,57.74
shoeblack plant,medium,mild,64.89
shoeblack plant,medium,mild,87.22
hibiscus,large,none,140.24
hibiscus,large,none,116.78
hibiscus,large,none,181.42
shoeblack plant,medium,none,117.17
rose,small,mild,45.32
rose,medium,strong,76.78
shoeblack plant,medium,mild,73.15
shoeblack plant,medium,none,94.91
shoeblack plant,large,mild,131.1
shoeblack plant,medium,mild,116.22
rose,medium,mild,76.29
shoeblack plant,large,none,138.39
shoeblack plant,medium,none,108.76
rose,small,mild,87.11
shoeblack plant,medium,none,59.48
rose,medium,strong,45.12
rose,small,strong,45.01
shoeblack plant,large,mild,118.37
rose,medium,mild,91.08
hibiscus,large,none,168.99
rose,medium,strong,42.49
hibiscus,large,none,165.03
rose,small,mild,56.52
shoeblack plant,large,none,105.61
hibiscus,large,none,137.45
shoeblack plant,large,mild,89.28
shoeblack plant,medium,mild,93.35
shoeblack plant,medium,none,109.83
hibiscus,large,none,199.07
shoeblack plant,medium,none,56.93
rose,small,mild,78.9
rose,medium,mild,85.84
shoeblack plant,large,none,64.48
shoeblack plant,large,none,109.63
hibiscus,large,none,145.35
hibiscus,large,none,112.75
rose,small,strong,73.58
rose,medium,strong,77.59
rose,small,strong,80.42
rose,medium,mild,88.45
shoeblack plant,medium,mild,61.76
hibiscus,large,none,150.22
shoeblack plant,medium,none,147.86
hibiscus,large,none,185.28
shoeblack plant,large,none,111.21
rose,small,mild,90.33
hibiscus,large,none,168.02
shoeblack plant,medium,none,114.02
hibiscus,large,none,159.1
shoeblack plant,large,none,124.37
shoeblack plant,large,none,134.51
rose,medium,strong,49.71
rose,medium,mild,40.49
rose,medium,mild,63.59
rose,small,strong,71.34
rose,small,strong,89.72
shoeblack plant,large,mild,93.45
rose,small,mild,66.01
shoeblack plant,large,mild,67.44
rose,medium,mild,30.54
rose,medium,strong,40.14
rose,small,strong,89.36
hibiscus,large,none,192.56
shoeblack plant,large,mild,137.63
rose,medium,mild,72.81
rose,medium,mild,31.89
rose,medium,mild,94.47
shoeblack plant,medium,none,124.09
hibiscus,large,none,140.85
hibiscus,large,none,152.84
rose,medium,strong,47.99
shoeblack plant,large,none,112.92
hibiscus,large,none,112.51
shoeblack plant,large,none,129.99
shoeblack plant,medium,mild,83.58
rose,medium,mild,50.65
shoeblack plant,medium,none,118.24
hibiscus,large,none,183.87
rose,medium,mild,92.09
hibiscus,large,none,180.34
shoeblack plant,large,none,143.22
hibiscus,large,none,103.05
hibiscus,large,none,194.12
hibiscus,large,none,115.1
shoeblack plant,medium,mild,142.68
hibiscus,large,none,153.33
rose,small,strong,71.4
rose,small,mild,36.58
shoeblack plant,large,none,131.67
rose,medium,mild,53.84
rose,small,strong,41.6
shoeblack plant,large,none,99.6
hibiscus,large,none,144.27
shoeblack plant,large,mild,62.17
hibiscus,large,none,122.65
hibiscus,large,none,171.58
hibiscus,large,none,184.71
rose,medium,strong,72.88
shoeblack plant,large,none,114.3
shoeblack plant,large,mild,50.09
hibiscus,large,none,198.36
rose,medium,strong,95.44
shoeblack plant,medium,none,59.46
hibiscus,large,none,153.88
shoeblack plant,medium,none,118.72
hibiscus,large,none,129.5
hibiscus,large,none,133.19
rose,small,strong,48.82
hibiscus,large,none,191.2
shoeblack plant,large,mild,145.56
rose,medium,strong,45.34
shoeblack plant,large,none,81.45
rose,medium,strong,79.66
hibiscus,large,none,128.08
rose,medium,strong,42.31
shoeblack plant,medium,mild,99.63
rose,medium,strong,57.68
shoeblack plant,large,none,72.39
rose,small,strong,35.25
shoeblack plant,large,mild,137.16
rose,small,mild,54.36
rose,medium,mild,88.08
hibiscus,large,none,169.66
shoeblack plant,large,none,136.46
shoeblack plant,large,mild,95.28
hibiscus,large,none,111.8
hibiscus,large,none,185.22
shoeblack plant,medium,none,92.35
hibiscus,large,none,172.67
shoeblack plant,large,mild,61.54
shoeblack plant,large,mild,148.63
rose,medium,mild,40.32
shoeblack plant,medium,mild,74.0
rose,medium,mild,94.76
shoeblack plant,medium,mild,56.61
hibiscus,large,none,155.15
hibiscus,large,none,131.09
hibiscus,large,none,136.85
rose,medium,mild,38.17
shoeblack plant,medium,none,87.04
rose,medium,strong,94.65
hibiscus,large,none,176.87
hibiscus,large,none,117.63
rose,medium,mild,65.65
shoeblack plant,large,mild,59.04
hibiscus,large,none,180.6
shoeblack plant,medium,mild,96.45
shoeblack plant,large,mild,65.11
rose,medium,strong,56.8
rose,small,mild,77.98
hibiscus,large,none,130.76
shoeblack plant,large,none,56.98
rose,medium,mild,40.7
shoeblack plant,large,none,110.73
rose,medium,strong,64.03
rose,medium,mild,52.84
rose,small,strong,92.93
rose,medium,strong,66.43
hibiscus,large,none,156.05
hibiscus,large,none,124.77
hibiscus,large,none,169.43
shoeblack plant,medium,mild,148.72
shoeblack plant,medium,none,55.97
shoeblack plant,medium,mild,134.86
shoeblack plant,medium,mild,140.41
hibiscus,large,none,120.86
hibiscus,large,none,115.59
shoeblack plant,large,mild,127.9
shoeblack plant,large,mild,67.71
shoeblack plant,large,mild,130.62
hibiscus,large,none,188.3
shoeblack plant,medium,mild,136.54
rose,small,mild,86.4
shoeblack plant,medium,none,130.99
shoeblack plant,medium,none,129.5
rose,small,strong,55.25
shoeblack plant,medium,mild,120.35
rose,medium,mild,43.6
rose,small,mild,52.37
rose,small,mild,40.96
rose,small,strong,50.53
rose,small,mild,99.91
hibiscus,large,none,115.7
shoeblack plant,large,mild,146.61
rose,medium,mild,38.13
hibiscus,large,none,157.3
shoeblack plant,large,none,56.09
shoeblack plant,medium,mild,62.43
rose,medium,mild,58.06
hibiscus,large,none,173.58
rose,medium,strong,84.12
rose,small,mild,83.64
hibiscus,large,none,143.46
rose,small,mild,59.92
hibiscus,large,none,169.42
rose,medium,strong,44.03
shoeblack plant,medium,none,58.36
hibiscus,large,none,140.1
hibiscus,large,none,128.58
shoeblack plant,large,none,115.47
rose,medium,mild,77.71
hibiscus,large,none,111.53
hibiscus,large,none,142.6
shoeblack plant,large,mild,111.11
hibiscus,large,none,119.51
shoeblack plant,large,mild,67.38
shoeblack plant,large,none,140.74
hibiscus,large,none,162.95
hibiscus,large,none,190.3
rose,small,mild,53.63
rose,medium,strong,54.06
rose,small,mild,85.59
rose,medium,strong,55.18
shoeblack plant,large,mild,121.22
rose,medium,strong,30.11
hibiscus,large,none,127.37
rose,medium,mild,50.44
shoeblack plant,medium,none,148.23
shoeblack plant,large,none,55.75
