id,name,now_cost,position,team,points_per_game,clean_sheets_per_90,red_cards,saves,own_goals,expected_goal_involvements_per_90,expected_assists,form_rank_type,influence_rank_type,expected_goal_involvements,now_cost_rank_type,expected_goals_conceded,expected_assists_per_90,penalties_saved,influence_rank,selected_rank_type,yellow_cards,goals_scored,creativity_rank,value_season,expected_goals,points_per_game_rank,web_name,goals_conceded_per_90,ict_index_rank,bps,ict_index_rank_type,corners_and_indirect_freekicks_order,form_rank,clean_sheets,ep_next,direct_freekicks_order,penalties_missed,selected_by_percent,influence,threat_rank_type,threat,creativity,saves_per_90,status,total_points,starts,minutes,ict_index,threat_rank,expected_goals_per_90,news,goals_conceded,news_added,chance_of_playing_next_round,creativity_rank_type,assists,now_cost_rank,bonus,starts_per_90,points_per_game_rank_type,selected_rank,penalties_order,expected_goals_conceded_per_90
144,Jan Paul van Hecke,45,DEF,Brighton,2.2,0.19,0,0,0,0.09,0.93,138,26,2.35,128,37.22,0.04,0,73,125,4,0,194,13.6,1.42,244,Van Hecke,1.44,143,454,35,,216,5,1.9,,0,0.3,631.8,35,175.0,176.4,0.0,a,61,26,2368,98.5,165,0.05,,38,,,50,0,446,3,0.99,82,326,,1.41
145,Joël Veltman,45,DEF,Brighton,1.8,0.17,0,0,0,0.06,0.53,72,78,0.99,62,25.63,0.03,0,213,140,4,1,261,10.9,0.46,296,Veltman,1.82,247,294,81,,112,3,1.9,,0,0.2,320.8,75,98.0,97.8,0.0,a,49,17,1579,51.8,239,0.03,,32,,,85,1,342,0,0.97,102,368,,1.46
146,Bart Verbruggen,45,GKP,Brighton,3.2,0.19,0,65,0,0.0,0.00,53,15,0.00,37,31.60,0.0,0,102,15,3,0,373,15.1,0.00,117,Verbruggen,1.33,239,417,16,,225,4,2.2,,0,3.1,541.4,54,0.0,1.0,3.1,a,68,21,1890,54.3,488,0.0,,28,,,14,0,455,7,1.0,21,104,,1.5
147,Adam Webster,45,DEF,Brighton,1.7,0.16,0,0,1,0.07,0.33,71,90,0.83,61,18.16,0.03,0,249,170,2,0,266,5.8,0.50,308,Webster,1.73,283,212,100,,110,2,1.9,,0,0.2,252.2,95,54.0,89.3,0.0,a,26,13,1142,39.7,280,0.04,,22,,,89,0,340,2,1.02,107,425,,1.43
148,Danny Welbeck,55,FWD,Brighton,2.7,0.43,0,0,0,0.35,1.46,27,23,6.55,27,27.78,0.08,0,209,51,4,5,117,14.4,5.09,182,Welbeck,1.49,113,261,21,,416,8,1.7,3.0,0,0.3,326.2,24,492.0,320.9,0.0,a,79,21,1687,114.0,62,0.27,,28,,,16,4,89,5,1.12,27,311,3.0,1.48
149,Mats Wieffer,50,MID,Brighton,0.0,0.0,0,0,0,0.0,0.00,134,233,0.00,175,0.00,0.0,0,540,190,0,0,539,0.0,0.00,540,Wieffer,0.0,541,0,233,,382,0,1.5,,0,0.1,0.0,233,0.0,0.0,0.0,a,0,0,0,0.0,537,0.0,,0,,,233,0,273,0,0.0,233,502,,0.0
150,Andrey Nascimento dos Santos,45,MID,Chelsea,1.0,0.0,0,0,0,0.77,0.00,47,210,0.06,244,0.02,0.0,0,512,180,0,0,378,0.2,0.06,379,Andrey Santos,0.0,398,1,184,,255,0,0.0,,0,0.1,0.0,177,3.0,0.5,0.0,a,1,0,7,0.2,354,0.77,,0,,,185,0,485,0,0.0,175,491,,0.26
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0.0,0.0,0,0,0,0.0,0.00,43,207,0.00,240,0.00,0.0,0,508,99,0,0,507,0.0,0.00,510,Ângelo,0.0,511,0,208,,249,0,0.0,,0,0.4,0.0,205,0.0,0.0,0.0,a,0,0,0,0.0,499,0.0,,0,,,208,0,479,0,0.0,208,307,,0.0
152,Kepa Arrizabalaga,45,GKP,Chelsea,0.0,0.0,0,0,0,0.0,0.00,37,59,0.00,21,0.00,0.0,0,466,37,0,0,460,0.0,0.00,467,Arrizabalaga,0.0,469,0,59,,109,0,1.2,,0,0.5,0.0,38,0.0,0.0,0.0,a,0,0,0,0.0,440,0.0,,0,,,50,0,339,0,0.0,59,266,,0.0
153,Benoît Badiashile,45,DEF,Chelsea,1.9,0.2,0,0,1,0.08,0.92,126,73,1.19,116,25.42,0.06,0,198,147,3,0,271,7.8,0.27,288,B.Badiashile,2.09,254,267,87,,184,3,0.9,,0,0.2,336.4,96,51.0,87.4,0.0,a,35,15,1337,47.5,285,0.02,,31,,,92,1,414,4,1.01,99,377,,1.71
154,Lucas Bergström,40,GKP,Chelsea,0.0,0.0,0,0,0,0.0,0.00,24,53,0.00,61,0.00,0.0,0,447,61,0,0,438,0.0,0.00,448,Bergström,0.0,450,0,53,,60,0,0.0,,0,0.1,0.0,25,0.0,0.0,0.0,a,0,0,0,0.0,413,0.0,,0,,,41,0,561,0,0.0,53,458,,0.0
155,Marcus Bettinelli,40,GKP,Chelsea,0.0,0.0,0,0,0,0.0,0.00,7,38,0.00,44,0.00,0.0,0,409,46,1,0,398,-0.2,0.00,411,Bettinelli,0.0,412,-3,38,,14,0,0.0,,0,0.3,0.0,8,0.0,0.0,0.0,a,-1,0,0,0.0,371,0.0,,0,,,24,0,515,0,0.0,38,315,,0.0
156,Armando Broja,55,FWD,Chelsea,1.7,0.51,0,0,0,0.42,0.23,36,38,2.47,36,8.40,0.04,0,340,67,0,1,280,6.4,2.24,322,Broja,1.53,309,72,35,,468,3,0.7,,0,0.1,75.6,35,152.0,70.3,0.0,a,35,6,529,29.0,184,0.38,,9,,,33,2,141,0,1.02,39,500,,1.43
157,Moisés Caicedo Corozo,50,MID,Chelsea,2.4,0.22,0,0,0,0.07,2.01,139,31,2.43,180,46.79,0.06,0,80,66,11,1,83,16.8,0.42,221,Caicedo,1.57,121,466,73,,391,7,0.5,,0,0.7,613.6,133,68.0,403.2,0.0,a,84,33,2865,108.2,259,0.01,,50,,,61,3,282,6,1.04,92,203,,1.47
158,Cesare Casadei,45,MID,Chelsea,1.0,0.0,0,0,0,0.1,0.08,38,169,0.08,235,3.48,0.1,0,372,156,0,0,325,2.4,0.00,375,Casadei,3.8,371,38,168,,242,0,0.0,,0,0.1,19.8,179,2.0,27.4,0.0,a,11,0,71,5.1,358,0.0,,3,,,161,0,472,0,0.0,173,461,,4.41
159,Trevoh Chalobah,45,DEF,Chelsea,3.0,0.28,0,0,0,0.04,0.16,87,91,0.36,77,15.26,0.02,0,250,129,1,1,309,8.7,0.20,144,Chalobah,1.33,300,221,109,,134,3,0.9,,0,0.3,250.8,104,38.0,45.4,0.0,a,39,10,949,33.4,298,0.02,,14,,,112,0,364,4,0.95,34,344,,1.45
160,Ben Chilwell,50,DEF,Chelsea,1.8,0.12,0,0,0,0.32,1.62,156,116,2.73,22,12.50,0.19,0,310,68,5,0,170,4.8,1.11,302,Chilwell,1.68,253,123,86,1.0,310,1,1.4,4.0,0,0.9,128.4,54,139.0,212.8,0.0,a,24,9,752,48.0,195,0.13,,14,,,40,2,201,2,1.08,105,192,,1.5
161,Carney Chukwuemeka,50,MID,Chelsea,1.8,0.0,0,0,0,0.17,0.29,137,149,0.41,178,4.60,0.12,0,339,178,2,1,284,3.2,0.12,304,Chukwuemeka,2.03,332,53,152,,386,0,0.5,,0,0.1,78.4,149,52.0,68.6,0.0,a,16,2,222,19.9,284,0.05,,5,,,153,1,277,0,0.81,132,489,,1.86
162,Levi Colwill,45,DEF,Chelsea,2.8,0.25,0,0,0,0.09,0.53,136,59,1.82,126,28.43,0.03,0,169,62,2,1,245,14.4,1.29,168,Colwill,1.3,210,355,63,,207,5,0.9,,0,1.2,394.6,43,163.0,113.2,0.0,a,65,20,1794,67.2,175,0.06,,26,,,78,1,437,4,1.0,48,168,,1.43
163,Marc Cucurella Saseta,50,DEF,Chelsea,2.1,0.2,0,0,1,0.11,1.01,157,63,2.17,23,31.18,0.05,0,173,18,10,0,132,8.8,1.16,265,Cucurella,1.67,183,318,51,,312,4,1.4,,0,8.3,384.4,61,122.0,283.9,0.0,a,44,20,1783,79.3,214,0.06,,33,,,28,3,203,3,1.01,91,47,,1.57
164,David Datro Fofana,55,FWD,Chelsea,3.3,0.1,0,0,0,0.5,0.30,42,31,4.88,42,16.91,0.03,0,266,66,1,4,248,9.1,4.58,109,D.D.Fofana,1.85,224,133,32,,486,1,0.7,,0,0.1,212.0,32,273.0,111.7,0.0,a,50,10,876,59.2,120,0.47,,18,,,30,1,159,8,1.03,20,485,,1.74
165,Deivid Washington de Souza Eugênio,50,FWD,Chelsea,1.0,0.0,0,0,0,3.85,0.00,26,58,0.47,59,1.68,0.0,0,551,65,0,0,387,0.4,0.47,387,Deivid,8.18,396,5,47,,415,0,0.4,,0,0.1,0.0,47,4.0,0.1,0.0,a,2,0,11,0.4,353,3.85,,1,,,47,0,306,0,0.0,45,477,,13.75
166,Kiernan Dewsbury-Hall,60,MID,Chelsea,0.0,0.0,0,0,0,0.0,0.00,204,254,0.00,51,0.00,0.0,0,573,69,0,0,573,0.0,0.00,573,Dewsbury-Hall,0.0,573,0,254,,499,0,1.2,,0,0.7,0.0,254,0.0,0.0,0.0,a,0,0,0,0.0,573,0.0,,0,,,254,0,78,0,0.0,254,210,,0.0
167,Axel Disasi,45,DEF,Chelsea,2.3,0.17,0,0,1,0.13,1.46,108,30,3.81,98,43.96,0.05,0,87,71,6,2,258,15.8,2.35,229,Disasi,1.74,169,468,47,,160,5,0.9,,0,0.8,573.2,37,172.0,105.5,0.0,a,71,29,2579,85.1,167,0.08,,50,,,83,0,390,6,1.01,73,199,,1.53
168,Enzo Fernández,50,MID,Chelsea,2.8,0.2,0,0,0,0.38,3.78,128,43,9.50,169,40.13,0.15,0,109,56,7,3,56,15.4,5.72,169,Enzo,1.92,79,369,51,,374,5,0.5,5.0,1,1.1,527.2,60,369.0,567.7,0.0,a,77,26,2208,146.3,94,0.23,,47,,,45,3,265,4,1.06,72,177,2.0,1.64
169,Conor Gallagher,60,MID,Chelsea,3.5,0.23,1,0,0,0.22,3.53,206,15,7.54,53,52.43,0.1,0,44,47,7,5,27,21.5,4.01,81,Gallagher,1.61,38,618,27,1.0,503,8,1.2,,0,1.5,754.8,53,401.0,821.5,0.0,a,129,37,3129,197.4,81,0.12,,56,,,22,8,82,10,1.06,40,146,,1.51
170,Alfie Gilchrist,40,DEF,Chelsea,1.8,0.45,0,0,0,0.16,0.05,40,125,0.37,181,5.46,0.02,0,345,69,1,1,355,5.0,0.32,295,Gilchrist,2.7,355,67,127,,66,1,0.0,,0,0.8,70.6,109,33.0,8.6,0.0,a,20,2,200,11.1,307,0.14,,6,,,129,0,567,0,0.9,101,196,,2.46
171,Malo Gusto,50,DEF,Chelsea,2.7,0.26,1,0,0,0.22,3.39,172,52,4.40,38,26.12,0.17,0,151,36,7,0,64,14.8,1.01,181,Gusto,1.44,116,409,24,,389,5,1.4,,0,3.4,434.8,36,174.0,494.8,0.0,a,74,19,1746,110.4,166,0.05,,28,,,11,6,280,10,0.98,53,96,,1.35
172,Reece James,50,DEF,Chelsea,1.1,0.0,2,0,0,0.35,1.36,166,115,1.66,32,11.31,0.29,0,308,104,0,0,200,2.2,0.30,358,James,2.81,290,106,104,4.0,344,0,0.0,2.0,0,0.4,137.4,90,61.0,172.1,0.0,s,11,5,416,37.1,270,0.06,Suspended until 14 Sep,13,2024-07-17T13:30:05.006577Z,0.0,53,2,235,0,1.08,123,275,,2.45
173,Omari Kellyman,45,MID,Chelsea,1.0,0.0,0,0,0,0.1,0.00,50,181,0.04,247,1.03,0.0,0,392,224,0,0,379,0.4,0.04,381,Kellyman,2.57,394,6,183,,259,0,0.0,,0,0.1,2.6,180,2.0,0.5,0.0,a,2,0,35,0.5,359,0.1,,1,,,186,0,489,0,0.0,177,540,,2.65
174,Roméo Lavia,45,MID,Chelsea,1.0,0.0,0,0,0,0.03,0.01,41,179,0.01,238,0.33,0.03,0,389,86,0,0,368,0.2,0.00,376,Lavia,0.0,393,2,182,,246,0,0.0,,0,0.5,3.6,204,0.0,1.9,0.0,a,1,0,32,0.6,497,0.0,,0,,,180,0,476,0,0.0,174,267,,0.93
175,Romelu Lukaku Bolingoli,65,FWD,Chelsea,0.0,0.0,0,0,0,0.0,0.00,51,67,0.00,17,0.00,0.0,0,575,38,0,0,575,0.0,0.00,575,Lukaku,0.0,575,0,67,,511,0,1.1,,0,0.6,0.0,67,0.0,0.0,0.0,a,0,0,0,0.0,575,0.0,,0,,,67,0,38,0,0.0,67,218,,0.0
176,Malang Sarr,45,DEF,Chelsea,0.0,0.0,0,0,0,0.0,0.00,96,178,0.00,86,0.00,0.0,0,475,177,0,0,471,0.0,0.00,477,M.Sarr,0.0,478,0,178,,146,0,0.9,,0,0.2,0.0,178,0.0,0.0,0.0,a,0,0,0,0.0,455,0.0,,0,,,178,0,376,0,0.0,177,441,,0.0
177,Noni Madueke,65,MID,Chelsea,3.3,0.34,0,0,0,0.4,2.13,228,82,4.64,40,18.37,0.18,0,194,87,2,5,131,11.7,2.51,112,Madueke,1.64,132,253,78,,532,4,1.3,,0,0.4,341.6,54,401.0,287.5,0.0,a,76,13,1044,102.8,82,0.22,,19,,,87,3,59,7,1.12,49,271,,1.58
178,Marc Guiu Paz,50,FWD,Chelsea,0.0,0.0,0,0,0,0.0,0.00,24,57,0.00,57,0.00,0.0,0,545,42,0,0,544,0.0,0.00,545,Marc Guiu,0.0,546,0,58,,401,0,0.4,,0,0.6,0.0,58,0.0,0.0,0.0,a,0,0,0,0.0,542,0.0,,0,,,58,0,292,0,0.0,58,235,,0.0
179,Mykhailo Mudryk,65,MID,Chelsea,3.0,0.4,0,0,0,0.45,3.15,234,81,7.92,46,25.05,0.18,0,193,88,5,5,71,14.5,4.77,155,Mudryk,1.61,103,291,65,3.0,539,7,1.3,,0,0.4,347.2,49,420.0,457.5,0.0,a,94,18,1564,122.4,76,0.27,,28,,,53,5,66,5,1.04,70,272,,1.44
180,Nicolas Jackson,75,FWD,Chelsea,4.1,0.29,0,0,0,0.68,3.00,64,6,21.14,10,47.46,0.1,0,40,17,10,14,62,18.9,18.14,45,N.Jackson,1.54,20,479,6,,565,9,1.3,,0,3.5,783.8,5,1098.0,501.7,0.0,a,142,31,2801,237.7,12,0.58,,48,,,5,6,23,12,1.0,11,95,3.0,1.52
181,Christopher Nkunku,65,MID,Chelsea,2.6,0.0,0,0,0,0.59,0.37,220,132,2.84,32,8.74,0.08,0,309,9,0,3,278,4.5,2.47,196,Nkunku,2.47,275,96,129,,524,0,1.3,,0,14.1,134.6,89,222.0,74.5,0.0,a,29,2,437,42.7,146,0.51,,12,,,150,0,51,4,0.41,82,25,,1.8
182,Cole Palmer,105,MID,Chelsea,7.2,0.24,0,0,0,0.88,8.17,254,1,25.52,2,45.48,0.28,0,1,1,7,22,12,23.2,17.35,1,Palmer,1.58,5,844,5,2.0,575,7,2.4,1.0,0,55.0,1240.2,8,1016.0,1022.5,0.0,a,244,29,2617,327.8,15,0.6,,46,,,10,13,3,32,1.0,1,2,1.0,1.56
183,Đorđe Petrović,45,GKP,Chelsea,3.1,0.23,0,75,0,0.0,0.00,50,13,0.00,34,34.93,0.0,0,89,20,2,0,493,15.8,0.00,132,Petrović,1.72,230,414,13,,206,5,1.2,,0,2.4,567.8,51,0.0,0.0,3.4,a,71,22,1986,56.8,479,0.0,,38,,,57,0,436,5,1.0,23,122,,1.58
184,Renato Palma Veiga,45,MID,Chelsea,0.0,0.0,0,0,0,0.0,0.00,53,213,0.00,250,0.00,0.0,0,516,162,0,0,513,0.0,0.00,516,Renato Veiga,0.0,517,0,213,,263,0,0.0,,0,0.1,0.0,212,0.0,0.0,0.0,a,0,0,0,0.0,507,0.0,,0,,,213,0,493,0,0.0,213,469,,0.0
185,Robert Sánchez,45,GKP,Chelsea,3.7,0.19,0,53,0,0.0,0.00,44,17,0.00,28,23.72,0.0,1,145,8,2,0,384,13.1,0.00,62,Sánchez,1.57,267,317,17,,155,3,1.2,,0,9.7,450.6,45,0.0,0.1,3.33,a,59,16,1433,45.2,458,0.0,,25,,,16,0,385,7,1.0,8,42,,1.49
186,Raheem Sterling,70,MID,Chelsea,4.0,0.23,0,0,0,0.49,4.33,237,54,10.72,14,32.83,0.2,0,124,29,7,8,68,17.6,6.39,48,Sterling,1.73,49,323,34,,543,5,1.4,3.0,0,3.9,502.8,18,747.0,473.7,0.0,a,123,22,1972,172.1,34,0.29,,38,,,50,8,25,8,1.0,26,94,4.0,1.5
187,Tosin Adarabioyo,45,DEF,Chelsea,3.3,0.33,0,0,0,0.06,0.32,70,53,1.10,60,28.19,0.02,0,152,102,2,2,317,14.7,0.78,101,Tosin,1.39,216,327,68,,108,6,0.9,,0,0.4,431.8,47,152.0,39.3,0.0,a,66,18,1616,62.4,183,0.04,,25,,,116,0,338,2,1.0,19,269,,1.57
188,Lesley Ugochukwu,45,MID,Chelsea,1.1,0.3,0,0,0,0.04,0.14,37,154,0.14,234,7.59,0.04,0,350,123,2,0,311,2.9,0.00,355,Ugochukwu,1.82,358,62,161,,241,1,0.0,,0,0.2,60.8,176,4.0,44.4,0.0,a,13,3,296,10.9,350,0.0,,6,,,158,0,471,0,0.91,161,383,,2.31
189,Wesley Fofana,45,DEF,Chelsea,0.0,0.0,0,0,0,0.0,0.00,133,186,0.00,123,0.00,0.0,0,490,118,0,0,488,0.0,0.00,492,W.Fofana,0.0,493,0,186,,198,0,0.9,,0,0.3,0.0,186,0.0,0.0,0.0,a,0,0,0,0.0,474,0.0,,0,,,186,0,428,0,0.0,185,314,,0.0
575,Caleb Wiley,40,DEF,Chelsea,0.0,0.0,0,0,0,0.0,0.00,37,163,0.00,178,0.00,0.0,0,448,187,0,0,439,0.0,0.00,449,Wiley,0.0,451,0,163,,61,0,0.0,,0,0.1,0.0,162,0.0,0.0,0.0,a,0,0,0,0.0,414,0.0,,0,,,163,0,562,0,0.0,161,531,,0.0
190,Naouirou Ahamada,45,MID,Crystal Palace,0.8,0.0,1,0,0,0.14,0.12,23,160,0.52,220,8.93,0.03,0,358,101,2,0,327,3.6,0.40,395,Ahamada,3.8,352,52,159,,213,0,1.0,,0,0.3,41.2,139,61.0,25.2,0.0,a,16,0,332,12.9,268,0.11,,14,,,162,0,443,0,0.0,185,317,,2.42
191,Joachim Andersen,45,DEF,Crystal Palace,3.2,0.26,0,0,0,0.1,2.08,86,3,3.83,76,53.71,0.05,0,28,5,7,2,122,26.9,1.75,115,Andersen,1.53,82,679,10,,133,10,1.9,,0,22.6,873.6,11,253.0,301.1,0.0,a,121,38,3416,143.1,125,0.05,,58,,,24,3,363,12,1.0,25,15,,1.42
192,Jordan Ayew,55,MID,Crystal Palace,3.1,0.39,1,0,0,0.23,2.55,157,48,6.52,55,36.77,0.09,0,115,75,7,4,74,19.8,3.97,139,J.Ayew,1.38,73,325,48,3.0,419,11,2.0,,0,0.5,517.6,35,550.0,445.2,0.0,a,109,30,2540,151.1,57,0.14,,39,,,56,7,92,3,1.06,62,240,,1.3
193,Cheick Doucouré,50,MID,Crystal Palace,1.9,0.29,0,0,0,0.1,0.76,123,126,1.04,164,13.76,0.07,0,292,169,2,0,221,4.2,0.28,292,C.Doucouré,1.17,297,141,136,,367,3,1.5,,0,0.1,165.8,157,36.0,138.5,0.0,a,21,11,920,34.2,304,0.03,,12,,,128,0,258,0,1.08,126,479,,1.35
194,Chris Richards,45,DEF,Crystal Palace,2.4,0.17,0,0,0,0.04,0.17,129,47,0.77,119,33.16,0.01,0,143,131,3,1,270,13.8,0.60,214,C.Richards,1.64,213,370,66,,192,4,1.9,,0,0.3,456.2,69,108.0,87.5,0.0,a,62,23,2091,65.2,227,0.03,,38,,,91,1,422,4,0.99,67,349,,1.43
195,Chadi Riad Dnanou,45,DEF,Crystal Palace,0.0,0.0,0,0,0,0.0,0.00,148,189,0.00,138,0.00,0.0,0,507,153,0,0,506,0.0,0.00,509,Chadi Riad,0.0,510,0,189,,248,0,1.9,,0,0.2,0.0,189,0.0,0.0,0.0,a,0,0,0,0.0,498,0.0,,0,,,189,0,478,0,0.0,188,392,,0.0
196,Nathaniel Clyne,45,DEF,Crystal Palace,2.7,0.34,0,0,0,0.02,0.21,57,104,0.42,47,21.65,0.01,0,284,165,0,0,286,11.6,0.21,174,Clyne,1.08,317,259,112,,85,5,1.9,,0,0.2,179.6,120,21.0,67.8,0.0,a,52,14,1335,27.0,325,0.01,,16,,,100,1,315,0,0.94,50,417,,1.46
197,Malcolm Ebiowei,45,MID,Crystal Palace,0.0,0.0,0,0,0,0.0,0.00,16,198,0.00,213,0.00,0.0,0,491,204,0,0,489,0.0,0.00,493,Ebiowei,0.0,494,0,199,,200,0,1.0,,0,0.1,0.0,191,0.0,0.0,0.0,a,0,0,0,0.0,475,0.0,,0,,,199,0,430,0,0.0,199,516,,0.0
198,Odsonne Edouard,55,FWD,Crystal Palace,2.6,0.35,0,0,0,0.42,0.86,33,21,7.19,33,20.54,0.05,0,186,35,4,7,148,14.4,6.33,193,Edouard,1.4,95,246,20,,449,6,1.7,3.0,0,0.7,359.6,19,663.0,256.7,0.0,a,79,17,1545,128.0,42,0.37,,24,,,19,0,122,9,0.99,28,206,3.0,1.2
199,Eberechi Eze,70,MID,Crystal Palace,5.0,0.35,0,0,0,0.65,5.66,240,18,14.78,17,32.39,0.25,0,47,4,3,11,28,19.4,9.12,16,Eze,1.23,24,490,16,1.0,549,8,2.4,1.0,0,33.4,740.4,20,735.0,810.0,0.0,a,136,24,2054,228.7,37,0.4,,28,,,23,5,31,11,1.05,13,8,1.0,1.42
200,Marc Guéhi,45,DEF,Crystal Palace,2.6,0.27,0,0,0,0.07,1.00,100,54,1.58,90,31.51,0.04,0,154,15,2,0,256,14.7,0.58,187,Guéhi,1.43,232,397,72,,150,6,1.9,,0,9.9,417.8,107,35.0,106.6,0.0,a,66,23,2020,56.1,305,0.03,,32,,,82,1,380,6,1.02,57,41,,1.4
201,Dean Henderson,45,GKP,Crystal Palace,2.7,0.22,0,58,2,0.0,0.01,42,18,0.01,26,26.47,0.0,0,150,14,2,0,467,10.7,0.00,176,Henderson,1.67,270,293,18,,132,4,2.2,,0,4.2,434.8,43,0.0,0.0,3.22,a,48,18,1620,43.7,450,0.0,,30,,,52,0,362,2,1.0,25,88,,1.47
202,Rob Holding,45,DEF,Crystal Palace,0.0,0.0,0,0,0,0.0,0.00,78,175,0.00,68,0.00,0.0,0,469,174,0,0,464,0.0,0.00,471,Holding,0.0,472,0,175,,123,0,1.9,,0,0.2,0.0,175,0.0,0.0,0.0,a,0,0,0,0.0,447,0.0,,0,,,175,0,353,0,0.0,174,435,,0.0
203,Will Hughes,50,MID,Crystal Palace,2.0,0.38,0,0,0,0.09,1.70,68,89,2.01,109,30.83,0.08,0,214,213,6,0,112,12.2,0.31,275,Hughes,1.81,200,252,101,5.0,288,8,1.5,,0,0.1,319.2,134,67.0,338.6,0.0,a,61,23,1886,72.3,261,0.01,,38,,,76,2,179,2,1.1,114,526,,1.47
204,Sam Johnstone,45,GKP,Crystal Palace,3.4,0.3,0,41,0,0.0,0.00,35,23,0.00,19,27.17,0.0,0,212,31,1,0,457,15.1,0.00,85,Johnstone,1.35,303,310,23,,102,6,2.2,,0,0.9,321.4,36,0.0,0.0,2.05,a,68,20,1796,32.2,437,0.0,,27,,,48,0,332,7,1.0,13,194,,1.36
205,Daichi Kamada,55,MID,Crystal Palace,0.0,0.0,0,0,0,0.0,0.00,180,246,0.00,78,0.00,0.0,0,560,79,0,0,560,0.0,0.00,559,Kamada,0.0,560,0,246,,456,0,2.0,,0,0.5,0.0,246,0.0,0.0,0.0,a,0,0,0,0.0,560,0.0,,0,,,246,0,129,0,0.0,246,251,,0.0
206,Jefferson Lerma Solís,50,MID,Crystal Palace,2.3,0.19,0,0,0,0.17,1.78,75,67,4.39,116,38.16,0.07,0,155,175,8,1,101,12.8,2.61,236,Lerma,1.73,134,338,79,,298,5,1.5,,0,0.1,417.6,84,240.0,366.1,0.0,a,64,27,2399,102.4,132,0.1,,46,,,71,1,189,4,1.01,96,486,,1.43
207,Jean-Philippe Mateta,75,FWD,Crystal Palace,4.7,0.32,0,0,0,0.48,1.30,61,7,12.14,7,40.46,0.05,0,41,8,3,16,82,22.0,10.84,22,Mateta,1.74,40,563,11,,560,8,2.3,,0,8.5,775.0,17,741.0,404.0,0.0,a,165,25,2274,191.9,36,0.43,,44,,,9,7,18,22,0.99,5,46,2.0,1.6
208,Matheus França de Oliveira,45,MID,Crystal Palace,1.6,0.0,0,0,0,0.31,0.46,49,161,0.79,246,3.49,0.18,0,359,95,1,0,276,3.6,0.33,327,M.França,2.81,341,47,155,,257,0,1.0,,0,0.4,36.4,147,53.0,77.7,0.0,a,16,1,224,16.5,282,0.13,,7,,,149,2,487,0,0.4,143,289,,1.4
209,Remi Matthews,40,GKP,Crystal Palace,1.0,0.0,0,0,0,0.0,0.00,10,33,0.00,47,0.07,0.0,0,396,49,0,0,403,0.2,0.00,360,Matthews,30.0,399,3,33,,20,0,1.0,,0,0.3,1.0,11,0.0,0.0,0.0,a,1,0,3,0.1,377,0.0,,1,,,27,0,521,0,0.0,33,340,,2.1
210,Tyrick Mitchell,50,DEF,Crystal Palace,3.2,0.28,0,0,0,0.11,2.39,167,19,3.66,33,50.84,0.07,0,61,43,6,2,90,23.8,1.27,120,Mitchell,1.54,96,590,14,,354,10,2.4,,0,2.5,669.8,29,209.0,393.7,0.0,a,119,37,3204,127.4,151,0.04,,55,,,16,3,245,10,1.04,29,121,,1.43
211,Daniel Muñoz,50,DEF,Crystal Palace,3.5,0.31,0,0,0,0.16,1.26,168,76,2.52,34,19.71,0.08,0,204,32,4,0,144,11.2,1.26,77,Muñoz,1.38,203,270,60,,359,5,2.4,,0,4.4,331.0,63,119.0,265.6,0.0,a,56,16,1440,71.7,216,0.08,,22,,,34,4,250,3,1.0,14,84,,1.23
212,David Ozoh,45,MID,Crystal Palace,0.9,0.0,0,0,0,0.01,0.01,46,165,0.01,243,3.06,0.01,0,366,202,1,0,363,1.8,0.00,390,Ozoh,3.04,378,27,174,,254,0,0.0,,0,0.1,25.2,208,0.0,4.0,0.0,u,8,0,148,2.9,502,0.0,Season long loan to Derby County,5,2024-07-26T08:51:53.649693Z,0.0,176,0,484,0,0.0,183,514,,1.86
213,Jesurun Rak-Sakyi,45,MID,Crystal Palace,1.3,0.68,0,0,0,0.38,0.14,18,167,0.54,215,3.21,0.1,0,369,130,0,0,324,1.8,0.41,345,Rak-Sakyi,2.05,356,21,160,,202,1,1.0,,0,0.2,23.2,144,58.0,28.2,0.0,a,8,0,132,11.0,277,0.28,,3,,,160,0,432,0,0.0,155,402,,2.19
214,Jeffrey Schlupp,50,MID,Crystal Palace,2.3,0.27,0,0,0,0.2,1.41,66,98,3.11,107,22.46,0.09,0,236,177,1,2,161,13.2,1.70,235,Schlupp,1.68,196,201,100,,282,4,1.5,,0,0.1,279.8,87,229.0,234.2,0.0,a,66,17,1340,74.1,139,0.11,,25,,,105,2,173,4,1.14,95,488,,1.51
215,Joel Ward,45,DEF,Crystal Palace,2.1,0.23,0,0,1,0.05,0.25,56,70,1.13,46,30.96,0.01,0,192,158,4,0,275,12.0,0.88,255,Ward,1.55,257,304,89,,84,5,1.9,,0,0.2,348.2,101,41.0,79.0,0.0,a,54,23,1978,46.8,294,0.04,,34,,,95,1,314,0,1.05,85,399,,1.41
216,Adam Wharton,50,MID,Crystal Palace,3.1,0.49,0,0,0,0.13,1.50,144,104,1.87,185,18.04,0.1,0,247,65,2,0,130,10.0,0.38,138,Wharton,1.11,228,222,113,4.0,400,7,1.5,,0,0.8,255.0,161,29.0,287.9,0.0,a,50,15,1296,57.3,314,0.03,,16,,,86,3,291,4,1.04,61,202,,1.25
