ID,Movie,Year,Genre,RunTime,Description,IMDB_Score
997,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,"A boy is taken hostage by IU7, which needs parts to repair itself.",7.6
998,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,The Brain Trust kidnaps Ro to force her into helping them setting off radioactive waves that would bring out children's psychic powers.,7.3
999,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",21 min,Ro has an opportunity to appear on a talk show and reunite with her brother. But appearing on the show means that she can no longer travel with Zeta.,7.7
1000,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",22 min,"While waiting for a conference where Dr. Selig is supposed to attend, Zeta is attacked by an infiltration unit they encountered earlier. Batman believes Zeta has returned to his old programming and comes to deal with him.",7.4
1001,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",21 min,Zeta is targeted by a bounty hunter. The bounty hunter captures Agent Lee and uses her as bait for Zeta.,7.4
1002,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",22 min,"Zeta, an infiltration unit, no longer wants to harm anyone. But the government won't let him go that easily. They want him back on his mission. Zeta encounters Ro, who tries to help him on his quest.",7.8
1003,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,Zeta and Ro get involved in a plot by Brother's Day to destroy the lab where Zeta was created.,7.2
1004,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",22 min,Zeta intercepts orders for an infiltration unit to eliminate an arms dealer. Bucky comes along with the desire to capture the latest generation infiltration unit.,6.9
1005,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,Zeta and Ro hide out in a village that doesn't tolerate technology.,7
1006,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,Zeta and Ro come to the aid of a disabled boy who is the prime suspect in a robbery.,6.8
1007,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",22 min,Zee and Ro board a train to evade their pursuers. Agent West manages to board the train. West tries to identify the pair before the train reaches its destination where more government agents await the train's arrival.,7.7
1008,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,"Three hackers rescue Zeta and Ro from the NSA, but they're not who they seem to be.",7.6
1009,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",0,Ro tries to rescue Zeta from the NSA before they erase his memories.,8
1010,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Simone, a gorgeous blonde, comes to Smallville hypnotizing Clark with a blue pendant ruining his relationship with Lana, as well as hypnotizing Martha and Lex.",7.8
1011,The Batman,(2004–2008),"Animation,Action,Adventure",22 min,Toymaker Cosmo Krank seeks revenge against Bruce Wayne after the billionaire successfully leads a campaign to remove his unsafe toys from store shelves.,7.4
1012,The Batman,(2004–2008),"Animation,Action,Adventure",21 min,"Upset that Batman and his sidekick, Batgirl, are constantly ruining his plans the Joker decides that he needs a partner of his own. He soon discovers the right candidate in Donnie, a ...                See full summary »",8
1013,Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,Roulette enlists the ladies of the JLU in her new & improved all-girl gladiatorial arena.,7.9
1014,Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,Hawkman returns with Shadow Thief and discovers the true nature of his relationship with Hawkgirl.,7.8
1015,The Batman,(2004–2008),"Animation,Action,Adventure",20 min,"After losing the mayoral election, billionaire technologies' mogul Maximilian Zeus takes to the skies in an airship in order to rule over Gotham like a god. Employing the Batwing and ...                See full summary »",7.6
1016,Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,"When Lex Luthor sends the Secret Society headquarters into outer space to find the remains of Brainiac, Grodd breaks free of his prison to lead a mutiny.",8.7
1017,Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",24 min,The resurrected Darkseid leads his force on an all-out attack on Earth in revenge against Superman and the Justice League and Secret Society must join forces to stop him.,9.3
1018,Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,"On her 21st birthday, Supergirl is transported to the 31st century along with Green Lantern and Green Arrow, to help the ""Legion of Super-Heroes"" combat ""The Fatal Five"". However, according to future sources, it is a mission from which she does not return.",7.9
1019,Smallville,(2001–2011),"Adventure,Drama,Romance",41 min,"The lonely Lana gets addicted in a meteor rock cocktail developed by her new acquaintance student of medicine, Lance, which allows the user to have a near-death experience and visit the ...                See full summary »",7.7
1020,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Jonathan Kent appears to Clark on his birthday and instructs him that he needs to kill Lionel Luthor because Lionel knows his secret. Meanwhile, Lionel comes clean to Martha about his ...                See full summary »",8.6
1021,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"When the foster mother and chief of staff of Martha's, Naomi, is brutally murdered, her adopted daughter, Maddie stays with Martha and Clark. The girl becomes close to Clark and speaks for ...                See full summary »",8
1022,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"After ""being prepared"" by Fine, Lex is abducted in a field by a strange light. Meanwhile, Clark goes to the Fortress of Solidude where the spirit of Jor-el gives a dagger to Clark and ...                See full summary »",9.1
1023,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",24 min,The Dog Stars argue as to who should take over the ship when Brainy Barker becomes incapacitated. Snooky infiltrates Streaky's fan club in order to scheme against Supercat and Superdog.,8.4
1024,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Lionel Luthor is chased by a man with a mask and forced to play hangman to save his life when he traps Lionel in his limo in the path of a moving train. Later, he is abducted by the same ...                See full summary »",8.5
1025,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"Krypto tells the story about how he arrived on Earth and met Kevin. Krypto continues his story, explaining how he became known as Superdog.",7.3
1026,The Batman,(2004–2008),"Animation,Action,Adventure",22 min,"The Digitally Advanced Villain Emulator, or D.A.V.E., is an artificially intelligent computer program made up of the combined psychological profiles of the most diabolical criminals committed to Arkham Asylum.",8.7
1027,The Batman,(2004–2008),"Animation,Action,Adventure",22 min,"When Alfred joins Ewan Fripp, an ""old school chum"" and world renowned treasure hunter, on his latest adventure, the pair find themselves in a race with Penguin and Mr. Freeze to locate a ...                See full summary »",7.9
1028,The Batman,(2004–2008),"Animation,Action,Adventure",30 min,"When the circus comes to Gotham, ruthless crime boss Tony Zucco demands protection money from the Flying Graysons, a family of trapeze artists. They refuse to pay and Zucco exacts revenge, ...                See full summary »",8.5
1029,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"With Clark banished to the Phantom Zone, Metropolis is in shambles as the city riots, and Chloe & Lionel plot to rid Lex of General Zod...one way or another.",9
1030,The Batman,(2004–2008),"Animation,Action,Adventure",23 min,"After countless humiliations at the hands of the Batman, Penguin realizes that while he may not be able to take down the Dark Knight alone an all-star team of Gotham's most dangerous ...                See full summary »",8
1031,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Still trying to fix the aftermath of Black Thursday, Clark gets a little run down and begins to show symptoms of the common cold, including a sneeze that has some effects of its own. Meanwhile, someone kidnaps Lex.",8.2
1032,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"One of the Phantom Zone escapees is up to no good in the local forest. Clark is jealous of Chloe's new boyfriend from the paper. Meanwhile, Lana and Lex finally sleep together and Lois falls in love with Oliver Queen, Martha's benefactor.",7.7
1033,The Batman,(2004–2008),"Animation,Action,Adventure",23 min,"Twenty years from now, Gotham City is terrorized by a dangerous villain from its past. The city must discover how to defend itself from this threat without the Batman.",8.5
1034,The Batman,(2004–2008),"Animation,Action,Adventure",22 min,"Shape-shifting villain Clayface turns himself in, promising to give up his criminal ways and hoping to earn a second life for his alter ego, Ethan Bennett. But when a new Clayface takes to ...                See full summary »",7.8
1035,The Batman,(2004–2008),"Animation,Action,Adventure",23 min,The Batman discovers what role he played in the origin of the villainous Riddler. Can Batman save both himself and and his foe from certain death at the bottom of the ocean?,8.1
1036,The Batman,(2004–2008),"Animation,Action,Adventure",23 min,"A new vigilante, one playing for keeps, comes to Gotham with his sights set on taking down the city's major villains permanently. Now Batman finds himself in the unusual position of having ...                See full summary »",8.1
1037,The Batman,(2004–2008),"Animation,Action,Adventure",23 min,After a seemingly ordinary criminal continues to get the better of Batman and his partners it is discovered that he has the ability to travel back in time by several seconds. Batman is now ...                See full summary »,8.1
1038,The Batman,(2004–2008),"Animation,Action,Adventure",23 min,"Professor Hugo Strange unleashes a deadly toxin on all of Gotham, turning its entire population into zombie-like creatures. With the fate of the city in his hands, Batman must overcome ...                See full summary »",9
1039,The Batman,(2004–2008),"Animation,Action,Adventure",21 min,"The Batman meets his opposite number in the form of the Wrath and his partner Scorn. Includes appearances by Joker, Penguin, Scarface/Ventriloquist and Killer Croc.",8.1
1040,The Batman,(2004–2008),"Animation,Action,Adventure",21 min,The Batman teams up with fellow Justice Leaguer Hawkman to foil a plot hatched by their foes Black Mask and Shadow Thief.,7.2
1041,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Lionel kidnaps Clark and holds him in a kryptonite-lined cell at a Luthorcorp facility; Chloe and Lana confront Lionel, who blames Lex, and they then take Kara to the Fortress and plead ...                See full summary »",8.6
1042,The Batman,(2004–2008),"Animation,Action,Adventure",30 min,"When the most powerful members of the Justice League are abducted, Batman, Robin and Green Arrow must discover the mystery surrounding their disappearance.",8.2
1043,Smallville,(2001–2011),"Adventure,Drama,Romance",40 min,"When Brainiac ends up in a confrontation with Clark after trying to coerce Kara into joining him, he takes it out on Lana.",8.6
1044,Cine Chalom,(2019– ),Talk-Show,0,a Plot,0
1045,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Despite his father's warning, Lex still finds himself in a power struggle from within over the secret to The Traveler...with some deadly results.",9.2
1046,Smallville,(2001–2011),"Adventure,Drama,Romance",40 min,"All in one night, the Feds try to head off Chloe, who's hacking into top secret computers, convince Jimmy Olsen that she's a terrorist, and ground Lex, preventing him from flying anywhere.",7.6
1047,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"When a member of the Veritas clan attacks in his name and carves Kryptonian symbols in the victim's chest, Clark stands by his principles in hurting no human being, even though the victim is Lex Luthor",8.4
1048,Smallville,(2001–2011),"Adventure,Drama,Romance",41 min,Clark feels that Kara is under the effects of red kryptonite when he discovers that she is the reason for the plane containing the last member of the Veritas exploding. Lex is directed to ...                See full summary »,8.8
1049,Smallville,(2001–2011),"Adventure,Drama,Romance",41 min,"Clark is shown by Jor-El what life on Earth would have been like, had he not sent him there instead of facing the doom of his fellow Kryptonians.",8.8
1050,The Batman,(2004–2008),"Animation,Action,Adventure",30 min,The Joining attempts a second invasion of Earth with a plan to steal the powers of the newly formed Justice League. Only the non-powered heroes Batman and Green [Arrow] stand between them and world conquest.,8.4
1051,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark's first day on the job at the Daily Planet begins with a bus exploding right outside the building, which leads him and Lois on a trail of someone who might be infected by kryptonite. ...                See full summary »",8.1
1052,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,Oliver Queen is poisoned at a charity fundraiser and Clark races around the world to find a cure.,8
1053,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Oliver gets a step closer to finding Lex, but Clark refuses to help for the time being, due to Chloe's special day, while Lois finds she has special feelings for Clark, who has a surprise (...                See full summary »",9.2
1054,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"The aftermath of Doomsday's attack on Chloe and Jimmy's wedding leaves Clark in shock, but before he can search for the kidnapped Chloe, an evil being, known as The Persuader, appears and ...                See full summary »",9
1055,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark discovers John Jones was shot while working as a police officer, so Clark dons the uniform and goes undercover to find the culprit. Meanwhile, Lana confronts Tess and tells her Lex ...                See full summary »",8
1056,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark and Chloe search for Lana, who has it in her head that things will be better between her and Clark if they were on ""a more-even keel,"" and goes off on her own in search of a suit ...                See full summary »",7.6
1057,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"When Tess inadvertently activates the mysterious Kryptonian Knowledge crystal found in the Artic, it emits a high-band beacon which summons an alien queen, named Maxima, who arrives on ...                See full summary »",8.2
1058,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"After Jimmy and Chloe disappear from sight for a bit and it turns out it has been against their will, Lois and Clark pose as a couple to flush out the kidnapper.",8.6
1059,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"A serial killer is on the loose in Metropolis, and Clark always seems to be one step behind him, while Chloe's paramedic friend seems to think he blacks out and performs the dirty deeds, himself.",8.1
1060,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Jimmy takes a photo of Clark using his super-speed while saving Lois from danger, but it comes out blurred. Tess decides the story should make the front page for the Daily Planet exposing ...                See full summary »",8.7
1061,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark receives a crystal that sends him and a visiting Lois to the Phantom Zone where they run into Kara. Kara tries to open a portal for Lois before it's too late but Zod's wife, Faora, ...                See full summary »",8.8
1062,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"When Chloe begins having memory loss when the essence of Brainac begins replacing her memories with Kryptonian codes, Clark decides to use the Cryrstal of Knowledge to reconstruct the ...                See full summary »",8.5
1063,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"It's been four weeks since the Fortress collapsed and Clark disappeared. Green Arrow calls upon Black Canary and Aquaman to locate the missing Clark Kent. Clark, in the meantime, is ...                See full summary »",8.7
1064,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"While Andrea prepares to celebrate Hanukkah, Ignatius inadvertantly brings a huge, angry snowman to life. Krypto manages to defeat the angry snowmen just in time for everyone to celebrate Hanukkah.",7.3
1065,Gotham Girls,(2000– ),"Animation,Comedy,Crime",0,a Plot,7.2
1066,Gotham Girls,(2000– ),"Animation,Comedy,Crime",0,a Plot,7.2
1067,Gotham Girls,(2000– ),"Animation,Comedy,Crime",0,a Plot,6.5
1068,Gotham Girls,(2000– ),"Animation,Comedy,Crime",0,a Plot,6.7
1069,The Sandman,(2021– ),"Action,Adventure,Drama",0,a Plot,0
1070,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,Kevin and Andrea team up when they become super-powered like Krypto.Krypto and Kevin are transferred into a videogame that tests their game-playing skills and superpowers.,9
1071,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,Bailey sneaks around trying to get a picture that will prove Krypto is Superdog.Pleeek miniaturize Superdog & Kevin so the now-tiny heroes can go inside Streaky to captures a dangerous germ.,8.6
1072,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"When Andrea learns that Krypto and Streaky are really Superdog and Supercat, she joins them and Kevin in a battle against Mechanikat. Bat Hound has to team up with Stretch-O-Mutt when Merton the Magic Rabbit captures Krypto.",8.6
1073,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"Isis gets her hands on the Pied Piper's flutes and takes control not only of Metropolis' rats, but of Krypto and Bat Hound too. Stretch-O-Mutt must come to the rescue when Mechanikat bathes...                See full summary »",8.6
1074,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"While at camp, Kevin uncovers a scheme to take over the world by a group of beavers. Streaky goes on a crusade to hunt down alien elephants that have stolen all the peanuts in Metropolis.",0
1075,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Streaky speaks before his fan club and tells a whopper of a tall tale about his superhero exploits. Drooly, a dog who desperately wants to join the Dog Stars, gets his chance when Snooky endangers the Dog Stars.",8.2
1076,Family Guy,(1999– ),"Animation,Comedy",30 min,"When Lois finds out her mother was a Holocaust survivor, Peter decides to adopt the Jewish faith.",7.1
1077,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Linda Lake comes back to Smallville and blackmails Clark to expose his true identity. However, Clark decides he will reveal his secret by himself. A fanatic teenager fakes a fall so Clark can save her.",8.6
1078,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,There is an explosion at Luthorcorp when Oliver is about to announce he controls the interests of Luthorcorp. Oliver suspects Lex is behind the explosion but he realizes the bomb was made ...                See full summary »,8.5
1079,Smallville,(2001–2011),"Adventure,Drama,Romance",60 min,"Reflecting on her status in life, Chloe finds that she's not all what she dreamed of becoming, so when a magician asks her to make a wish, little did she dream of it coming true...becoming Lois.",8.5
1080,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Tess devises a plan which will reveal Clark's true identity, while Davis comes up with a plan to ease the demon within him, but finds himself trying to scramble after Jimmy sees him kill someone.",8.1
1081,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"When Krypto loses his powers because of red kryptonite, Bathound tries to equip him with bat gear. Krypto is stalked by a companion robot dog from Krypton who is programmed to be his best friend.",8
1082,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,Kevin and Krypto have to spend a day in each other's bodies when red kryptonite causes their minds to switch. Krypto becomes Bathound's partner when they chase after Joker's hyenas.,7.3
1083,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Kevin learns what it's like to be a dog when aliens adopt him as their pet. When dogs all over the city start acting like other animals, Krypto investigates and discovers that Mechanikat is the cause.",7.5
1084,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,A flea from Krypton besieges Krypto when it chews his hide. Krypto helps save a caterpillar after hungry Ignatius enlarges the bug with a growth ray.,7.6
1085,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Ignatius creates a formula to grow super hair. While Krypto is away, Bathound is forced to team up with Streaky to stop a fish-stealing operation.",8
1086,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,Bathound assists the Dog Stars when Hot Dog goes missing. Krypto comes to Jimmy The Rat's aid when he disguises himself as a dog and becomes a member of the Downtown Dogs.,8.4
1087,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Bathound has a crisis in confidence when he pursues Catwoman's cat, Isis, who is able to use a bad luck charm against him. Krypto must come to the rescue of the Dog Stars when they are forced to perform in a space circus.",8.6
1088,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Streaky programs Dogbot to do super deeds so that Krypto can spend more time with Kevin. Kevin's bad boy cousin, Bailey, visits and discovers Krypto's secret.",8.6
1089,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Streaky tries to be a big-time superhero to impress his nephew, Squeaky. A movie star dog makes a pact with Snooky so that the actor can wear a super suit that gives him powers.",8.4
1090,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"When Streaky accidentally gets the power of invisibility, it wreaks havoc on his life. The Dog Stars are given chew toys that make them annoy one another.",8
1091,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"When Krypto gets amnesia, the Downtown Dogs trick him into thinking he's part of their group. Tail Terrier leaves the Dog Stars for the comfy life of a pet only to discover that it's not all that it's cracked up to be.",8.7
1092,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"Red kryptonite causes Krypto's tail to detach and take on a life of its own. Krypto, Kevin and Streaky have to save Metropolis when Ignatius changes the weather, turning winter into summer.",8.6
1093,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,"When the Dogstars get sick, Stretch-O-Mutt assumes their identities to fool Mechanikat into thinking everything is normal so Mechanikat won't attack their ship. Snooky hits Krypto with a beam that makes the dog think he's a cat.",8.4
1094,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,Snooky attacks Krypto with an aging machine and inadvertently ages Kevin into an adult. Bat Hound finds his life turned upside down when Thunder Mutt follows him around as research for his next role a dog detective.,8.6
1095,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,Mechanikat turns himself into a giant robot to defeat Superdog. Krypto and Kevin must defeat an intergalatic prankster who has stolen a device that can stop time.,8.2
1096,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",22 min,Ignatius creates chaos when he uses a duplicating machine to duplicate himself and ends up creating dozens of new Ignatiuses. Streaky takes his fan club to Bat Hound's Metropolis stronghold...                See full summary »,8.6
1097,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",21 min,"Kevin learns a lesson about the importance of family when he and Krypto are magically transported to Storybook Land, where the characters resemble Kevin's relatives. Krypto and Kevin's trip to Storybook Land continues.",7.3
1098,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,All signs point to the fact that Clark was not the only one that landed on Earth the day of the meteor shower in Smallville.,8.4
1099,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Chloe and Lois are attacked by two thugs which one of them is hit by Lois with her heel, she starts feeling a bit heroine about it so she recruits Jimmy for the picture so she can convince ...                See full summary »",8
1100,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Davis asks Chloe if she can go away from the city with him, but when Clark realizes Davis is alive, he confronts Chloe to give him an explanation about it. Meanwhile, Oliver discovers that ...                See full summary »",8.1
1101,Smallville,(2001–2011),"Adventure,Drama,Romance",43 min,"Chloe mysteriously returns to Smallville where she gives Clark the idea of killing Davis by telling him he can't keep the beast under control. Unknown to Clark, Tess has gotten together a ...                See full summary »",8
1102,Smallville,(2001–2011),"Adventure,Drama,Romance",60 min,"Clark tells Oliver that he must kill Davis, but Clark deals with the fact that he can't take a human life. This leaves the justice league to take the affair on their own hands. Then, Rokk ...                See full summary »",7.8
1103,20 to 1,(2005–2017),Documentary,0,Bert Newton counts down the most glamorous and instantly recognisable supermodels from 20 to 1.,0
1104,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"After being hit by a truck, John Corben becomes a human guinea pig when his heart is replaced by a machine powered by meteor rocks, which, in turn, gives him extraordinary strength, and he ...                See full summary »",8.3
1105,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark decides that he is ready to start his training at the Fortress of Solitude to become 'Superman'. However, the spirit of Jor-El insists that he return to Metropolis to cut his ties ...                See full summary »",8.5
1106,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark, unknowingly, exposes himself to Zod when a virus is released on Metropolis that turns its residents into zombies.",8.1
1107,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"After an accident, Clark (Tom Welling) is able to read Lois' mind, then he asks her out. Meanwhile, a washed up Oliver finds himself in danger.",8.5
1108,Batman: Black and White,(2008– ),"Animation,Crime,Drama",3 min,Batman has to deal with a broken nose while continuing his crime fighting activities.,7
1109,Batman: Black and White,(2008– ),"Animation,Crime,Drama",5 min,The Joker's origins are explored in this flashback episode.,7.5
1110,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,Alfred prepares for Bruce Wayne's birthday.,7.8
1111,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,Batman and Commissioner Gordon track down a suspect in the Gotham City subway tunnels.,7.1
1112,Batman: Black and White,(2008– ),"Animation,Crime,Drama",3 min,"Batman is poisoned with a drug that makes him hallucinate, seeing people as monsters.",7.3
1113,Batman: Black and White,(2008– ),"Animation,Crime,Drama",2 min,Batman has recurring nightmares.,7
1114,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,Batman tries to solve the murder of a Jane Doe.,8
1115,Batman: Black and White,(2008– ),"Animation,Crime,Drama",0,Harley Quinn tries to run from Batman.,6.5
1116,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,Batman hunts the great master thief Roscoe Chiara.,7
1117,Batman: Black and White,(2008– ),"Animation,Crime,Drama",6 min,"Harvey Dent (""Two-Face"") is caught in a web of deception when he meets his new bride's twin sister.",8.4
1118,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,Superhero twins Zan and Jayna (aka: the Wonder Twins) show up in Metropolis to help 'The Blur' fight crime with their combined shape-changing abilities. But the clumsy and naive teenagers ...                See full summary »,8.6
1119,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"A mysterious woman forces Oliver to play in a dangerous game of Russian Roulette and then turns up dead. The police believe Oliver is responsible and arrest him, while Clark reluctantly ...                See full summary »",8
1120,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,"A thug thinks he has killed the Caped Crusader, but when he starts to doubt himself he goes back to finish the job with surprising results.",7.7
1121,Batman: Black and White,(2008– ),"Animation,Crime,Drama",5 min,When Batman makes a near fatal mistake he must call on a another to come to his aid.,8
1122,Batman: Black and White,(2008– ),"Animation,Crime,Drama",5 min,Batman catches Catwoman stealing diamonds from a Nazi Spi in World War II-era Gotham.,7
1123,Batman: Black and White,(2008– ),"Animation,Crime,Drama",3 min,Batman discovers the remains of a young child in the subway and investigates the crime.,7.1
1124,Batman: Black and White,(2008– ),"Animation,Crime,Drama",5 min,A boy in World War II-era Gotham reflects on his heroes.,7.3
1125,Batman: Black and White,(2008– ),"Animation,Crime,Drama",10 min,"The janitor at Gotham's juvenile correctional facility recalls the chance meeting with Batman that set him on his path to redemption. / Even when nothing is left to chance, accidents can ...                See full summary »",8.4
1126,Batman: Black and White,(2008– ),"Animation,Crime,Drama",5 min,A woman seeks help for her recurring nightmares involving Batman.,8
1127,Batman: Black and White,(2008– ),"Animation,Crime,Drama",2 min,The legend of Batman becomes a bedtime story for a young boy in a futuristic Gotham.,7.2
1128,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,Batman discovers a mad scientist in Gotham and his horrible creations.,8
1129,Batman: Black and White,(2008– ),"Animation,Crime,Drama",4 min,An elderly woman encounters an injured Batman and muses on the importance of memories.,7.8
1130,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Oliver tries to help a young street girl, Mia AKA Speedy, get out of her dangerous life by offering to train her, but Mia double crosses him. Lois asks Clark to help her land a job as an ...                See full summary »",8.6
1131,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Jor-El mysteriously arrives at the Kent farm to hide the Book of Rao, but meets Chloe instead. She tells him that his son, Kal-El is on Earth and lives at the farm. Convinced the Blur is ...                See full summary »",8.4
1132,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Tess kidnaps Lois to find out where Lois went after she disappeared for weeks. Lois's memory of the future depicts a Metropolis under Zod's rule and Clark powerless under the red sun, while...                See full summary »",9
1133,Heroes,(2006–2010),"Drama,Fantasy,Sci-Fi",42 min,"Samuel goes off and tries to bring Emma into the fold by manipulating her about how special her sight-of-sound powers are, while back at the Sullivan Brothers Carnival, Claire becomes more ...                See full summary »",7
1134,Heroes,(2006–2010),"Drama,Fantasy,Sci-Fi",41 min,"Claire attends Nathan's funeral while Peter struggles with his grief in his own way by wanting to seek revenge. Meanwhile, Noah and Lauren interrogate a captured Edgar for information to ...                See full summary »",6.9
1135,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,Someone with Oliver's skills as an archer take aim at Lois and Chloe.,8
1136,Smallville,(2001–2011),"Adventure,Drama,Romance",42 min,"Clark meets the sorceress Zatanna (from episode 'Hex') at a comic book convention, where she tells him that her father charmed a copy of the comic book ""Warrior Angel"" and it holds magical ...                See full summary »",8.2
1137,Human Target,(2010–2011),"Action,Adventure,Crime",60 min,"Chance races against time and crashes a black-tie affair at the Russian Embassy to find a friend's killer. As he becomes embroiled in an international arms deal, he meets his match in a beautiful female counterpart .",8
1138,Human Target,(2010–2011),"Action,Adventure,Crime",60 min,"Christopher Chance is a man who seems to get his thrills on protecting people from all walks of life. In the opener, he takes a case where he needs to protect a mechanical engineer who ...                See full summary »",7.6
1139,Human Target,(2010–2011),"Action,Adventure,Crime",55 min,Chance is hired to protect a district attorney who is running from her family's past and marked for murder because of her investigation into an organized crime family.,8.1
1140,Human Target,(2010–2011),"Action,Adventure,Crime",60 min,Chance travels to a remote Alaskan island to find a missing doctor and expose an industrial giant's involvement in the death of a mining foreman.,7.9
1141,Smallville,(2001–2011),"Adventure,Drama,Romance",84 min,"A man named Sylvester Pemberton tracks down Chloe and tells her he knows about her team of superheroes and needs their help. However, before he can explain who he is, he is attacked and ...                See full summary »",9.1
