Drug Name,Problem,Agents,Age Restrictions,Tablet/ Injection/Syrup/ Cream,Usage,Side effects,Safety Advice,Interaction with drugs,Remarks
Gentamicin IP 40 mg,Meningitis,antibiotic,1,Injection,"Your doctor or nurse will give you this medicine. Kindly do not self administer, The daily dose recommended in children (aged 1 year and above) and adolescents with normal renal function, is 3-6 mg/kg body weight per day as 1 single dose","Hearing loss, Kidney damage, Balance disorder (loss of balance), Injection site pain","Gentamycin Injection is safe for alcohol consumption, but unsafe during pregnancy, breastfeeding, driving, and kidney disease patients. It's recommended to consult a doctor for any concerns, especially in patients with liver disease, kidney disease, or liver disease.","Abacavir, Adefovir, Alendronic Acid, Amphotericin B",Under Medical Supervision
Gentamicin IP 40 mg,Sepsis,antibiotic,1,Injection,"Your doctor or nurse will give you this medicine. Kindly do not self administer, The daily dose recommended in children (aged 1 year and above) and adolescents with normal renal function, is 3-6 mg/kg body weight per day as 1 single dose","Hearing loss, Kidney damage, Balance disorder (loss of balance), Injection site pain","Gentamycin Injection is safe for alcohol consumption, but unsafe during pregnancy, breastfeeding, driving, and kidney disease patients. It's recommended to consult a doctor for any concerns, especially in patients with liver disease, kidney disease, or liver disease.","Abacavir, Adefovir, Alendronic Acid, Amphotericin B",Under Medical Supervision
Gentamicin IP 40 mg,Bacterial Infections,antibiotic,1,Injection,"Your doctor or nurse will give you this medicine. Kindly do not self administer, The daily dose recommended in children (aged 1 year and above) and adolescents with normal renal function, is 3-6 mg/kg body weight per day as 1 single dose","Hearing loss, Kidney damage, Balance disorder (loss of balance), Injection site pain","Gentamycin Injection is safe for alcohol consumption, but unsafe during pregnancy, breastfeeding, driving, and kidney disease patients. It's recommended to consult a doctor for any concerns, especially in patients with liver disease, kidney disease, or liver disease.","Abacavir, Adefovir, Alendronic Acid, Amphotericin B",Under Medical Supervision
Glibenclamide 2.5 mg,Type II Diabetes Mellitus,antidiabetic,18,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it","Hypoglycemia (low blood glucose level), Nausea, Diarrhea, Heartburn, Stomach fullness, Vomiting, Abdominal pain","This medication is not recommended for pregnant women or breastfeeding, as it may cause reduced blood sugar levels. It is advised to avoid alcohol consumption and report any symptoms to a doctor. Pregnant women should consult a doctor before use, and close monitoring of the infant is necessary.","Atenolol, Clarithromycin, Gatifloxacin, Ethinyl Estradiol, Bosentan, Ibuprofen",
Glibenclamide 5 mg,Type II Diabetes Mellitus,antidiabetic,18,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it","Nausea, Heartburn, Abdominal fullness, Yellowing of skin and eyes, Dark colored urine, Fever or chills","This medication is not recommended for pregnant women or breastfeeding, as it may cause reduced blood sugar levels. It is advised to avoid alcohol consumption and report any symptoms to a doctor. Pregnant women should consult a doctor before use, and close monitoring of the infant is necessary.","Atenolol, Clarithromycin, Gatifloxacin, Ethinyl Estradiol, Bosentan, Ibuprofen",
Glimepride IP 1mg,Type II Diabetes Mellitus,antidiabetic,18,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it","Hypoglycemia (low blood glucose level), Headache, Nausea, Dizziness, Weakness","This medication is not recommended for pregnant women or breastfeeding, as it may cause reduced blood sugar levels. It is advised to avoid alcohol consumption and report any symptoms to a doctor. Pregnant women should consult a doctor before use, and close monitoring of the infant is necessary.","Trimethoprim, Amiloride, Atenolol, Beclometasone",
Hydrochlorothiazide 25mg,Hypertension,anti-hyper agents,ALL,Tablet,"Take hydrochlorothiazide daily, preferably 4 hours before bedtime, based on medical condition and treatment response. Regularly take it, even if feeling well, and avoid taking it with cholesterol-lowering drugs.","Dizzy, Back, leg, or stomach pains, increased hunger, increased sweating","This medication may cause dizziness, so avoid driving or using machinery. Drinking alcohol, narcotic pain relievers, or sleeping pills may also cause lightheadedness, dizziness, or fainting. Consult a doctor.","Albuterol, Alogliptin, Amphetamine, Amtolmetin Guacil, Arsenic Trioxide, Aspirin",
Hydrochlorothiazide 25mg,Edema,anti-hyper agents,ALL,Tablet,"Take hydrochlorothiazide daily, preferably 4 hours before bedtime, based on medical condition and treatment response. Regularly take it, even if feeling well, and avoid taking it with cholesterol-lowering drugs.","Dizzy, Back, leg, or stomach pains, increased hunger, increased sweating","This medication may cause dizziness, so avoid driving or using machinery. Drinking alcohol, narcotic pain relievers, or sleeping pills may also cause lightheadedness, dizziness, or fainting. Consult a doctor.","Albuterol, Alogliptin, Amphetamine, Amtolmetin Guacil, Arsenic Trioxide, Aspirin",
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Arthritis,Corticosteroids,below12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Allergies,Corticosteroids,B12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Blood Diseases,Corticosteroids,B12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Skin Diseases,Corticosteroids,B12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Intestinal Disorders,Corticosteroids,B12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Lupus,Corticosteroids,B12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrocortisone Sodium Succinate IP contains Hydrocortisone 100 mg/in 5ml vial,Asthma,Corticosteroids,B12,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Stomach upset, headache, dizziness, trouble sleeping, appetite changes, menstrual period changes, acne","This drug may cause dizziness, especially when combined with alcohol or marijuana. It may also cause stomach bleeding. Long-term use of corticosteroid medications can make it difficult for the body to respond to physical stress. Inform your doctor or dentist about your use before surgery, emergency treatment, or serious illnesses. Carry a warning card or medical ID bracelet to identify long-term use.","Aldesleukin, Desmopressin, Mifepristone",Under Medical Supervision
Hydrogen Peroxide IP 6% in 200ml,Minor cuts,Mild Disinfectant,6,Lotion,The affected area should be clean and dry before application. You must wash your hands thoroughly before and after applying this medicine. This medicine should be used regularly to get the most benefit from it. Do not use more than you need as it will not clear your condition faster and some side effects may be increased,"Scaling of skin, itching, redness of skin, stinging sensation, and swelling","Hydrogen Peroxide Solution, used during pregnancy and breastfeeding, is not safe due to lack of specific information, advising individuals to consult their doctors for guidance.","Selenoproteins, and selected thiol proteins",As Prescribed
Hydrogen Peroxide IP 6% in 200ml,Cleaning,Mild Disinfectant,6,Lotion,The affected area should be clean and dry before application. You must wash your hands thoroughly before and after applying this medicine. This medicine should be used regularly to get the most benefit from it. Do not use more than you need as it will not clear your condition faster and some side effects may be increased,"Scaling of skin, itching, redness of skin, stinging sensation, and swelling","Hydrogen Peroxide Solution, used during pregnancy and breastfeeding, is not safe due to lack of specific information, advising individuals to consult their doctors for guidance.","Selenoproteins, and selected thiol proteins",As Prescribed
Hyoscinebutylbromide Tablet 10 mg,Stomach Pain,anticholinergic,12,Tablet,"It is used to relieve cramps in the muscles of stomach, intestine, bladder and ureter.","Nausea, Diarrhea, Constipation, Vomiting, Insomnia (difficulty in sleeping), Heartburn, Confusion, Vertigo","Inform your doctor or pharmacist about your health conditions before using hyoscine butylbromide, including pregnancy, prostate issues, digestive issues, high blood pressure, heart attacks, glaucoma, and fast heart rate.","Domperidone, Metoclopramide, Quinidine, Disopyramide, Tiotropium",
IFA syrup,Iron Deficiency,Iron Supplements,B5,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Stomach pain or heartburn., Stomach cramps.","IFA Syrup, an iron supplement, is used to treat iron deficiency and anemia, but requires careful dosage adjustment and medical advice for optimal use.","IRON+FOLIC ACID should not be taken along with alcohol, dairy products, and eggs as it might affect IRON+FOLIC ACID absorption in the body",
IFA syrup,Anemia,Iron Supplements,B5,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Stomach pain or heartburn., Stomach cramps.","IFA Syrup, an iron supplement, is used to treat iron deficiency and anemia, but requires careful dosage adjustment and medical advice for optimal use.","IRON+FOLIC ACID should not be taken along with alcohol, dairy products, and eggs as it might affect IRON+FOLIC ACID absorption in the body",
Iron Folic Acid Tablets Large Red Enteric Coated,Iron Deficiency,Iron Supplements,18,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it. These tablets are used for pregnant and lactating women","Constipation, diarrhea, stomach cramps, or upset stomach","This medication, containing aspartame, should be used cautiously by individuals with PKU, diabetes, alcohol dependence, liver disease, and breastfeeding, requiring consultation with a healthcare provider.","Levodopa, penicillamine, quinolone antibiotics",
Iron Folic Acid Tablets Small Pink Enteric Coated,Iron Deficiency,Iron Supplements,5,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it","Constipation, diarrhea, stomach cramps, or upset stomach","This medication, containing aspartame, should be used cautiously by individuals with PKU, diabetes, alcohol dependence, liver disease, and breastfeeding, requiring consultation with a healthcare provider.","Levodopa, penicillamine, quinolone antibiotics",
Isosorbide Dinitrate 10mg,Chest Pain,Vasodilators,18,Tablet,"This medication should be taken daily, 2-3 times, as directed by your doctor, and should not be changed without consulting your doctor.","Headache, Dizzyness","This medication may cause dizziness, especially in older adults, and should be used cautiously, avoiding activities requiring alertness, and informed about all medications before surgery.","Viagra, Cialis, Levitra, Stendra, Staxyn, sildenafil, avanafil, tadalafil, vardenafil",
Lactulose Solution 3.325gm/5ml in 100ml bottle,Constipation,Osmotic Laxative,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Abdominal pain, Nausea, Vomiting, Diarrhea","Lose IT 3.325gm Oral Solution is safe for consumption with alcohol, pregnancy, breastfeeding, and individuals with kidney or liver disease, with minimal adverse effects.",Antacids,As Prescribed
Lactulose Solution 3.325gm/5ml in 100ml bottle,Hepatic encephalopathy,Osmotic Laxative,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Abdominal pain, Nausea, Vomiting, Diarrhea","Lose IT 3.325gm Oral Solution is safe for consumption with alcohol, pregnancy, breastfeeding, and individuals with kidney or liver disease, with minimal adverse effects.",Antacids,As Prescribed
Levocetirizine dihydrochloride 5mg Plus Montelukast 10mg tablet,Sneezing,Levocetirizine dihydrochloride 5mg and Montelukast 10mg,ALL,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it.","Diarrhea, Dryness in mouth, Fatigue, Headache, Sleepiness, Vomiting, Constipation","Levocetirizine and Montelukast can cause dizziness and sleepiness, so be cautious while driving or requiring concentration, and avoid alcohol consumption to avoid increased sleepiness.","Monticope Tablet, Levocet M Tablet, Levozet M Tablet, Montecip LC Tablet, Miontizee-L Tablet",As Prescribed
Levocetirizine dihydrochloride 5mg Plus Montelukast 10mg tablet,Cough,Levocetirizine dihydrochloride 5mg and Montelukast 10mg,ALL,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it.","Diarrhea, Dryness in mouth, Fatigue, Headache, Sleepiness, Vomiting, Constipation","Levocetirizine and Montelukast can cause dizziness and sleepiness, so be cautious while driving or requiring concentration, and avoid alcohol consumption to avoid increased sleepiness.","Monticope Tablet, Levocet M Tablet, Levozet M Tablet, Montecip LC Tablet, Miontizee-L Tablet",As Prescribed
Levocetirizine dihydrochloride 5mg Plus Montelukast 10mg tablet,Cold,Levocetirizine dihydrochloride 5mg and Montelukast 10mg,ALL,Tablet,"Take this medicine in the dose and duration as advised by your doctor based on patient conditions. Swallow it as a whole. Do not chew, crush or break it.","Diarrhea, Dryness in mouth, Fatigue, Headache, Sleepiness, Vomiting, Constipation","Levocetirizine and Montelukast can cause dizziness and sleepiness, so be cautious while driving or requiring concentration, and avoid alcohol consumption to avoid increased sleepiness.","Monticope Tablet, Levocet M Tablet, Levozet M Tablet, Montecip LC Tablet, Miontizee-L Tablet",As Prescribed
Levocetrizine 2.5mg/5ml,Cold,Antihistamine,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Nausea, Constipation, Dizziness, Sleepiness, Fatigue, Dryness in mouth, Headache","Levocetirizine 2.5mg Syrup is safe for liver disease, kidney disease, and severe liver disease, but requires consultation for dose adjustment and personalized recommendations.","Aprepitant, Fosaprepitant, Zafirlukast, Alprazolam",As prescribed
Levocetrizine 2.5mg/5ml,Cough,Antihistamine,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Nausea, Constipation, Dizziness, Sleepiness, Fatigue, Dryness in mouth, Headache","Levocetirizine 2.5mg Syrup is safe for liver disease, kidney disease, and severe liver disease, but requires consultation for dose adjustment and personalized recommendations.","Aprepitant, Fosaprepitant, Zafirlukast, Alprazolam",As prescribed
Levocetrizine 2.5mg/5ml,Sneezing,Antihistamine,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Nausea, Constipation, Dizziness, Sleepiness, Fatigue, Dryness in mouth, Headache","Levocetirizine 2.5mg Syrup is safe for liver disease, kidney disease, and severe liver disease, but requires consultation for dose adjustment and personalized recommendations.","Aprepitant, Fosaprepitant, Zafirlukast, Alprazolam",As prescribed
Levothyroxine 25mcg,Thyroid,Thyroid Hormone Thyroxine (T4),6,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Eltroxin 25mcg Tablet is to be taken empty stomach.","Vomiting, Anxiety, Diarrhea, Weight loss, Nervousness","Eltroxin 25mcg Tablet is safe for consumption, pregnancy, breastfeeding, and driving ability, but consultation with a doctor is advised for individuals with kidney or liver disease.",Drug interactions may change how your medications work or increase your risk for serious side effects.,As prescribed
Levothyroxine 50mcg,Thyroid,Thyroid Hormone Thyroxine (T4),6,Tablet,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Eltroxin 25mcg Tablet is to be taken empty stomach.","Vomiting, Anxiety, Diarrhea, Weight loss, Nervousness","Eltroxin 25mcg Tablet is safe for consumption, pregnancy, breastfeeding, and driving ability, but consultation with a doctor is advised for individuals with kidney or liver disease.",Drug interactions may change how your medications work or increase your risk for serious side effects.,As prescribed
Lignocaine Hydrochloride IP 2%W/v in 50 Gm,Mouth ulcers,Local anesthetic,5,Gel,it is typically applied topically to the skin or mucous membranes for local anesthesia,"Abnormal sensation, Application site swelling, Skin redness, Dermatitis","Avoid contact with eyes, mouth, or other sensitive areas., Do not exceed the recommended amount unless directed by a healthcare professional.","Alcuronium, Amphotericin B, Amprenavir, Atracurium, Cimetidine, Edrophonium",
Lignocaine Hydrochloride IP 2%W/v in 50 Gm,Local anesthetic,Local anesthetic,5,Gel,it is typically applied topically to the skin or mucous membranes for local anesthesia,"Abnormal sensation, Application site swelling, Skin redness, Dermatitis","Avoid contact with eyes, mouth, or other sensitive areas., Do not exceed the recommended amount unless directed by a healthcare professional.","Alcuronium, Amphotericin B, Amprenavir, Atracurium, Cimetidine, Edrophonium",
Magnesium Sulphate IP 500 mg,Hypomagnesemia,Magnesium Sulfate as a active ingredient,18,Injection,Your doctor or nurse will give you this medicine based on your conditions. Kindly do not self administer.,"Sweating, anxiety, cold feeling","Pregnant women should avoid magnesium sulfate due to potential harm to the unborn baby and potential exposure to breastfeeding milk, requiring effective birth control and informed doctor consultation.","Amphetamine, Amphotericin B        ",Under Medical Supervision
Metformin IP 500 mg,High Blood Sugar,Diabetic drug,10,Tablet,"Take this medication by mouth as directed by your doctor, usually 1 to 3 times a day with meals. Drink plenty of fluids while taking this medication unless otherwise directed by your doctor.","Nausea, vomiting, stomach upset, diarrhea, weakness","You may experience blurred vision, dizziness, or drowsiness due to extremely low or high blood sugar. Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely.","Metoprolol, Propranolol, Glaucoma eye drops such as Timolol",
Metoprolol Succinate IP 25 mg,Chest Pain,Cardiac drug,6,Tablet,"Take this medication by mouth as directed by your doctor, usually once daily. This medication may be taken with or without food.","Drowsiness, dizziness, tiredness, diarrhea, and slow heartbeat may occur","This drug may make you dizzy or drowsy. Alcohol or marijuana (cannabis) can make you more dizzy or drowsy. Do not drive, use machinery, or do anything that needs alertness until you can do it safely. Limit or avoid alcoholic beverages. Talk to your doctor if you are using marijuana (cannabis).","Digoxin, Diphenhydramine, and certain calcium channel blockers",
Metoprolol Succinate IP 25 mg,High Blood Pressure,Cardiac drug,6,Tablet,"Take this medication by mouth as directed by your doctor, usually once daily. This medication may be taken with or without food.","Drowsiness, dizziness, tiredness, diarrhea, and slow heartbeat may occur","This drug may make you dizzy or drowsy. Alcohol or marijuana (cannabis) can make you more dizzy or drowsy. Do not drive, use machinery, or do anything that needs alertness until you can do it safely. Limit or avoid alcoholic beverages. Talk to your doctor if you are using marijuana (cannabis).","Digoxin, Diphenhydramine, and certain calcium channel blockers",
Metronidazole benzoate Oral Suspension IP 100mg,Anaerobic infections,Antibiotic,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Blurred or double vision,Darkening of urine,Confusion,Brain disease","Metronidazole 100 MG Suspension is safe for pregnancy and breastfeeding, but should be avoided with alcohol due to potential symptoms like fast heartbeat, warmth, headache, and breathing difficulty.","Warfarin, Ethinyl Estradiol, Atorvastatin, Disulfiram",
Metronidazole benzoate Oral Suspension IP 100mg,Amoebiasis,Antibiotic,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Blurred or double vision,Darkening of urine,Confusion,Brain disease","Metronidazole 100 MG Suspension is safe for pregnancy and breastfeeding, but should be avoided with alcohol due to potential symptoms like fast heartbeat, warmth, headache, and breathing difficulty.","Warfarin, Ethinyl Estradiol, Atorvastatin, Disulfiram",
Metronidazole benzoate Oral Suspension IP 100mg,Antibiotic associated colitis ,Antibiotic,ALL,Syrup,"Take this medicine in the dose. Measure it with a measuring cup and take it by mouth. Shake well before use. Albendazole 200mg Oral Suspension may be taken with or without food, but it is better to take it at a fixed time.","Blurred or double vision,Darkening of urine,Confusion,Brain disease","Metronidazole 100 MG Suspension is safe for pregnancy and breastfeeding, but should be avoided with alcohol due to potential symptoms like fast heartbeat, warmth, headache, and breathing difficulty.","Warfarin, Ethinyl Estradiol, Atorvastatin, Disulfiram",
Metronidazole IP 200 mg (Film Coated ),Parasitic infections,Antibiotic,B2,Tablet,"METRONIDAZOLE 200MG TABLET is an antibiotic medication with precautions, including avoiding alcohol, pregnancy, breastfeeding, driving, operating machinery, liver/kidney conditions, and children, and should be taken cautiously.","Headache, Vomiting, Diarrhoea, Abdominal cramps","Metrogyl 200 should not be used during pregnancy, especially in the first trimester of pregnancy. However, the doctor may prescribe you with this medicine after accessing the benefit of the treatment over risk",Calong with Metrogyl,As Prescribed
Metronidazole IP 400 mg (Film Coated ),Parasitic infections,Antibiotic,10,Tablet,"METRONIDAZOLE 400MG TABLET is an antibiotic medication with precautions, including avoiding alcohol, pregnancy, breastfeeding, driving, operating machinery, liver/kidney conditions, and children, and should be taken cautiously.","Headache, Vomiting, Diarrhoea, Abdominal cramps","Metrogyl 400 should not be used during pregnancy, especially in the first trimester of pregnancy. However, the doctor may prescribe you with this medicine after accessing the benefit of the treatment over risk",Calong with Metrogyl,As Prescribed
Miconazole Nitrate Cream IP 2% 30gm tube ,athlete's foot ,antifungal medication,2,Cream,"Apply medication to affected skin twice daily, following doctor's instructions. Avoid over-applying, washing hands, and covering areas. Avoid eyes, nose, mouth, or vagina. Regularly use at the same times daily for maximum benefit."," burning, stinging, swelling, irritation, redness, pimple-like bumps","This medication should not be applied to the eyes, nose, mouth, or vagina.","Warfarin (Coumadin),Astemizole and Terfenadine",full course as prescribed
Miconazole Nitrate Cream IP 2% 30gm tube ,pityriasis,antifungal medication,2,Cream,"Apply medication to affected skin twice daily, following doctor's instructions. Avoid over-applying, washing hands, and covering areas. Avoid eyes, nose, mouth, or vagina. Regularly use at the same times daily for maximum benefit."," burning, stinging, swelling, irritation, redness, pimple-like bumps","This medication should not be applied to the eyes, nose, mouth, or vagina.","Warfarin (Coumadin),Astemizole and Terfenadine",full course as prescribed
Misoprostol Tablets 200 mcg, abortion ,induction agent,18,Tablet,"The medication's dosage depends on the patient's medical condition and response to therapy, and is prescribed for preventing stomach ulcers, minimizing diarrhea, and ending pregnancy.","cramps, nausea, vomiting, diarrhea, stomach cramps, uterine cramps, menorrhagia, and infection.","Misoprost 200 Tablet is a highly unsafe drug for consumption during pregnancy, breastfeeding, driving, and kidney disease. It should be used cautiously and with doctor's advice, especially if underlying kidney or liver disease is present.",No Interactions,supervision of healthcare
Mupirocin (anti-bacterial cream) 5 gms,skin infections,antibacterial agent,2,Cream,"Before using mupirocin, consult your pharmacist for information. Use only on skin, clean and dry affected area, apply ointment daily, cover with bandage. Avoid using around eyes, nose, mouth, or damaged skin.", Prolonged use may lead to new skin infections, Prolonged use may lead to new skin infections,"Diphenhydramine,Dyclonine",
Mupirocin (anti-bacterial cream) 5 gms,impetigo,antibacterial agent,2,Cream,"Before using mupirocin, consult your pharmacist for information. Use only on skin, clean and dry affected area, apply ointment daily, cover with bandage. Avoid using around eyes, nose, mouth, or damaged skin.", Prolonged use may lead to new skin infections, Prolonged use may lead to new skin infections,"Diphenhydramine,Dyclonine",
Norfloxacin Tablets IP 400mg,bacterial infections,antibacterial agent,18,Tablet,"Before and after taking norfloxacin, consult your pharmacist's Medication Guide. Take twice daily with water, avoid food or dairy products, and drink plenty of fluids. Avoid taking large amounts of caffeine, as it may prolong its effects.","nausea, diarrhea, dizziness, headache, or trouble sleeping","Norflox 400 Tablet is unsafe for consumption during alcohol, pregnancy, breastfeeding, driving, kidney, and liver disease. Consult a doctor for information on pregnancy, breastfeeding, driving, kidney, and liver use.",No Interactions,supervision of healthcare
Norfloxacin Tablets IP 400mg, intestine infection,antibacterial agent,18,Tablet,"Before and after taking norfloxacin, consult your pharmacist's Medication Guide. Take twice daily with water, avoid food or dairy products, and drink plenty of fluids. Avoid taking large amounts of caffeine, as it may prolong its effects.","nausea, diarrhea, dizziness, headache, or trouble sleeping","Norflox 400 Tablet is unsafe for consumption during alcohol, pregnancy, breastfeeding, driving, kidney, and liver disease. Consult a doctor for information on pregnancy, breastfeeding, driving, kidney, and liver use.",No Interactions,supervision of healthcare
Normal Saline nasal Drops,dryness inside the nose,cleansing agent,2,drops,"This product can be sprayed into the nose as directed by a doctor or pharmacist, and should be rinsed and dried if necessary.",dry nose irritation persists,"This product is safe for use during pregnancy and breastfeeding, but should be informed about any allergies, allergies, or other health concerns before surgery or use",No Interactions,As per Schedule and dosage
Ondansetron Injection IP 2mg/ml 2ml amp,nausea,antiemetic medicine,12,injection,"Ondansetron is a medication used to prevent nausea during chemotherapy, given by injection into a vein over 15 minutes. It is prescribed for older adults and may be given a second or third dose. Regular use is advised, and proper storage and disposal are crucial","headache, fever, dizziness, drowsiness, tiredness, constipation, or redness at injection site","Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions.",Apomorphine and tramadol ,
Ondansetron Injection IP 2mg/ml 2ml amp,vomiting,antiemetic medicine,12,injection,"Ondansetron is a medication used to prevent nausea during chemotherapy, given by injection into a vein over 15 minutes. It is prescribed for older adults and may be given a second or third dose. Regular use is advised, and proper storage and disposal are crucial","headache, fever, dizziness, drowsiness, tiredness, constipation, or redness at injection site","Before using ondansetron, inform your doctor or pharmacist about any allergies, medical history, and potential QT prolongation risks. Consider your medical conditions, family history, and low potassium or magnesium levels. Consult your doctor about using ondansetron safely and discuss any other medications or conditions.",Apomorphine and tramadol ,
