Breed,Age (Years),Weight (kg),Color,Gender
Bulldog,9,15,White,Male
Belgian Malinois,10,37,Spotted,Female
Weimaraner,1,26,Black and White,Male
Pug,13,46,Black and Tan,Female
Miniature Schnauzer,12,51,Bicolor,Male
Vizsla,8,38,Black and Tan,Female
Cavalier King Charles Spaniel,8,23,Tan,Male
Dogo Argentino,7,38,Blue,Male
Irish Setter,6,56,Blue,Female
Saint Bernard,9,17,Red,Female
Lhasa Apso,6,57,Merle,Female
Labrador Retriever,12,7,Gray,Female
Rottweiler,12,30,Red,Male
Boxer,5,47,Sable,Female
Whippet,1,35,Bicolor,Male
Chesapeake Bay Retriever,10,56,White,Female
Lhasa Apso,2,33,Tan,Male
Rottweiler,9,46,Black,Female
Siberian Husky,1,22,Black,Female
Beagle,4,19,Black and Tan,Male
Chinese Shar-Pei,8,18,Sable,Male
Weimaraner,4,38,Tan,Male
Saint Bernard,8,27,Sable,Female
Bloodhound,6,57,Blue,Male
Weimaraner,11,29,Sable,Male
Cavalier King Charles Spaniel,4,35,Black and Tan,Female
Whippet,9,15,Tan,Female
Cocker Spaniel,11,8,Bicolor,Male
Bloodhound,4,36,White,Male
Airedale Terrier,2,54,Gray,Male
Saint Bernard,4,37,Merle,Female
Chihuahua,12,18,Cream,Male
Pekingese,4,54,Cream,Female
Chinese Shar-Pei,12,44,Cream,Male
Doberman Pinscher,13,5,White,Female
French Bulldog,1,51,Tricolor,Female
Pekingese,8,29,White,Male
Bichon Frise,3,25,Blue,Male
French Bulldog,1,48,Red,Male
Chesapeake Bay Retriever,7,46,Black and White,Male
Dogo Argentino,7,31,Black,Female
Chinese Shar-Pei,8,32,Cream,Female
Bichon Frise,8,28,Cream,Male
Weimaraner,12,31,Sable,Female
Shetland Sheepdog,2,14,Black and White,Female
Bull Terrier,3,38,Bicolor,Female
West Highland White Terrier,14,31,Bicolor,Female
Dachshund,9,46,Tan,Male
Pekingese,6,52,Bicolor,Male
Rottweiler,2,36,Tan,Male
Pekingese,8,45,Spotted,Male
Maltese,4,36,Bicolor,Female
Whippet,2,13,Blue,Male
Pug,7,54,Brown,Female
Labrador Retriever,9,41,Sable,Male
Weimaraner,3,22,Blue,Female
Akita,8,35,Bicolor,Female
Shih Tzu,9,6,White,Female
German Shepherd,10,34,Tan,Female
Golden Retriever,7,58,Gray,Female
Golden Retriever,10,21,Gray,Female
Cocker Spaniel,9,25,Black and Tan,Male
Papillon,14,13,Tan,Male
Siberian Husky,6,41,Tan,Male
Cavalier King Charles Spaniel,1,34,Tan,Male
Bull Terrier,1,48,Gray,Male
Shetland Sheepdog,10,49,Red,Female
Shih Tzu,5,20,Spotted,Male
Rottweiler,7,18,Tricolor,Male
Border Collie,1,30,Merle,Male
Chinese Shar-Pei,12,42,Bicolor,Male
Siberian Husky,10,21,Tan,Female
Rottweiler,5,55,Brown,Male
Labrador Retriever,3,16,Black and White,Female
German Shepherd,13,51,White,Male
Weimaraner,3,7,Brown,Female
Dachshund,5,38,Tan,Female
West Highland White Terrier,8,33,Merle,Female
Shiba Inu,2,31,Spotted,Male
Great Dane,12,46,Brown,Male
Golden Retriever,10,6,Black and White,Male
Great Dane,13,31,Cream,Female
German Shepherd,7,13,Brindle,Female
Shih Tzu,5,24,Spotted,Female
Cocker Spaniel,7,32,Tricolor,Female
Jack Russell Terrier,11,40,Red,Female
Doberman Pinscher,9,27,Black and White,Female
Weimaraner,7,30,Tricolor,Female
Rottweiler,10,29,Cream,Male
Dogo Argentino,3,49,Red,Female
Beagle,8,25,Tricolor,Female
Boxer,13,41,Black and Tan,Male
Australian Shepherd,5,58,White,Female
Miniature Schnauzer,1,29,Sable,Male
Pekingese,2,35,Merle,Female
Dogo Argentino,7,17,Brown,Male
West Highland White Terrier,5,57,Black and Tan,Male
Miniature Schnauzer,12,47,Spotted,Male
Golden Retriever,1,33,Tan,Female
Pekingese,1,55,Blue,Male
Doberman Pinscher,3,9,Sable,Female
Saint Bernard,11,6,White,Female
Cocker Spaniel,11,10,Red,Female
Pug,8,49,Brown,Male
Havanese,7,26,Bicolor,Female
Siberian Husky,7,54,Brown,Female
Saint Bernard,13,29,Red,Female
Samoyed,8,13,Black and Tan,Female
Golden Retriever,14,49,Blue,Female
Boston Terrier,8,53,Black,Male
French Bulldog,1,35,Tan,Female
Doberman Pinscher,10,37,Bicolor,Female
Airedale Terrier,12,26,Tricolor,Male
Bloodhound,13,8,Black and White,Male
West Highland White Terrier,5,58,Merle,Male
Dachshund,2,25,Sable,Male
Vizsla,5,22,Spotted,Female
West Highland White Terrier,10,22,Bicolor,Female
Basenji,6,16,Spotted,Male
Jack Russell Terrier,10,23,Cream,Female
Bichon Frise,1,40,Cream,Male
Bulldog,7,26,Bicolor,Female
Chinese Shar-Pei,5,50,Red,Female
Pomeranian,5,48,Bicolor,Female
Vizsla,12,39,Gray,Male
Saint Bernard,2,56,Merle,Female
Cavalier King Charles Spaniel,12,38,Tricolor,Male
Rottweiler,8,14,Gray,Male
Maltese,14,32,Tan,Female
Maltese,12,28,Blue,Male
Jack Russell Terrier,14,46,Bicolor,Male
Australian Shepherd,12,56,Red,Male
Dachshund,11,41,Tricolor,Female
Cocker Spaniel,1,53,Merle,Female
Shih Tzu,2,38,Brown,Male
Bull Terrier,13,16,Bicolor,Female
Vizsla,3,50,Blue,Male
Bull Terrier,11,13,Merle,Female
Miniature Schnauzer,11,48,White,Male
Rottweiler,13,51,Brown,Female
Maltese,11,34,Bicolor,Female
Shiba Inu,11,38,Brindle,Male
Airedale Terrier,13,52,Tan,Female
Bull Terrier,9,19,Bicolor,Female
Papillon,8,35,White,Female
Basenji,14,51,Black and White,Female
Jack Russell Terrier,11,36,Cream,Female
Papillon,10,28,Bicolor,Male
Weimaraner,9,48,Sable,Female
West Highland White Terrier,13,26,Black and Tan,Female
Pug,1,7,Sable,Male
Papillon,1,31,White,Female
Border Collie,12,41,Blue,Female
Basenji,13,51,Brindle,Female
Pug,1,14,Merle,Male
Irish Setter,13,6,Tricolor,Female
Shiba Inu,14,8,Black and White,Male
Cavalier King Charles Spaniel,3,22,Tan,Male
Boston Terrier,7,6,Tan,Female
Havanese,13,53,Red,Female
Australian Shepherd,9,35,Black and White,Male
Airedale Terrier,13,39,Cream,Female
Cocker Spaniel,4,38,Gray,Male
Akita,14,52,Brindle,Female
Bichon Frise,8,53,Brindle,Male
Samoyed,4,15,Brown,Male
Akita,4,11,Tan,Female
Doberman Pinscher,6,10,Black and White,Female
Havanese,6,47,Blue,Female
Bichon Frise,14,11,Brindle,Male
Shih Tzu,5,46,Merle,Male
Lhasa Apso,9,43,Tan,Male
Havanese,11,10,Bicolor,Female
Cavalier King Charles Spaniel,10,35,Gray,Female
Poodle,3,13,Spotted,Male
Bull Terrier,14,22,Merle,Male
Chesapeake Bay Retriever,12,27,Cream,Male
Rottweiler,14,8,Sable,Female
Akita,9,20,Brown,Male
Great Dane,6,43,Blue,Female
Papillon,8,51,Sable,Female
German Shepherd,6,57,Spotted,Female
Bulldog,5,35,Black and White,Male
Shetland Sheepdog,5,11,Tricolor,Female
Yorkshire Terrier,8,34,Brindle,Female
Whippet,9,27,Brindle,Female
Chesapeake Bay Retriever,9,15,Blue,Male
Saint Bernard,6,33,Bicolor,Male
Lhasa Apso,7,12,Merle,Female
Saint Bernard,7,32,Merle,Male
Bernese Mountain Dog,4,53,Blue,Male
Poodle,12,24,Sable,Female
German Shepherd,7,7,Red,Female
Saint Bernard,1,56,White,Female
Rottweiler,12,12,Merle,Male
German Shepherd,6,17,Cream,Male
German Shepherd,7,56,Blue,Male
Rottweiler,10,24,Red,Female
Bernese Mountain Dog,6,56,Blue,Male
Weimaraner,5,35,Brindle,Male
Shih Tzu,12,35,Black and Tan,Male
Airedale Terrier,12,32,Bicolor,Female
Whippet,4,20,Red,Male
Bichon Frise,1,52,Black,Female
Shiba Inu,14,28,Blue,Male
Alaskan Malamute,6,35,Spotted,Male
Cocker Spaniel,2,24,Black and Tan,Female
Akita,6,13,Sable,Male
Samoyed,12,18,Spotted,Male
Weimaraner,2,43,Black and White,Male
Pug,2,43,Blue,Male
Lhasa Apso,9,7,Black and White,Female
West Highland White Terrier,12,47,Bicolor,Female
Alaskan Malamute,8,56,Tan,Male
French Bulldog,10,9,Spotted,Female
Yorkshire Terrier,12,43,Brown,Male
Cocker Spaniel,4,10,Black and Tan,Female
Irish Setter,6,58,Black and White,Male
Labrador Retriever,3,51,Sable,Female
Papillon,7,55,Black and White,Female
Boston Terrier,13,38,Brindle,Male
Shiba Inu,4,29,Red,Male
Akita,14,49,Red,Male
Alaskan Malamute,9,33,Cream,Female
Poodle,14,26,Black,Female
Shetland Sheepdog,5,49,Tan,Male
Maltese,9,19,Black and Tan,Female
Golden Retriever,1,55,Brown,Female
Rottweiler,9,57,Merle,Female
Airedale Terrier,11,9,Sable,Male
Pembroke Welsh Corgi,5,46,Black and White,Male
Chinese Shar-Pei,1,22,Gray,Male
Great Dane,6,20,Spotted,Male
Schnauzer,6,30,Brindle,Female
German Shepherd,3,41,Spotted,Female
Pug,5,17,Merle,Female
Whippet,14,43,White,Male
Miniature Schnauzer,9,34,Merle,Male
Chihuahua,9,35,White,Female
Shetland Sheepdog,12,39,Black,Female
Jack Russell Terrier,5,24,Tricolor,Female
Jack Russell Terrier,14,47,Sable,Female
Poodle,2,24,Gray,Male
Chesapeake Bay Retriever,9,36,Gray,Female
West Highland White Terrier,9,46,Spotted,Female
Golden Retriever,9,41,Black,Male
Bichon Frise,12,46,Brown,Male
Basenji,14,16,Bicolor,Female
Cocker Spaniel,4,12,Tan,Female
Australian Shepherd,4,10,Black,Female
Rottweiler,13,18,Blue,Female
Airedale Terrier,3,39,Bicolor,Male
Pekingese,13,51,Brown,Female
Saint Bernard,11,37,Sable,Male
Chesapeake Bay Retriever,10,37,Blue,Male
Lhasa Apso,13,33,Spotted,Male
Rottweiler,6,17,Blue,Female
Pug,8,34,Brindle,Male
Maltese,14,56,Spotted,Female
Poodle,6,15,Black and White,Male
Chinese Shar-Pei,14,47,Merle,Male
West Highland White Terrier,9,14,Brown,Male
Cocker Spaniel,8,56,Bicolor,Male
Doberman Pinscher,10,54,Sable,Female
Samoyed,1,24,Cream,Female
Shiba Inu,3,27,Black,Male
Pomeranian,8,28,Spotted,Male
Chesapeake Bay Retriever,4,35,Gray,Female
Bloodhound,11,57,Cream,Female
Boxer,13,18,Black and White,Female
Poodle,6,55,Sable,Male
Siberian Husky,2,36,Brindle,Female
West Highland White Terrier,6,21,Spotted,Female
Pug,2,23,Spotted,Male
Doberman Pinscher,2,6,Red,Female
Bulldog,3,20,Cream,Male
Bernese Mountain Dog,5,37,Blue,Male
Chihuahua,4,19,White,Female
Samoyed,2,14,Black,Male
Dogo Argentino,12,11,Merle,Male
Doberman Pinscher,10,56,Black and Tan,Female
Pekingese,2,52,Sable,Female
Beagle,3,8,Blue,Female
Great Dane,9,11,Gray,Female
Dachshund,2,59,Black and Tan,Female
Poodle,8,20,Gray,Female
Weimaraner,9,34,Brindle,Male
Weimaraner,3,26,Bicolor,Female
Boston Terrier,10,56,Black and Tan,Male
Whippet,7,15,Black and Tan,Female
Whippet,6,18,Gray,Male
Pomeranian,13,32,White,Male
Dogo Argentino,2,31,Spotted,Male
Dachshund,10,31,Tan,Male
Alaskan Malamute,7,46,Brindle,Female
Cavalier King Charles Spaniel,13,9,Bicolor,Male
Chihuahua,13,34,Tan,Female
Chinese Shar-Pei,10,53,Red,Female
Lhasa Apso,12,33,Black and Tan,Female
German Shepherd,3,20,Blue,Female
Basenji,6,51,Merle,Male
Rottweiler,7,32,White,Male
Poodle,12,45,White,Female
Australian Shepherd,14,37,Brown,Male
Belgian Malinois,2,50,Black and Tan,Male
Papillon,6,54,Brown,Male
Shiba Inu,9,19,Red,Female
Havanese,5,9,Merle,Male
Chihuahua,7,30,Spotted,Male
Akita,6,37,Sable,Male
Pekingese,14,17,Sable,Female
Chinese Shar-Pei,13,49,Sable,Male
Bernese Mountain Dog,7,46,Sable,Male
Dogo Argentino,1,47,Black and White,Female
Bulldog,3,57,Brindle,Female
Labrador Retriever,6,18,Black and White,Female
Border Collie,7,57,Cream,Male
Boston Terrier,3,55,Black,Male
Poodle,10,55,Blue,Female
Maltese,2,54,Merle,Female
Doberman Pinscher,5,10,Brindle,Female
Bulldog,9,28,Gray,Female
Shiba Inu,9,42,Tricolor,Female
Rottweiler,4,57,Brindle,Female
Doberman Pinscher,8,35,Spotted,Male
Yorkshire Terrier,11,33,Brown,Male
Boxer,14,59,Black and White,Female
Weimaraner,3,26,Cream,Female
Schnauzer,10,24,Brindle,Male
Cavalier King Charles Spaniel,2,29,Cream,Female
Boxer,11,52,Cream,Male
Airedale Terrier,12,28,Black and Tan,Male
Lhasa Apso,2,50,White,Female
Saint Bernard,2,15,Brown,Female
Shiba Inu,7,35,Tan,Male
Chihuahua,14,37,Brown,Female
Havanese,4,26,Brindle,Male
Shiba Inu,14,45,Merle,Female
Great Dane,7,59,Brown,Male
Alaskan Malamute,6,35,Merle,Male
Chesapeake Bay Retriever,5,11,Brown,Female
Whippet,3,30,Tan,Female
Irish Setter,8,10,Bicolor,Male
Airedale Terrier,9,36,Black,Male
Yorkshire Terrier,9,52,Tricolor,Female
Vizsla,1,51,Black,Male
Golden Retriever,8,32,Black and White,Female
Doberman Pinscher,9,30,Sable,Female
Australian Shepherd,9,38,Spotted,Female
French Bulldog,8,32,Merle,Male
Shetland Sheepdog,5,21,Brindle,Female
Lhasa Apso,11,21,Tricolor,Male
Whippet,7,20,Spotted,Female
Pekingese,10,35,Red,Female
Vizsla,7,39,Tan,Male
Pomeranian,9,10,Merle,Male
Miniature Schnauzer,4,13,Black and Tan,Male
Rottweiler,8,21,Bicolor,Male
Rottweiler,9,43,Merle,Male
Border Collie,5,56,Black,Female
Bulldog,3,44,Spotted,Female
Samoyed,4,33,Bicolor,Female
Bernese Mountain Dog,1,10,Brindle,Male
Border Collie,5,5,Gray,Female
Chinese Shar-Pei,9,24,White,Female
Jack Russell Terrier,1,28,Black,Female
Cocker Spaniel,12,35,Black,Female
Chihuahua,13,57,Black,Female
Miniature Schnauzer,11,51,Gray,Female
Shiba Inu,5,43,Merle,Male
Bichon Frise,3,45,Gray,Female
Weimaraner,7,39,Black,Male
Bloodhound,3,22,Black and White,Female
Boston Terrier,3,20,Blue,Female
Airedale Terrier,3,15,Red,Male
French Bulldog,13,23,White,Male
Miniature Schnauzer,8,45,Blue,Male
Shih Tzu,12,32,Bicolor,Female
Chinese Shar-Pei,11,56,Merle,Female
Rottweiler,10,47,Bicolor,Female
Schnauzer,11,43,Sable,Male
Chesapeake Bay Retriever,7,19,Sable,Male
Miniature Schnauzer,10,52,Cream,Female
Siberian Husky,7,22,Gray,Female
Jack Russell Terrier,1,46,Spotted,Female
Bichon Frise,3,49,Blue,Female
Bull Terrier,2,8,Sable,Female
Akita,11,53,Bicolor,Male
Rottweiler,5,58,Merle,Female
Cavalier King Charles Spaniel,7,30,Cream,Female
Samoyed,4,29,Gray,Male
Pug,9,49,Red,Female
German Shepherd,12,36,Sable,Female
Maltese,12,28,Black,Female
Pug,13,20,Black and White,Male
Samoyed,8,26,Gray,Female
Bichon Frise,6,34,Tan,Female
Vizsla,10,27,Bicolor,Male
Whippet,1,29,Gray,Male
Maltese,12,8,Sable,Male
Lhasa Apso,3,14,Spotted,Male
Siberian Husky,14,43,Merle,Male
Bulldog,2,5,Merle,Male
Lhasa Apso,1,20,Cream,Male
Chinese Shar-Pei,12,49,White,Female
Irish Setter,6,46,Tricolor,Female
Basenji,12,19,Tan,Female
Chihuahua,10,10,Brown,Female
Rottweiler,8,22,Tricolor,Male
Dachshund,11,46,Blue,Male
Bichon Frise,4,8,Tricolor,Female
Chihuahua,5,53,Brindle,Female
Bloodhound,5,24,Black,Male
Shih Tzu,8,23,Black and White,Female
Bulldog,14,48,Cream,Female
Pomeranian,2,54,Red,Male
Australian Shepherd,8,54,Blue,Male
Pekingese,8,6,Brown,Male
Chihuahua,9,12,Black and White,Female
West Highland White Terrier,10,13,Blue,Female
Bernese Mountain Dog,6,36,Cream,Female
Pembroke Welsh Corgi,7,19,Sable,Female
Schnauzer,2,19,Gray,Male
Bichon Frise,1,25,Blue,Male
Pomeranian,1,23,Bicolor,Male
Irish Setter,1,52,Black and Tan,Female
Alaskan Malamute,3,40,Black and White,Male
Boston Terrier,4,49,Spotted,Male
Golden Retriever,2,45,Black and Tan,Male
Bernese Mountain Dog,7,44,Brindle,Female
Labrador Retriever,5,36,Merle,Male
Schnauzer,1,6,Gray,Male
Irish Setter,9,31,Red,Male
Beagle,9,29,Bicolor,Female
Miniature Schnauzer,7,43,Black,Female
Pomeranian,12,46,Gray,Male
Irish Setter,5,36,Blue,Male
Bernese Mountain Dog,6,16,White,Male
Shih Tzu,6,53,Bicolor,Female
Siberian Husky,8,40,White,Female
Vizsla,8,16,Red,Male
Cocker Spaniel,10,54,Merle,Female
Schnauzer,4,52,Blue,Male
Great Dane,11,54,Black and Tan,Male
Cocker Spaniel,6,54,Red,Male
Basenji,6,55,Brindle,Male
Basenji,5,52,Brindle,Male
Bernese Mountain Dog,13,55,Black and Tan,Male
Jack Russell Terrier,11,50,Merle,Female
Pekingese,10,34,Black and Tan,Female
Great Dane,13,41,Gray,Female
Papillon,1,55,Bicolor,Male
West Highland White Terrier,10,15,Blue,Female
Dachshund,6,47,White,Male
Boston Terrier,14,31,Black and Tan,Male
Doberman Pinscher,12,16,Red,Male
Labrador Retriever,7,46,Black and Tan,Male
Bull Terrier,11,12,White,Female
Bloodhound,8,57,Black and Tan,Female
Akita,1,37,Merle,Female
German Shepherd,9,32,Brindle,Female
Lhasa Apso,1,12,White,Female
Pomeranian,12,25,Tan,Female
Samoyed,8,22,Black,Male
Rottweiler,9,15,Black and White,Female
Pomeranian,13,33,Brown,Female
Bull Terrier,9,11,Spotted,Female
Great Dane,10,33,Sable,Male
German Shepherd,5,21,Red,Female
Shetland Sheepdog,1,9,Merle,Male
Golden Retriever,14,10,Gray,Male
Shiba Inu,4,29,Merle,Female
Whippet,7,49,Tricolor,Female
Beagle,9,59,White,Male
Bloodhound,4,53,Brown,Male
Saint Bernard,5,37,Tan,Female
Dogo Argentino,5,51,Cream,Female
Weimaraner,13,17,Blue,Female
Havanese,5,6,Brindle,Male
Chinese Shar-Pei,12,52,Tricolor,Female
Miniature Schnauzer,2,17,Cream,Female
Bloodhound,12,30,Black and White,Female
Bernese Mountain Dog,4,5,White,Male
Irish Setter,9,10,Black,Female
Australian Shepherd,9,17,Black,Male
Rottweiler,4,35,Sable,Female
Bichon Frise,3,45,Bicolor,Male
Shetland Sheepdog,2,22,White,Female
German Shepherd,13,33,Spotted,Male
Boxer,5,57,Spotted,Female
Chinese Shar-Pei,8,33,Tricolor,Male
Doberman Pinscher,7,16,Brindle,Male
Pembroke Welsh Corgi,13,34,Spotted,Male
Labrador Retriever,9,6,Red,Female
French Bulldog,1,45,Red,Female
Weimaraner,2,5,Black,Female
Boston Terrier,14,49,Gray,Female
Cocker Spaniel,2,55,Gray,Female
Jack Russell Terrier,4,32,Tan,Female
Poodle,8,20,Blue,Male
Boston Terrier,9,48,Red,Female
Bulldog,5,57,Red,Female
Belgian Malinois,7,21,Tricolor,Female
Pug,12,31,Gray,Female
Pug,11,18,Brown,Female
Poodle,3,30,Black and White,Male
Shiba Inu,14,46,Black and Tan,Female
Pomeranian,7,28,Brown,Male
French Bulldog,10,12,Brown,Male
Yorkshire Terrier,1,24,Gray,Male
Great Dane,1,43,Spotted,Male
Belgian Malinois,3,6,Bicolor,Female
Dachshund,10,48,Bicolor,Male
Bloodhound,10,45,White,Female
Great Dane,1,9,Brown,Female
Schnauzer,6,20,Gray,Female
Airedale Terrier,1,26,Gray,Female
Pembroke Welsh Corgi,11,24,Spotted,Female
Akita,14,33,Brown,Male
Bichon Frise,5,38,Red,Male
Rottweiler,8,15,Spotted,Male
Rottweiler,8,29,Tan,Female
Bull Terrier,2,30,Brown,Female
Bloodhound,9,58,White,Female
Poodle,7,12,Red,Female
Boxer,14,25,Black,Female
Maltese,6,40,Bicolor,Female
Siberian Husky,2,28,Spotted,Female
Basenji,6,19,Sable,Female
Chesapeake Bay Retriever,5,20,Gray,Female
Chihuahua,3,9,Gray,Female
Samoyed,7,48,Merle,Male
Australian Shepherd,13,41,Brindle,Female
Bulldog,11,35,Sable,Male
Pomeranian,2,37,Gray,Male
Papillon,12,44,Merle,Male
Golden Retriever,2,47,Black and Tan,Male
Rottweiler,12,26,Tan,Female
Samoyed,8,56,Tricolor,Male
Yorkshire Terrier,14,6,Tricolor,Female
Poodle,10,55,Black and Tan,Male
Bull Terrier,6,28,Sable,Female
Australian Shepherd,5,5,Brown,Male
Australian Shepherd,11,19,Sable,Male
Belgian Malinois,2,32,White,Female
Bernese Mountain Dog,6,57,Sable,Female
Pomeranian,8,18,Sable,Male
Bernese Mountain Dog,9,42,Brindle,Male
Bernese Mountain Dog,3,57,Tan,Female
Cocker Spaniel,5,39,Tricolor,Female
Pekingese,10,17,Brindle,Female
Boxer,8,7,Red,Female
Pembroke Welsh Corgi,14,55,Black and White,Female
Saint Bernard,3,38,Spotted,Female
Border Collie,9,19,Bicolor,Female
Bull Terrier,3,22,Tan,Female
Miniature Schnauzer,2,46,Blue,Female
Yorkshire Terrier,9,49,Black and Tan,Male
German Shepherd,8,12,Tricolor,Female
Saint Bernard,2,32,Brindle,Female
Whippet,4,28,Black and White,Male
Rottweiler,11,40,Bicolor,Female
Irish Setter,6,52,Red,Male
Dachshund,9,6,Blue,Male
Dachshund,2,12,Tricolor,Female
Maltese,4,16,Black and Tan,Male
Schnauzer,10,44,Tan,Male
Alaskan Malamute,2,15,Spotted,Female
Bichon Frise,11,13,Black and Tan,Male
Shih Tzu,3,19,Merle,Male
Chihuahua,8,34,Brindle,Male
Poodle,12,36,Tricolor,Female
Havanese,6,31,Brindle,Female
West Highland White Terrier,11,56,Gray,Female
Bull Terrier,9,46,Black and Tan,Female
Rottweiler,6,21,Tan,Male
Vizsla,4,46,Blue,Male
Bloodhound,3,50,Sable,Female
Pembroke Welsh Corgi,6,36,Merle,Male
Dogo Argentino,5,31,Sable,Male
Alaskan Malamute,9,58,Blue,Male
Maltese,2,42,Black,Female
Doberman Pinscher,1,10,Sable,Male
Shetland Sheepdog,9,18,Sable,Male
Cavalier King Charles Spaniel,14,14,Gray,Male
Miniature Schnauzer,9,26,Brown,Male
Bernese Mountain Dog,5,7,Brindle,Female
Pekingese,1,52,Merle,Male
Vizsla,5,37,Black and Tan,Male
Rottweiler,13,9,Spotted,Male
Basenji,3,45,Black and Tan,Male
Rottweiler,8,11,Sable,Female
West Highland White Terrier,5,6,Brown,Male
Schnauzer,5,58,Brindle,Male
Bull Terrier,6,59,Black and Tan,Female
Pembroke Welsh Corgi,14,44,White,Male
Dogo Argentino,7,57,Spotted,Male
Chihuahua,4,47,Merle,Male
Shiba Inu,13,17,Blue,Male
German Shepherd,14,50,Blue,Male
Dogo Argentino,8,27,Tan,Male
German Shepherd,1,45,Cream,Female
Weimaraner,10,17,Brown,Male
Bernese Mountain Dog,5,21,Tricolor,Male
Siberian Husky,5,8,Brindle,Female
Yorkshire Terrier,11,27,Blue,Male
Whippet,6,29,Tricolor,Female
Siberian Husky,11,10,Brown,Male
Maltese,9,25,Brindle,Female
Cocker Spaniel,12,15,Black,Female
French Bulldog,6,45,Red,Male
Dachshund,13,30,Sable,Male
Rottweiler,7,31,Black,Female
Papillon,2,30,Blue,Male
Great Dane,5,35,Merle,Female
Chihuahua,14,30,Black and White,Male
Yorkshire Terrier,12,10,Sable,Female
Irish Setter,6,32,Bicolor,Female
Saint Bernard,4,5,Black and Tan,Female
Saint Bernard,14,38,Brown,Female
Doberman Pinscher,10,7,Bicolor,Male
Havanese,7,14,Tricolor,Female
Dogo Argentino,9,19,Black and Tan,Male
Dogo Argentino,8,44,Gray,Female
Siberian Husky,5,28,White,Male
Samoyed,13,48,Bicolor,Male
Rottweiler,11,57,Black and White,Female
Jack Russell Terrier,8,10,Black,Male
Irish Setter,9,39,White,Female
Bull Terrier,2,36,Merle,Female
Cavalier King Charles Spaniel,5,7,Tricolor,Female
Cocker Spaniel,6,41,Merle,Female
West Highland White Terrier,6,19,Black and Tan,Male
Samoyed,14,32,Black and White,Female
Whippet,4,32,Sable,Male
German Shepherd,9,5,Gray,Male
Alaskan Malamute,4,26,White,Male
Miniature Schnauzer,6,47,Tricolor,Male
Chihuahua,4,42,Blue,Male
Bernese Mountain Dog,5,22,Blue,Male
Vizsla,7,13,Merle,Male
Yorkshire Terrier,2,13,Sable,Male
Whippet,10,50,Brown,Male
Akita,10,18,Black and White,Male
Border Collie,13,25,White,Male
Pembroke Welsh Corgi,8,53,Black and White,Female
Airedale Terrier,7,26,Cream,Male
Pembroke Welsh Corgi,6,28,Brown,Male
Basenji,3,6,Brindle,Male
Weimaraner,10,43,Tan,Male
Rottweiler,12,51,White,Male
Siberian Husky,4,16,Red,Female
Doberman Pinscher,6,29,Black and Tan,Female
Schnauzer,11,34,Black and White,Male
Dachshund,9,36,Merle,Female
Lhasa Apso,13,26,Blue,Female
Dachshund,13,33,White,Female
Pembroke Welsh Corgi,4,17,Merle,Female
Pekingese,2,33,Merle,Male
Akita,10,45,Tricolor,Male
Dachshund,7,6,Black,Female
Siberian Husky,11,36,Brown,Male
Rottweiler,8,59,Black,Male
Bull Terrier,9,15,Black,Female
Lhasa Apso,2,33,White,Male
Dachshund,10,53,Merle,Male
Golden Retriever,8,47,Black and White,Male
Jack Russell Terrier,4,42,Brindle,Male
Pembroke Welsh Corgi,14,26,Gray,Female
Irish Setter,8,16,Tricolor,Female
Chinese Shar-Pei,10,56,Brindle,Female
Papillon,5,9,Gray,Female
Belgian Malinois,2,43,Sable,Male
Bichon Frise,2,49,Black and Tan,Female
French Bulldog,9,19,Bicolor,Male
Pug,13,58,Merle,Female
Labrador Retriever,11,40,Sable,Female
Shih Tzu,13,44,Brown,Female
Bloodhound,3,47,Brindle,Female
Bulldog,1,36,Gray,Female
French Bulldog,9,48,Cream,Male
Cocker Spaniel,6,13,Tricolor,Female
Doberman Pinscher,6,27,Gray,Female
Pug,4,44,White,Female
Rottweiler,1,45,Merle,Female
Maltese,2,39,Blue,Male
Pembroke Welsh Corgi,8,40,Cream,Female
Pomeranian,5,57,Cream,Female
Bichon Frise,11,41,Red,Female
Golden Retriever,5,57,Cream,Female
Yorkshire Terrier,5,36,Black,Male
Yorkshire Terrier,13,41,Gray,Male
Bernese Mountain Dog,13,54,Bicolor,Female
Bloodhound,5,23,Tan,Male
Papillon,6,58,Tricolor,Male
Chesapeake Bay Retriever,7,18,Red,Male
Maltese,9,59,Bicolor,Female
Shetland Sheepdog,14,59,Black and Tan,Female
Bulldog,5,52,Merle,Female
Schnauzer,5,16,Merle,Female
Chinese Shar-Pei,11,48,Sable,Male
Pembroke Welsh Corgi,13,55,Black and White,Male
Vizsla,8,26,Spotted,Female
Rottweiler,8,5,Black and White,Male
Pomeranian,5,46,Brown,Male
West Highland White Terrier,6,22,Black and Tan,Male
Schnauzer,8,22,Merle,Female
Boxer,5,38,Black and Tan,Male
Chinese Shar-Pei,10,45,Cream,Male
Chinese Shar-Pei,6,40,Black,Male
Miniature Schnauzer,10,40,Tricolor,Male
Havanese,2,39,Tricolor,Female
Cocker Spaniel,5,32,Brown,Female
Bernese Mountain Dog,1,40,Cream,Male
Poodle,2,56,Blue,Male
Bernese Mountain Dog,4,37,Red,Male
Samoyed,10,29,White,Male
Jack Russell Terrier,3,14,White,Male
Maltese,1,32,Black,Male
Chinese Shar-Pei,8,50,Black and Tan,Male
Airedale Terrier,14,31,White,Female
